token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
10992400458,10993500458,14636980358,17409452986,25892136160,112731636019,518269661807,3950
10992400458,10993500458,14636980358,17409452986,25892136160,112731636019,520616296047,3950
10992600458,10993500458,14886980358,17409452986,25892136160,112731636019,520616296047,3950
10993500458,11003400458,14886980358,17409452986,25892136160,113192008838,520616296047,3950
10993500458,11003600458,15563381896,17409452986,25892136160,113192008838,520616296047,3950
11003400458,11003600458,15564646311,17409452986,25892136160,113301993504,517842800228,3950
11003600458,11493065461,17803226439,18209452986,25892136160,119211102168,517842800228,3950
11493065461,13489068637,17823226439,17691724030,25892136160,120711002168,520542352592,3950
13489068637,14636980358,17823226439,17691724030,25892136160,120711002168,518458110028,3950
14636980358,14886980358,18023226439,20082111570,25892136160,127423118966,519786184738,3950
14886980358,15563381896,18998931086,20082111570,25892136160,129021466491,522852597355,3950
15563381896,16751241898,17409452986,20582111570,25892136160,129930243627,522852597355,3950
15564646311,17823226439,17409452986,20582111570,25892136160,131014028718,530289335864,3950
17803226439,17823226439,17409452986,20582111570,25892136160,137805744683,530921891103,3950
17823226439,18023226439,18209452986,19022165054,25892136160,137805744683,533643710957,3950
17823226439,18023226439,18209452986,19072165054,25892136160,137805744683,538707216664,3950
17823226439,18023226439,18209452986,19072165054,25892136160,137805744683,538707216664,3950
17823226439,17848931086,17691724030,19072165054,25892136160,139155744683,538707216664,3950
17848931086,17409452986,17691724030,25792136160,25892136160,141122629648,552240119071,3950
17409452986,17409452986,20082111570,25792136160,25892136160,141122629648,552351172384,3950
17409452986,17409452986,20082111570,25792136160,25892136160,142320129648,552351172384,3950
17409452986,17409452986,20582111570,25792136160,25892136160,144136073775,557120051589,3950
17691724030,17691724030,19022165054,25892136160,25892136160,140750517450,555440805018,3950
17691724030,20082111570,19072165054,25892136160,25892136160,141849517450,555517162174,3950
17691724030,20082111570,19072165054,25892136160,25892136160,141849517450,555517162174,3950
20082111570,20582111570,25792136160,25892136160,25892136160,142554446991,549642247223,3950
20082111570,20582111570,25792136160,25892136160,25892136160,142554446991,547302148731,3950
20582111570,20582111570,25792136160,25892136160,25892136160,139592175524,547302148731,3950
20582111570,20582111570,25792136160,25892136160,25892136160,145725558081,544454451495,3950
19072165054,25792136160,25892136160,25892136160,33952398458,150468585436,541136795052,3950
21972165054,25792136160,25892136160,25892136160,33952398458,150468585436,541136795052,3950
