token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
31225698852,35243394497,32895823032,33738760401,28826259859,33841204168,3402785418,3496144189
29982796907,33958354564,32895823032,33738760401,28936259859,33637985965,3402785418,3496144189
30982796907,34070254564,33321634893,33768760401,28936259859,33637985965,3402785418,3496144189
32180688269,34021476829,33711344877,33778760401,28936259859,33637985965,3402785418,3496144189
33075938269,34021576829,33711247230,33778760401,28936259859,33637985965,3402785418,3496144189
35243394497,34021576829,33711149569,33778760401,28936259859,33637985965,3389228338,3496144189
33958354564,34070654564,34008249569,33778760401,28936259859,33637985965,3389228338,3496144189
34070254564,34022576829,34008150195,33778760401,28936259859,33637985965,3389228338,3496144189
34021476829,34022976829,34307038201,33778760401,28996259859,33637985965,3389228338,3496144189
34021576829,34023276829,34306835957,33808610401,28996259859,33637985965,3389228338,3496144189
34021576829,34023876829,33582014646,33808610401,28989658613,33637985965,3389228338,3496144189
34070654564,34024376829,33631917465,33858110401,29094393202,32210842116,3389228338,3496144189
34022576829,34024376829,33631722993,33858110401,29094393202,32210842116,3389228338,3496144189
34022976829,33996605376,33631722993,33858110401,29094393202,32122804832,3389228338,3496144189
34023276829,34021605376,33780642764,33858110401,29094393202,32122804832,3389228338,3496144189
34024376829,31704489489,33780446763,34188110401,29094393202,32122804832,3389228338,3496144189
34024376829,31704489489,33780446763,34188110401,29094393202,32370304832,3389228338,3496144189
33996605376,31704489489,33755944259,34188110401,29094393202,32370304832,3389228338,3496144189
34021605376,32095823032,33755944259,34188110401,29294393202,32370304832,3389228338,3496144189
31704489489,32895823032,34055846403,34835610401,29294393202,32370304832,3389228338,3496144189
31704489489,32895823032,34055846403,34835610401,29294393202,32463170977,3389228338,3496144189
31704489489,33711344877,34025929280,34845610401,29294393202,32441898627,3389228338,3496144189
32095823032,33711247230,34124929280,33603313433,29294393202,32591898627,3389228338,3496144189
32895823032,33711149569,34172437070,33603313433,29294393202,31487780585,3389228338,3496144189
33711247230,34306835957,35661187070,33850813433,29294393202,31532790451,3389228338,3496144189
33711149569,33582014646,33738760401,33851813433,29445154756,31532790451,3389228338,3496144189
34008150195,33631722993,33768760401,33882813433,29445154756,31532790451,3389228338,3481485795
34307038201,33631722993,33778760401,33882813433,29445154756,31532790451,3389228338,3481485795
34306835957,33780642764,33778760401,33982813433,29445154756,31532790451,3389228338,3481485795
33582014646,33780544764,33778760401,33982813433,29445154756,31463756713,3389228338,3481485795
33631917465,33780446763,33778760401,34062813433,29445154756,31463756713,3389228338,3481485795
33631722993,33780446763,33778760401,34062813433,29445154756,31603756713,3389228338,3481485795
33631722993,33755944259,33778760401,34062813433,29445154756,31603756713,3389228338,3481485795
33780642764,33755944259,33808610401,34062813433,29445154756,31603756713,3389228338,3481485795
33780544764,34055846403,33808610401,34062813433,29445154756,31603756713,3389228338,3481485795
33780446763,34055846403,33858110401,34062813433,29445154756,31472610234,3389228338,3481485795
33780446763,34055846403,33858110401,33975665132,29445154756,31472610234,3389228338,3481485795
33755944259,34124929280,33858110401,32835995045,29445154756,31472610234,3389228338,3481485795
34055846403,34172437070,33858110401,32835995045,29445154756,31472610234,3285346325,3481485795
34055846403,34172437070,34188110401,32835995045,29445154756,31772610234,3285346325,3481485795
34025929280,35661187070,34188110401,33062702171,29575154756,31672610234,3285346325,3481485795
34172437070,33738760401,34835610401,33873334173,29580104756,31805355278,3285346325,3481485795
35661187070,33778760401,34845610401,34073334173,29599904756,31815355278,3285346325,3481485795
35661187070,33778760401,33603313433,34073334173,29599904756,31815355278,3285346325,3481485795
33738760401,33778760401,33603313433,34073334173,29599904756,31815355278,3285346325,3481485795
33778760401,33778760401,33850813433,33943485014,29475653645,31888010577,3285346325,3481485795
33778760401,33808610401,33851813433,33943485014,29475653645,31888010577,3285346325,3481485795
33778760401,33858110401,33882813433,33817731656,29475653645,31705995781,3285346325,3430729664
33778760401,33858110401,33882813433,33817731656,29475653645,31705995781,3285346325,3430729664
33858110401,34188110401,34062813433,33635199088,29115341753,32705995781,3193389362,3430729664
34188110401,34835610401,34062813433,33980552974,29115341753,32715995781,3193389362,3430729664
34835610401,33850813433,32835995045,33990452974,29217341753,33338747046,3193389362,3430729664
33603313433,33851813433,33873334173,34130452974,29217341753,33189784805,3193389362,3430729664
33850813433,33882813433,34073334173,34130452974,29217341753,33189784805,3193389362,3430729664
33850813433,33982813433,34073334173,34362990839,29115844890,33189784805,3193389362,3430729664
33882813433,34062813433,33943485014,34126681883,29125844890,33115795302,3193389362,3430729664
