token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
195120875450790,189939505071484,189010031307805,155772812638314,124917582209059,688018686022185,661501880196280,716645652629056
190604566620754,189939505071484,176704420224684,155302651332840,124917582209059,688018686022185,661501880196280,716645652629056
190438251670320,190989081844332,173686817207012,155302651332840,124917582209059,687623685529648,661501880196280,716645652629056
190438251670320,189893610146778,173686817207012,155012253642981,124589068456943,688046385712701,661501880196280,716645652629056
190438251670320,191210742484529,172603783733518,154939824086241,123708667947309,688428537249124,661501880196280,716645652629056
189939505071484,189156598030839,165775115643555,153466209262818,123247601764102,688428537249124,661501880196280,716645652629056
190989081844332,189156598030839,165775115643555,153925883900254,122765171744382,688428537249124,661501880196280,716645652629056
189709798821496,189156598030839,175200697487689,153207555621215,122554864168070,688146012753644,661897682517762,716645652629056
189156598030839,189156598030839,173649299498980,158156500576005,123679926911155,688146012753644,661897682517762,716645652629056
189156598030839,189156598030839,172535245705236,158126032860066,123452256483373,688146012753644,661897682517762,716645652629056
189156598030839,189156598030839,171500688663125,158126032860066,122550976631991,688146012753644,661897682517762,716645652629056
189156598030839,189156598030839,168342649803196,158126032860066,120998708579205,688146012753644,661897682517762,716645652629056
189156598030839,189156598030839,167312857684993,156718205051859,119918973586202,688146012753644,661897682517762,716645652629056
172603783733518,162545543385484,156508046514683,139203703816363,123226182789785,723512288104736,661897682517762,716645652629056
165775115643555,175200697487689,155772812638314,133435333495948,123239749451516,723512288104736,661897682517762,716645652629056
165775115643555,173349799778405,155302651332840,133568069310603,122331627791541,723512288104736,661897682517762,716645652629056
165775115643555,173649299498980,155302651332840,133568069310603,122094444101351,723512288104736,661897682517762,716645652629056
162545543385484,171500688663125,154939824086241,140003576760027,122049412724958,723512288104736,661897682517762,716645652629056
175200697487689,168342649803196,153490962496962,139985508252236,122049412724958,723512288104736,661897682517762,716645652629056
172535245705236,165806673338731,153350683545888,139985508252236,122796176050137,723512288104736,663086602947773,716645652629056
171500688663125,165722956275210,153350683545888,138582627401305,123535592875799,724977370735469,663086602947773,716645652629056
168342649803196,165438950221878,153207555621215,138612708677496,123351417209948,680829260657797,663086602947773,716645652629056
167312857684993,165438950221878,152994790606931,137177525919357,121916419970603,680829260657797,663086602947773,716645652629056
167312857684993,159041410653542,158156500576005,137177525919357,121826665465178,680829260657797,663086602947773,716645652629056
165806673338731,157062919718848,158126032860066,137261701771730,121822181217096,680829260657797,663086602947773,716645652629056
165722956275210,156613326800773,158126032860066,136362503759149,120530755814127,680829260657797,663086602947773,716645652629056
165438950221878,156583445653639,158126032860066,135686806994154,120093409327141,680829260657797,663086602947773,716645652629056
165438950221878,156581951896307,156718205051859,135594419724279,119548280835995,680829260657797,663086602947773,716645652629056
157062919718848,156508046514683,145098965740752,135880599279964,119548280835995,680829260657797,663209273822108,716645652629056
156613326800773,156508046514683,143950326952787,135745895337876,175667642701616,680829260657797,663209273822108,716645652629056
156583445653639,155772812638314,143259593367378,135410301676539,172470998922446,680829260657797,663209273822108,716645652629056
156581951896307,155302651332840,143259593367378,132207311986043,165353819499312,680829260657797,663209273822108,716645652629056
156508046514683,155012253642981,143234600894203,134828303564963,160235459452541,680829260657797,663209273822108,716645652629056
156508046514683,154939824086241,143922477378400,140693688233193,159303819300356,680829260657797,663209273822108,716645652629056
155772812638314,153490962496962,143720933095708,140294889207319,159286154844756,680801626214894,663209273822108,716645652629056
155302651332840,153466209262818,139523431445709,140175235162266,159286154844756,683206716942983,663209273822108,716645652629056
155012253642981,153350683545888,139112722413334,135562174388838,158539412990214,684147938096215,663209273822108,716645652629056
153490962496962,153207555621215,133435333495948,134359874745743,145480883376395,662385092216667,663209273822108,716645652629056
153466209262818,152994790606931,133568069310603,132241881538721,145098731839972,662596339250912,663209273822108,716645652629056
153350683545888,158126032860066,133568069310603,132117945746424,120119826436522,662596339250912,663386087348005,716645652629056
153350683545888,158126032860066,140003576760027,132117945746424,120119826436522,703779849931492,663386087348005,716645652629056
153207555621215,158126032860066,139985508252236,133425160290439,120119826436522,703779849931492,663386087348005,716645652629056
152994790606931,156718205051859,139985508252236,130172123971914,138680427847804,703779849931492,663386087348005,716645652629056
158156500576005,148772535540230,139985508252236,130172123971914,136709085591651,703779849931492,663386087348005,716645652629056
158126032860066,145098965740752,139985508252236,130550833492254,137259121335811,703779849931492,663386087348005,716645652629056
158126032860066,143259593367378,138612708677496,130039702434936,137404837923061,709532475889509,663386087348005,716645652629056
156718205051859,143259593367378,137177525919357,131139163611791,137512619350611,709172594920180,663386087348005,716645652629056
148772535540230,143259593367378,137177525919357,130384057537350,137445693449808,709172594920180,663386087348005,716645652629056
145098965740752,143234600894203,137261701771730,128700641808238,134088347382349,709172594920180,663386087348005,716645652629056
143259593367378,139523431445709,135594419724279,126581197390499,140532768525094,709826801344403,663386087348005,716645652629056
143259593367378,139112722413334,136170444568149,127961771145671,138772510308870,709826801344403,663386087348005,716645652629056
143234600894203,139112722413334,135880599279964,127961771145671,138772510308870,709796772447700,663386087348005,716645652629056
143922477378400,139203703816363,135745895337876,127961771145671,127084883979572,709796772447700,663386087348005,716645652629056
143720933095708,133435333495948,135410301676539,126983527758261,135578037556963,713522162939278,663386087348005,716645652629056
139112722413334,133568069310603,134828303564963,131094920660235,200256792213597,713560561674221,663386087348005,716645652629056
139203703816363,140003576760027,140693688233193,130476255130861,198908341548512,713560561674221,663386087348005,716645652629056
133435333495948,139985508252236,140294889207319,133040652113393,198908341548512,713560561674221,663386087348005,716645652629056
133568069310603,139985508252236,140175235162266,137472141399429,196067849056692,713560561674221,663386087348005,716645652629056
133568069310603,139985508252236,135562174388838,137082182140146,195468068904900,713560561674221,663386087348005,716645652629056
140003576760027,138582627401305,134359874745743,135930605185940,191985922019360,720847891911558,663386087348005,716645652629056
139985508252236,138612708677496,134359874745743,135930605185940,191985922019360,720847891911558,663386087348005,716645652629056
139985508252236,137177525919357,132241881538721,135930605185940,191985922019360,720847891911558,663386087348005,716645652629056
138582627401305,136362503759149,132117945746424,135364742991123,172837205098896,720847891911558,663386087348005,716645652629056
138612708677496,135686806994154,133425160290439,135364742991123,172837205098896,720847891911558,663386087348005,716645652629056
136362503759149,135745895337876,130550833492254,132569885099395,183443736745911,674548646507204,663386087348005,716645652629056
135686806994154,135410301676539,130039702434936,132324675576337,182498064658267,674548646507204,663386087348005,716645652629056
135594419724279,133659025373415,131139163611791,132061897076401,182871007389382,674548646507204,663386087348005,716645652629056
135880599279964,134828303564963,128700641808238,132236114405007,182071885122183,674548646507204,663386087348005,716645652629056
135745895337876,140693688233193,127483488570594,132236114405007,178936394655367,674548646507204,663386087348005,716645652629056
135410301676539,140294889207319,126581197390499,129073808517384,179320864505896,674548646507204,663386087348005,716645652629056
133659025373415,140175235162266,126581197390499,128069550215844,178657726698705,675094141538007,663386087348005,716645652629056
132207311986043,135562174388838,127961771145671,127970980040855,179042036919188,677149385472113,663466766909199,716645652629056
134828303564963,135562174388838,127961771145671,127970980040855,178083162949959,677149385472113,663466766909199,716645652629056
140693688233193,134359874745743,127961771145671,130173697164360,176831629541741,677838954034125,663466766909199,716645652629056
140294889207319,134359874745743,126983527758261,130122247982402,174144607030095,679060571453380,663466766909199,716645652629056
140175235162266,132241881538721,121405611983177,130468905554322,179378319362572,679060571453380,663466766909199,716645652629056
135562174388838,132117945746424,121120222816939,139137002852019,179378319362572,679060571453380,663466766909199,716645652629056
135562174388838,132117945746424,131094920660235,139137002852019,179378319362572,679060571453380,663466766909199,716645652629056
