open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:33,206639103134749,206639103134749,206639103134749,206639103134749,206639103134749,206639103134749,206639103134749,206639103134749,206639103134749,206639103134749,206639103134749,0,-1207604761618,0,-1207604761618,0,-1207604761618,0,-1207604761618,0,-1207604761618,0,-1207604761618,0,-1207604761618,0,-1207604761618,0,-1207604761618,0,-1207604761618,-1207604761618,0,0.0,0.0,0.0,0.0
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:34,205653675228194,205653675228194,205653675228194,205653675228194,205653675228194,205653675228194,205653675228194,205653675228194,205653675228194,205653675228194,205653675228194,1921510753792,-16706833348985,1921510753792,-16706833348985,1921510753792,-16706833348985,1921510753792,-16706833348985,1921510753792,-16706833348985,1921510753792,-16706833348985,1921510753792,-16706833348985,1921510753792,-16706833348985,1921510753792,-16706833348985,1921510753792,-16706833348985,-16706833348985,1,1.0,1.0,1.0,0.0
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:35,191558986554393,191558986554393,191558986554393,191558986554393,191558986554393,191558986554393,191558986554393,191558986554393,191558986554393,191558986554393,191558986554393,1921510753792,-18936853634601,1921510753792,-18936853634601,1921510753792,-18936853634601,1921510753792,-18936853634601,1921510753792,-18936853634601,1921510753792,-18936853634601,1921510753792,-18936853634601,1921510753792,-18936853634601,1921510753792,-18936853634601,1921510753792,-18936853634601,-18936853634601,1,1.0,1.0,1.0,0.0
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:36,189829680721111,189829680721111,189829680721111,189829680721111,189829680721111,189829680721111,189829680721111,189829680721111,189829680721111,189829680721111,189829680721111,1921510753792,-23666339558314,1921510753792,-23666339558314,1921510753792,-23666339558314,1921510753792,-23666339558314,1921510753792,-23666339558314,1921510753792,-23666339558314,1921510753792,-23666339558314,1921510753792,-23666339558314,1921510753792,-23666339558314,1921510753792,-23666339558314,-23666339558314,1,1.0,1.0,1.0,0.0
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:37,184426080873041,184426080873041,184426080873041,184426080873041,184426080873041,184426080873041,184426080873041,184426080873041,184426080873041,184426080873041,184426080873041,6680052051692,-24416394739213,6680052051692,-24416394739213,6680052051692,-24416394739213,6680052051692,-24416394739213,6680052051692,-24416394739213,6680052051692,-24416394739213,6680052051692,-24416394739213,6680052051692,-24416394739213,6680052051692,-24416394739213,6680052051692,-24416394739213,-24416394739213,2,0.7123509309623871,1.0,1.0,0.6000332536837181
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:39,188619545957986,205653675228194,188619545957986,188619545957986,188619545957986,188619545957986,188619545957986,188619545957986,188619545957986,188619545957986,188619545957986,13439209116991,-24354071531485,13439209116991,-25561676293103,13439209116991,-25561676293103,13439209116991,-25561676293103,13439209116991,-25561676293103,13439209116991,-25561676293103,13439209116991,-25561676293103,13439209116991,-25561676293103,13439209116991,-25561676293103,13439209116991,-25561676293103,-25561676293103,3,0.5029430680376492,1.0,1.0,0.9913805453123791
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:40,192490733658424,191558986554393,192490733658424,192490733658424,192490733658424,192490733658424,192490733658424,192490733658424,192490733658424,192490733658424,192490733658424,11517698363199,-12631928429172,13439209116991,-29338761778157,13439209116991,-29338761778157,13439209116991,-29338761778157,13439209116991,-29338761778157,13439209116991,-29338761778157,13439209116991,-29338761778157,13439209116991,-29338761778157,13439209116991,-29338761778157,13439209116991,-29338761778157,-29338761778157,3,0.5029430680376492,1.0,1.0,0.9913805453123791
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:41,190978200090609,189829680721111,190978200090609,190978200090609,190978200090609,190978200090609,190978200090609,190978200090609,190978200090609,190978200090609,190978200090609,11632289996080,-12644793081716,13553800749872,-31581646716317,13553800749872,-31581646716317,13553800749872,-31581646716317,13553800749872,-31581646716317,13553800749872,-31581646716317,13553800749872,-31581646716317,13553800749872,-31581646716317,13553800749872,-31581646716317,13553800749872,-31581646716317,-31581646716317,4,0.49869089785481996,1.0,1.0,1.0317716688788263
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:42,186721321868448,184426080873041,186721321868448,186721321868448,186721321868448,186721321868448,186721321868448,186721321868448,186721321868448,186721321868448,186721321868448,11632289996080,-10066139323110,13553800749872,-33732478881424,13553800749872,-33732478881424,13553800749872,-33732478881424,13553800749872,-33732478881424,13553800749872,-33732478881424,13553800749872,-33732478881424,13553800749872,-33732478881424,13553800749872,-33732478881424,13553800749872,-33732478881424,-33732478881424,4,0.49869089785481996,1.0,1.0,1.0317716688788263
2024-06-11 00:10:33,206900000000000,2024-06-11 00:10:43,186508935891457,184426080873041,206639103134749,186508935891457,186508935891457,186508935891457,186508935891457,186508935891457,186508935891457,186508935891457,186508935891457,10844249104614,-10846841052684,17524301156306,-35263235791897,17524301156306,-35263235791897,17524301156306,-35263235791897,17524301156306,-35263235791897,17524301156306,-35263235791897,17524301156306,-35263235791897,17524301156306,-35263235791897,17524301156306,-35263235791897,17524301156306,-35263235791897,-35263235791897,5,0.38570194640068506,1.0,1.0,1.333101881761411
