token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
700843600000,700843800000,700847490050,700871707425,705699708431,712032308431,722906308431,737677719630
700843600000,700844300000,700847490050,700871707425,705699708431,712032308431,722906308431,737677719630
700843800000,700845300000,700847490050,700871707425,705699708431,712032308431,722906308431,737677719630
700843800000,700845300000,700847980100,700871707425,705699708431,712032308431,722906308431,737677719630
700843800000,700845300000,700847880598,700871707425,705699708431,712032308431,722906308431,737677719630
700843800000,700845300000,700857880598,700871707425,705699708431,712032308431,722906308431,737677719630
700845300000,700845400000,700857980598,700871707425,705699708431,712032308431,722906308431,737677719630
700845300000,700846500000,700907383345,700871707425,705699708431,712510308431,722906308431,737677719630
700845400000,700846500000,700907084648,700871707425,705699708431,712510308431,722906308431,737677719630
700846500000,700847000000,700906686433,700871707425,705699708431,712510308431,722906308431,737677719630
700846500000,700847490050,700906686433,700871707425,705699708431,713262308431,722906308431,737677719630
700847490050,700847880598,700871826833,700871707425,705699708431,713262308431,722906308431,737677719630
700847980100,700907980598,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700907980598,700906885469,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700907880937,700906885469,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700907681900,700906686433,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700907383345,700906686433,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700906885469,700906686433,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700906885469,700906686433,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700906686433,700906586915,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700906686433,700856836783,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700906686433,700871836783,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700906686433,700856936287,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700906586915,700871826833,700871707425,700871707425,705699708431,713262308431,722906308431,737677719630
700871826833,700871707425,700871707425,700871707425,706395708431,713262308431,722906308431,737677719630
700871707425,700871707425,700871707425,700871707425,706395708431,713262308431,722906308431,737677719630
700871707425,700871707425,700871707425,700871707425,706395708431,713262308431,722906308431,737677719630
700871707425,700871707425,700871707425,700871707425,706395708431,713262308431,722906308431,737677719630
700871707425,700871707425,700871707425,700871707425,706395708431,713262308431,722906308431,737677719630
700871707425,700871707425,700871707425,700871707425,706395708431,713262308431,722906308431,737677719630
701576707425,701576707425,702251707425,702759708431,708519308431,714376308431,722906308431,737677719630
702251707425,702251707425,702250708431,703312708431,708519308431,714376308431,722906308431,737677719630
702250708431,702250708431,702759708431,703838708431,709142308431,714930308431,722906308431,737677719630
702759708431,702759708431,703838708431,704261708431,709142308431,715663308431,722906308431,737677719630
703312708431,703312708431,703838708431,704261708431,709671308431,716164308431,722906308431,737677719630
703838708431,703838708431,704261708431,704956708431,710098308431,716164308431,722906308431,737677719630
704261708431,704261708431,704941708431,705699708431,710877308431,716164308431,722906308431,737677719630
704956708431,704956708431,705699708431,705699708431,711517308431,716164308431,722906308431,737677719630
704956708431,704956708431,705699708431,705699708431,711517308431,716164308431,722906308431,737677719630
704962708431,705699708431,705699708431,705699708431,712032308431,716164308431,722906308431,737677719630
705699708431,705699708431,705699708431,706395708431,712032308431,716164308431,722906308431,737677719630
706395708431,706395708431,706413308431,706885308431,713262308431,717563308431,722906308431,737677719630
707030708431,706413308431,706885308431,708519308431,713262308431,718134308431,722906308431,737677719630
706413308431,706413308431,706885308431,708519308431,713863308431,718134308431,722906308431,737677719630
706885308431,706885308431,708519308431,708519308431,713863308431,719584308431,722906308431,737677719630
708519308431,708519308431,708519308431,709142308431,714376308431,719584308431,722906308431,737677719630
708519308431,708519308431,708519308431,709142308431,714376308431,719584308431,722906308431,737677719630
709142308431,709142308431,709142308431,710098308431,714376308431,720755308431,722906308431,737677719630
709671308431,709671308431,710877308431,710877308431,715663308431,721434308431,722906308431,737677719630
710098308431,710877308431,710877308431,711517308431,716164308431,722196308431,722906308431,737677719630
710877308431,710877308431,710877308431,712032308431,716164308431,722196308431,722906308431,737677719630
711517308431,711517308431,712032308431,712510308431,716164308431,722906308431,722906308431,737677719630
712032308431,712032308431,712032308431,713262308431,716164308431,722906308431,722906308431,737677719630
712510308431,713262308431,713262308431,713262308431,716883308431,722906308431,722906308431,737677719630
713262308431,713262308431,713262308431,713863308431,717563308431,722906308431,722906308431,737677719630
713863308431,713863308431,713863308431,714376308431,718134308431,722906308431,722906308431,737677719630
714376308431,714376308431,714376308431,715663308431,719584308431,722906308431,737088719630,738577719630
715663308431,715663308431,715663308431,716164308431,721434308431,722906308431,737088719630,738577719630
715663308431,715663308431,715663308431,716164308431,721434308431,722906308431,737088719630,738577719630
716164308431,716164308431,716164308431,716164308431,722196308431,722906308431,737088719630,738577719630
716883308431,716883308431,717563308431,718134308431,722906308431,722906308431,737088719630,739797719630
717563308431,717563308431,717563308431,718134308431,722906308431,722906308431,737088719630,739797719630
718134308431,718134308431,718134308431,719584308431,722906308431,722906308431,737088719630,739797719630
719584308431,719584308431,719584308431,720755308431,722906308431,722906308431,737088719630,739797719630
719584308431,719584308431,719584308431,720755308431,722906308431,722906308431,737088719630,739797719630
720153308431,720153308431,720755308431,721434308431,722906308431,722906308431,737088719630,739797719630
720755308431,720755308431,721434308431,722196308431,722906308431,722906308431,737088719630,741136719630
721434308431,721434308431,722196308431,722196308431,722906308431,722906308431,737088719630,741136719630
722196308431,722196308431,722196308431,722906308431,722906308431,722906308431,737088719630,742165719630
722144308431,722144308431,722906308431,722906308431,722906308431,722906308431,737088719630,743184719630
722906308431,722906308431,722906308431,722906308431,722906308431,722906308431,737088719630,743184719630
737088719630,737088719630,737088719630,737088719630,737088719630,737677719630,737677719630,95
737677719630,737677719630,737677719630,737677719630,737677719630,737677719630,743924719630,95
738577719630,738577719630,738577719630,738577719630,739797719630,745342719630,95,95
739797719630,739797719630,739797719630,739797719630,743184719630,748589719630,95,95
739797719630,739797719630,739797719630,739797719630,743184719630,748589719630,95,95
740435719630,741136719630,741136719630,742165719630,746576719630,95,95,95
741136719630,741136719630,741136719630,742165719630,746576719630,95,95,95
742165719630,742165719630,742165719630,743184719630,746576719630,95,95,95
742165719630,742165719630,742165719630,743184719630,746576719630,95,95,95
742739719630,743184719630,743184719630,743184719630,748589719630,95,95,95
743184719630,743184719630,743184719630,743184719630,748589719630,95,95,95
744669719630,744669719630,745342719630,745342719630,748589719630,95,95,95
744669719630,744669719630,745342719630,745342719630,748589719630,95,95,95
745342719630,745342719630,745342719630,746576719630,95,95,95,95
745949719630,746576719630,746576719630,747040719630,95,95,95,95
746576719630,746576719630,746576719630,747040719630,95,95,95,95
747040719630,747040719630,748589719630,748589719630,95,95,95,95
747813719630,747813719630,748589719630,748589719630,95,95,95,95
748589719630,748589719630,748589719630,748589719630,95,95,95,95
95,95,95,95,95,95,95,95
