token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
25001000000,25001400000,25002200000,25002800000,25004600482,25004600482,25004600482,25004600482
25001900000,25001900000,25002700000,25002800000,25004600482,25004600482,25004600482,25004600482
25001900000,25001900000,25002700000,25002800000,25004600482,25004600482,25004600482,25004600482
25001900000,25001900000,25002800000,25002800000,25004600482,25004600482,25004600482,25004600482
25002200000,25002200000,25002800000,25003300000,25004600482,25004600482,25004600482,25004600482
25002800000,25002800000,25002800000,25003400000,25004600482,25004600482,25004600482,25004600482
25002800000,25002800000,25002800000,25003600000,25004600482,25004600482,25004600482,25004600482
25003300000,25003400000,25003600000,25003700482,25004600482,25004600482,25004600482,25004600482
25003400000,25003400000,25003600000,25003700482,25004600482,25004600482,25004600482,25004600482
25003600000,25003600000,25003700482,25003700482,25004600482,25004600482,25004600482,25004600482
25003700482,25003700482,25003700482,25003900482,25004600482,25004600482,25004600482,25004600482
25003700482,25003700482,25003700482,25003900482,25004600482,25004600482,25004600482,25004600482
25003900482,25003900482,25004400482,25004600482,25004600482,25004600482,25004600482,25004600482
25004400482,25004400482,25004600482,25004600482,25004600482,25004600482,25004600482,25004600482
25004600482,25004600482,25004600482,25004600482,25004600482,25004600482,25004600482,25004600482
645964,645964,645964,645964,645964,645964,645964,645964
645964,645964,645964,645964,645964,645964,645964,645964
