token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
64279036662,73939528883,201481898368,285716993791,141056865346,13612,13612,13612
70835564769,73939528883,201481898368,285716993791,141056865346,13612,13612,13612
73939528883,73939528883,201481898368,289078159620,141056865346,13612,13612,13612
73939528883,82637079657,202475168499,296832533533,141056865346,13612,13612,13612
73939528883,82637079657,221722988288,303902038053,141056865346,13612,13612,13612
73939528883,95263123707,221433978451,303902038053,116450485748,13612,13612,13612
73939528883,95263123707,222613152809,302558093780,110231282287,13612,13612,13612
73939528883,95263123707,248651110560,303369986330,110231282287,13612,13612,13612
95263123707,126714567781,272821483958,304331496017,97476467934,13612,13612,13612
95263623707,174310920531,272602570075,306710686049,97476467934,13612,13612,13612
174310920531,201481898368,296880993235,348695922653,97327702053,13612,13612,13612
174310920531,201481898368,277068971170,334376905378,97527702053,13612,13612,13612
177004230471,201481898368,292928860891,334376905378,97527702053,13612,13612,13612
188011484618,221722988288,256853302633,274576547321,97198783159,13612,13612,13612
201481898368,221433978451,285194411334,274576547321,97088117297,13612,13612,13612
201481898368,248651110560,263164477580,279562767724,96262839160,13612,13612,13612
202475168499,257792054104,263386761029,289033089261,96262839160,13612,13612,13612
221722988288,253549655778,269609990586,299792878590,96262839160,13612,13612,13612
221433978451,258763207931,285716993791,296763618611,96262839160,13612,13612,13612
257792054104,272821483958,296832533533,273101768314,96462839160,13612,13612,13612
253549655778,272602570075,303902038053,273201768314,96462839160,13612,13612,13612
258763207931,272602570075,303902038053,273201768314,96462839160,13612,13612,13612
266739266271,272603070075,302558093780,274388889072,96462839160,13612,13612,13612
270444069002,272603070075,303369986330,280454059463,96462839160,13612,13612,13612
272821483958,272603070075,309689323307,297794850901,96462839160,13612,13612,13612
272602570075,273748415119,302541812492,258088072701,96462839160,13612,13612,13612
272602570075,296880993235,304331496017,255083985741,13612,13612,13612,13612
272603070075,277068971170,304331496017,248051150177,13612,13612,13612,13612
