token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
198147109137598,207901780924533,192784953823748,202182366956996,238415718405405,233878901972807,420114935383339,713749255806719
209669033847404,210212536517206,193682953768749,202182366956996,238415718405405,243821671707511,420114935383339,713749255806719
205615158020033,198603629778064,189278715906601,200704193995798,238415718405405,243821671707511,420114935383339,713749255806719
204296424819052,199044745270960,189127745247794,199242958476298,238415718405405,242569299008622,420114935383339,713749255806719
206225160499397,208224678479465,186954465977372,199242958476298,237905099070297,242569299008622,420114935383339,713749255806719
207901780924533,211039261213176,173101160535667,199242958476298,242132496725528,241694927220099,420114935383339,713749255806719
210212536517206,203252750997099,188533260063538,199242958476298,250140707080703,239946579221378,420114935383339,713749255806719
198603629778064,195851916485228,188533260063538,199743069259057,246077588769196,239946579221378,420114935383339,713749255806719
199044745270960,197056185756113,188533260063538,199743069259057,246077588769196,239946579221378,420114935383339,713749255806719
208224678479465,197056185756113,199587124833826,199743069259057,246077588769196,239663661066297,420114935383339,713749255806719
211039261213176,193882221031179,197446809028144,199743069259057,245533751898226,239646701970857,420114935383339,713749255806719
203252750997099,193767827466865,197694636892199,199545408238706,245533751898226,239733017271312,420114935383339,713749255806719
195851916485228,192615296467223,197694636892199,197157009293512,245533751898226,240212376789860,420114935383339,713749255806719
197056185756113,192615296467223,197102174920867,197831649246565,246126213869558,239618396857210,420114935383339,713749255806719
197056185756113,181341663191289,197102174920867,197831649246565,246126213869558,240147773652426,420114935383339,713749255806719
193882221031179,181341663191289,201313958360218,201175257409388,246126213869558,233524460886617,420114935383339,713749255806719
193767827466865,181030466500301,199604583816039,201175257409388,246126213869558,253128368114769,421215388482949,713749255806719
192615296467223,187290491632861,184427318615776,201175257409388,246126213869558,252186213065599,421215388482949,713749255806719
192615296467223,188142925381580,194636390828717,197568252745942,245401354212402,252186213065599,421215388482949,713749255806719
181341663191289,192784953823748,183876558637648,181455412086510,243607760877782,251996731389343,421215388482949,713749255806719
181030466500301,193682953768749,183876558637648,181455412086510,243607760877782,251996731389343,421215388482949,713749255806719
187290491632861,189278715906601,196397782546126,181455412086510,243607760877782,251769729318481,422089624526040,714004614120009
192071941395512,186954465977372,198785473708105,181455412086510,243866074656905,251769729318481,419498556492847,714004614120009
193682953768749,188533260063538,202126153254253,188343393093940,243830395381379,252696492273852,419498556492847,714004614120009
189278715906601,188533260063538,202077053444319,184878863847478,243830395381379,252696492273852,419498556492847,714004614120009
189127745247794,188533260063538,202077053444319,184878863847478,243830395381379,250825616337200,419498556492847,714004614120009
186954465977372,199587124833826,202130149269997,186213014385747,243830395381379,247129403767340,419498556492847,714004614120009
173101160535667,197446809028144,202182366956996,186002893415932,243830395381379,247129403767340,419498556492847,714004614120009
188533260063538,197694636892199,202182366956996,185588250922918,243830395381379,246410462609993,417323113750321,714004614120009
188533260063538,197694636892199,200704193995798,207736674490659,243830395381379,246410462609993,417323113750321,714004614120009
188533260063538,197102174920867,199242958476298,207736674490659,243830395381379,246410462609993,417323113750321,714004614120009
199587124833826,197102174920867,199242958476298,207736674490659,243830395381379,246410462609993,417323113750321,714004614120009
197446809028144,201313958360218,199242958476298,207736674490659,243830395381379,279938344144626,417323113750321,714004614120009
197694636892199,199604583816039,199242958476298,209888179602587,243474176131092,279938344144626,417323113750321,714004614120009
197102174920867,194636390828717,199743069259057,207016084705148,243474176131092,279803937764238,417323113750321,714004614120009
201313958360218,183876558637648,199743069259057,207016084705148,243474176131092,276633895925520,417323113750321,714004614120009
199604583816039,183876558637648,199545408238706,207016084705148,243474176131092,276133059638326,417323113750321,714004614120009
194636390828717,196397782546126,197831649246565,207016084705148,243474176131092,275898875439419,417323113750321,714004614120009
183876558637648,200940626212800,201175257409388,207016084705148,243474176131092,275785495969543,417323113750321,714004614120009
183876558637648,202126153254253,201175257409388,207016084705148,243474176131092,275785495969543,417323113750321,771712926335896
196397782546126,202077053444319,201175257409388,194904585792978,243474176131092,284501443626444,417323113750321,771712926335896
196397782546126,202077053444319,197568252745942,194904585792978,243474176131092,295501895178507,417323113750321,771712926335896
200940626212800,202182366956996,181455412086510,190426449304901,241726114571859,295501895178507,417323113750321,771712926335896
202077053444319,200704193995798,181455412086510,180161765129828,239485701163324,288491383688937,417323113750321,771712926335896
202130149269997,199242958476298,181455412086510,180354556720486,241856500445635,287206567074518,417323113750321,771712926335896
202182366956996,199242958476298,193882212559331,180354556720486,241856500445635,287206567074518,417323113750321,771712926335896
202182366956996,199242958476298,188343393093940,172509829194978,247103705384036,287206567074518,417323113750321,771712926335896
200704193995798,199743069259057,184878863847478,178559204096884,246009562280937,284769780747251,417323113750321,771712926335896
199242958476298,199743069259057,186213014385747,178838594849661,246009562280937,279364156389848,417323113750321,771712926335896
199242958476298,199743069259057,186002893415932,181451761907964,246428044778685,281283040554539,417323113750321,771712926335896
199743069259057,197157009293512,207736674490659,181451761907964,246428044778685,275693172115703,417323113750321,771712926335896
199743069259057,197831649246565,207736674490659,181451761907964,246428044778685,275693172115703,417323113750321,771712926335896
197157009293512,201175257409388,207276293300372,199423681329597,252550576159141,277773883825216,417323113750321,771841825670126
201175257409388,181455412086510,207016084705148,187566039348342,268811071682864,278804098486370,417323113750321,771841825670126
201175257409388,181455412086510,207016084705148,187566039348342,269451730479020,278804098486370,417969470283205,771841825670126
197568252745942,181455412086510,207016084705148,185292721769729,268799033739942,278804098486370,417969470283205,771841825670126
181455412086510,193882212559331,207016084705148,185165295839570,269249920167803,278065112448336,417969470283205,771841825670126
181455412086510,184878863847478,194904585792978,187652846073531,273792819533120,278065112448336,417969470283205,771841825670126
181455412086510,186213014385747,190426449304901,187652846073531,274477369434071,279857589395579,417969470283205,771841825670126
186002893415932,207736674490659,180354556720486,204787712564167,279691227839217,288474842034024,419812273875212,771841825670126
185588250922918,209888179602587,172509829194978,204762361413511,280555426192072,288474842034024,419812273875212,771841825670126
207736674490659,207276293300372,178559204096884,203502757650421,280555426192072,288474842034024,419812273875212,771841825670126
