token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
171043156557393,156577355576085,161761873826375,173189426072718,265748308237297,307072689744471,124698570881751,312788474439720
170218673628440,157730220111127,187088576982648,178719048454253,265748308237297,307072689744471,125977527009085,312788474439720
167700416182973,160273447359543,181426877752940,179987877175870,265748308237297,306961323838090,125201433558280,312788474439720
166768141949285,157071011136867,185130156747598,172186404779015,265119077205730,301494191061588,119795930797431,312788474439720
165190473450782,154666471919525,180342698134024,172161288064432,271319625095462,301494191061588,119923169229446,312788474439720
156577355576085,145158403570762,180342698134024,170835214573110,274673628549183,301494191061588,119923169229446,312788474439720
157730220111127,165207213558494,178417828737078,170835214573110,283178886085774,301494191061588,118635154540939,312788474439720
160273447359543,181349828441210,184643830750795,172022143355438,296173718455729,303233857449898,117048906353491,312707251599651
157071011136867,179391540946529,183576515082883,173810920271292,290224995560736,303233857449898,113171524571354,312707251599651
154666471919525,179391540946529,187269053351785,172627994323753,285346410368221,303233857449898,113481331384670,312707251599651
145158403570762,181919761195756,190560717111991,170799242454962,285560844056374,303233857449898,111596893703536,312707251599651
165207213558494,172478705116805,189465480581920,171242736773393,297986662400259,292747931870723,110820025311914,312626070984269
181349828441210,177030228518436,181802472371726,184524030188606,297986662400259,292747931870723,111379135535505,312544932560643
179391540946529,175145698166381,183120625035117,183870721425242,297986662400259,292747931870723,111309049216996,312544932560643
179391540946529,173950970708270,184952069066878,183870721425242,283249506552671,292747931870723,111930509941834,312544932560643
181919761195756,173950970708270,186228243279711,186142848577875,295284026917183,297662074349863,112917139608309,312544932560643
172478705116805,168787492174923,177601111292935,186027647770486,294766352145492,297662074349863,111947043631822,312544932560643
177030228518436,173713003003758,168719949404442,178187995815062,289687737630170,297662074349863,111889242907430,313572668796266
175145698166381,173713003003758,167861893508796,180705072367433,289687737630170,297662074349863,114315706986519,313572668796266
173950970708270,161761873826375,169967416894425,175005555970875,289812911488753,297662074349863,113024725840220,313572668796266
168787492174923,187088576982648,173900349007505,175005555970875,296505298484927,302629092168406,113024725840220,313107534045340
173713003003758,181426877752940,171212820361733,169620092158699,296244115009458,302629092168406,113024725840220,313107534045340
173713003003758,185130156747598,171294860093621,177754536808452,296244115009458,302629092168406,114330268278752,306311465493513
173713003003758,180342698134024,170069831404807,191125965317346,296244115009458,302629092168406,114330268278752,306311465493513
187088576982648,178417828737078,175372317276696,196017375261691,296238931338393,302629092168406,113958345221870,306311465493513
181426877752940,184643830750795,176275904246137,193698731171191,296238931338393,297315727851113,112592193776506,306311465493513
180342698134024,190560717111991,173189426072718,184198833829959,296238931338393,294122487123373,112716829289837,306311465493513
178417828737078,189465480581920,178719048454253,186583081830720,296238931338393,294122487123373,115318721701970,306311465493513
184643830750795,181802472371726,179987877175870,184463963084428,296238931338393,294122487123373,115415988331550,306311465493513
183576515082883,183120625035117,172186404779015,187540885871440,294940304973200,294020359615422,117638286337978,306311465493513
187269053351785,184952069066878,172161288064432,184245108801196,294940304973200,294020359615422,117732882135632,306311465493513
189465480581920,177601111292935,170835214573110,182420654663809,288372146714962,294020359615422,117732882135632,306233576748763
181802472371726,168719949404442,172022143355438,180826608037469,278905871135640,294020359615422,116557938564289,303603635251963
183120625035117,167861893508796,173810920271292,180826608037469,284073445523625,294020359615422,117669915527582,303603635251963
184952069066878,170762357674342,172627994323753,196688379394530,284073445523625,294020359615422,127385775906084,303374202401290
186228243279711,169967416894425,170799242454962,196688379394530,299859151792050,294020359615422,126409373025365,303374202401290
