token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
195508432157923,172585332381012,137544758941462,144528262153386,92668344701218,78484401895699,62779260481783,64606321688284
194268625784176,172585332381012,138233167615801,144528262153386,92668344701218,78484401895699,62779260481783,64606321688284
182529127211310,172585332381012,127858903811400,144836638611953,89656617960339,78484401895699,62779260481783,64606321688284
188873471711815,166177300893461,132636499704470,141036770128368,89656617960339,78484401895699,62779260481783,64606321688284
172585332381012,171641358330343,132757416865969,141036770128368,89632284835577,78484401895699,62779260481783,64606321688284
172585332381012,163002188473112,134334499753667,141036770128368,89693196667304,78298957546444,62732087902531,64606321688284
172585332381012,158555764784720,134312538341473,141036770128368,92410461854831,78302060543133,63097495844594,64606321688284
166177300893461,158555764784720,133223549256086,141213828435272,92410461854831,78302060543133,63097495844594,64606321688284
171641358330343,158555764784720,132685660901876,138853853871696,92410461854831,78302060543133,63097495844594,64606321688284
158555764784720,138914154561404,131537674220154,133011777716923,93102360249986,78302060543133,64769782659594,64544243183126
158555764784720,136625001424364,134815301530608,133011777716923,86367163516484,78302060543133,64796788437016,64512331738373
143323556029649,138700933463709,134815301530608,133011777716923,86642277334755,78099066618606,64796788437016,64512331738373
143323556029649,139888542555803,134923324640296,133011777716923,86642277334755,74871787410555,64796788437016,64512331738373
144987979474339,139888542555803,135953776250509,135929109998514,86642277334755,74871787410555,64796788437016,64512331738373
138700933463709,138233167615801,134376378656696,139423164199511,86417899470873,74871787410555,64796788437016,64512331738373
139888542555803,127858903811400,135297296475532,139423164199511,86372711931992,74848115011238,64796788437016,64512331738373
137544758941462,132636499704470,136290229187692,139131404274183,86672404978890,74848115011238,64843056542314,64512331738373
137544758941462,132757416865969,136747613248544,139161390720747,86672404978890,74831384289701,64843056542314,64512331738373
138233167615801,134334499753667,140013114632914,138575437636911,86672404978890,75192150484407,64843056542314,64512331738373
127858903811400,134312538341473,146655726957262,142745025454216,86220004566338,75178505735154,64843056542314,64512331738373
132636499704470,133223549256086,144528262153386,139160071376947,86197508779812,75178505735154,64843056542314,64512331738373
134334499753667,134653377512286,144528262153386,139042504113166,86409201916616,75178505735154,65095933044500,64532626395695
134312538341473,134186464257883,144490558062448,143564120730979,86409201916616,75166545826592,65095933044500,64532626395695
133223549256086,131537674220154,141036770128368,141393507757397,87470570322178,74949445539126,65095933044500,64532626395695
132685660901876,134815301530608,141036770128368,141393507757397,87470570322178,74949445539126,65095933044500,64532626395695
134653377512286,134815301530608,141036770128368,146401084733864,86005227228827,74949445539126,65095933044500,64532626395695
134186464257883,134923324640296,141036770128368,145110439692255,86793137873333,75172139480318,65095933044500,64532626395695
131537674220154,141415666684326,141213828435272,152541977274913,86566927688861,75155264077228,64778054802807,64812295454509
134815301530608,140221549563750,138853853871696,152541977274913,86566927688861,75252091459083,64778054802807,64812295454509
134815301530608,134376378656696,138966615067695,152541977274913,86521661808710,75192338252992,64530240074600,64812295454509
134923324640296,135297296475532,138615353727116,151876260555764,86521661808710,75192338252992,64538881106727,64812295454509
135953776250509,135297296475532,138615236936634,151599361840640,86521661808710,75192338252992,64538881106727,64812295454509
141415666684326,136290229187692,133011777716923,151599361840640,87351434844304,75175283367688,64538881106727,64812295454509
140221549563750,136747613248544,133011777716923,151602440441139,88764637235520,75175283367688,64538881106727,64812295454509
135297296475532,146655726957262,133011777716923,151602440441139,89150841150709,75175283367688,64538881106727,64812295454509
135297296475532,142871960794949,135929109998514,150761115220816,82667746697000,75175283367688,64538881106727,64812295454509
136290229187692,144528262153386,135928997708169,149406713744053,86502157915597,77527551683791,64538881106727,64812295454509
136747613248544,144528262153386,139423164199511,152991667821322,86502157915597,77527551683791,64549110850399,64812295454509
140013114632914,144528262153386,139423164199511,150200495252852,86502157915597,77527551683791,64549110850399,64812295454509
146655726957262,144490558062448,139423164199511,152385114933254,87413246034014,77527551683791,64549110850399,64812295454509
144528262153386,141036770128368,139131404274183,149643281844708,86476486940027,77527551683791,64549110850399,64812295454509
144528262153386,141036770128368,139161390720747,149643281844708,86228614308370,77527551683791,64549110850399,64812295454509
144528262153386,141036770128368,138575437636911,151972494108144,86228614308370,77502173255652,64400748694281,64787291463725
144490558062448,141036770128368,142745025454216,151972494108144,86183658593899,77502173255652,64400748694281,64787291463725
144836638611953,141036770128368,142745025454216,151972494108144,86727156289422,77502173255652,64400748694281,64787291463725
141036770128368,141213828435272,139160071376947,156713249320732,86707079544240,77502173255652,64400748694281,64787291463725
141036770128368,138615353727116,143564120730979,154640044366116,85815858932027,77502173255652,64699921710986,64787291463725
141036770128368,138615236936634,141661243210877,154935940840807,86164525425541,77412575532351,64699921710986,64787291463725
141213828435272,133011777716923,141393507757397,155153037775585,86164525425541,81262670927793,64699921710986,64787291463725
133011777716923,135928997708169,152541977274913,154451287638073,85339869818124,77501029206469,64662844333752,64662560462357
133011777716923,139423164199511,152541977274913,154378914129298,85339869818124,77501029206469,64662844333752,64662560462357
133011777716923,139423164199511,152541977274913,154235814665304,85339869818124,77501029206469,64662844333752,64662560462357
133011777716923,139423164199511,151876260555764,154235814665304,86171859395528,77501029206469,64662844333752,64662560462357
135929109998514,139423164199511,151599361840640,154235814665304,86624259808080,77131679258331,64662844333752,64662560462357
135928997708169,139131404274183,151599361840640,154235814665304,86648592932842,77131679258331,64662844333752,64662560462357
139423164199511,142745025454216,150761115220816,154235814665304,86603205963435,76396474532893,64662844333752,64662560462357
139131404274183,139160071376947,149406713744053,154235814665304,86603205963435,76396474532893,64662844333752,64662560462357
139161390720747,139160071376947,152991667821322,154235814665304,86603205963435,76396474532893,64679899219056,64662560462357
139160071376947,141393507757397,149643281844708,155742370873177,87316891656195,76396474532893,64750354876617,64662560462357
139160071376947,141393507757397,149643281844708,155742370873177,87316891656195,76492447634759,64750354876617,64662560462357
139042504113166,146401084733864,151972494108144,155923346374504,87316891656195,76457169732593,64750354876617,64662560462357
143564120730979,145110439692255,151972494108144,155923346374504,87316891656195,76469961404040,64698325374987,64662560462357
141393507757397,152541977274913,156713249320732,152795019681035,88775247243662,76683062149424,64698325374987,65443551629615
146401084733864,152541977274913,154640044366116,153698385474124,88775247243662,76683062149424,64698325374987,65472485294516
145110439692255,151876260555764,154640044366116,153698385474124,88775247243662,76683062149424,64698325374987,65472485294516
147166771605615,151599361840640,154935940840807,154989030515733,88775247243662,76686463932270,64698325374987,65472485294516
152541977274913,151599361840640,155153037775585,155222231784075,88775247243662,76598768306913,64698325374987,65472485294516
152541977274913,151602440441139,151937351177286,155808184867911,88775247243662,76805916728187,64698325374987,65472485294516
151876260555764,151602440441139,154649399833501,155808184867911,88811509324724,76805916728187,64698325374987,65728901832000
151599361840640,150761115220816,154649399833501,155808184867911,88811509324724,77140432480289,64698325374987,65728901832000
151599361840640,149406713744053,154451287638073,155808184867911,88811509324724,77140432480289,64698325374987,65728901832000
