token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
79786724608,79697579249,333074,333074,333074,333074,333074,333074
79786724608,79697979249,333074,333074,333074,333074,333074,333074
79796824608,79698479249,333074,333074,333074,333074,333074,333074
79797424608,84658479249,333074,333074,333074,333074,333074,333074
79797624608,84658579249,333074,333074,333074,333074,333074,333074
79697579249,84658579249,333074,333074,333074,333074,333074,333074
79698479249,89858579249,333074,333074,333074,333074,333074,333074
84658479249,92758579249,333074,333074,333074,333074,333074,333074
84658579249,92758579249,333074,333074,333074,333074,333074,333074
84658579249,92758579249,333074,333074,333074,333074,333074,333074
86158579249,92758579249,333074,333074,333074,333074,333074,333074
89858579249,93581091514,333074,333074,333074,333074,333074,333074
92758579249,93581091514,333074,333074,333074,333074,333074,333074
92758579249,93581091514,333074,333074,333074,333074,333074,333074
92758579249,93581091514,333074,333074,333074,333074,333074,333074
93581091514,93621091514,333074,333074,333074,333074,333074,333074
93581091514,333074,333074,333074,333074,333074,333074,333074
93621091514,333074,333074,333074,333074,333074,333074,333074
333074,333074,333074,333074,333074,333074,333074,333074
333074,333074,333074,333074,333074,333074,333074,333074
