token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
146674055105157,191554940469594,187215447380357,215213218125116,293821234689117,242349694906416,308195523167240,418071002755486
143688009569479,192620681859091,192536540872540,254668974595187,293821234689117,243909813917491,308195523167240,418071002755486
191492797600659,192620681859091,188323479952410,257548160032616,293821234689117,243909813917491,307915127296254,418071002755486
191554940469594,191807332405576,188212357979400,257548160032616,291251926819698,243909813917491,307915127296254,418071002755486
191554940469594,193183181655820,190901205769268,252416921993230,291251926819698,249287473396033,306392264033558,418071002755486
192620681859091,183767389630534,190901205769268,244669613520351,291251926819698,249474981796832,306392264033558,418071002755486
192620681859091,184630401275914,191324626711045,244954445549709,291251926819698,249474981796832,306392264033558,418071002755486
192620681859091,184465562845370,172341423241482,239029534212653,292403179707440,251126756941710,306392264033558,418071002755486
191807332405576,183848233003779,195660924308070,241835718909806,292403179707440,251484026386230,306392264033558,418071002755486
183767389630534,185175221612427,195196743544008,239759674223674,292403179707440,251484026386230,306392264033558,418071002755486
183848233003779,175553011653055,197557958894159,238455808255939,286604522219149,260939655206790,306392264033558,418071002755486
185269206664390,182480042061834,198264705408437,237771337194015,285989345459296,266670342189930,306392264033558,418071002755486
185175221612427,182478015461722,198264705408437,228516188058297,285989345459296,266670342189930,306392264033558,418071002755486
185045470468077,194096648095628,199127717053817,227280545078692,287113247478531,266670342189930,306392264033558,418071002755486
185045470468077,193565331979321,199127717053817,224942552397381,287113247478531,266670342189930,306392264033558,418071002755486
175553011653055,176666199088913,199250037962300,223506972059629,288545258478531,266245816934270,306392264033558,418071002755486
182480042061834,187215447380357,199250037962300,219067569764541,289027398997510,266245816934270,306392264033558,418071002755486
182478015461722,192536540872540,196235209771645,231136315221843,290164866232312,262544889858788,306392264033558,418071002755486
194096648095628,189080355660188,201395169989429,230014346027916,290164866232312,262544889858788,306392264033558,418071002755486
176666199088913,188212357979400,201395169989429,229952499818471,290164866232312,260500457089622,306138408291654,418071002755486
187215447380357,190901205769268,207306689887466,229952499818471,289914855031246,265319170976156,306138408291654,433848851200909
192536540872540,190901205769268,207306689887466,226821554376553,289914855031246,242064224420713,306161271554350,433848851200909
189080355660188,191324626711045,208061077710165,230406066665435,290070781463727,242064224420713,306161271554350,433848851200909
188323479952410,172341423241482,206754421599613,227101749936633,290070781463727,242064224420713,306161271554350,433848851200909
188212357979400,195660924308070,206754421599613,226325818132749,289068680032127,261909962691824,306161271554350,433848851200909
190901205769268,195660924308070,215213218125116,226530677275611,289068680032127,244148190479151,306161271554350,433848851200909
190901205769268,195196743544008,254668974595187,225233194351212,289068680032127,244148190479151,306161271554350,433848851200909
191324626711045,194734762043580,257548160032616,225233194351212,289068680032127,258235397426597,306161271554350,433848851200909
172341423241482,194734762043580,257548160032616,222199295315504,286567016590955,258781415426597,306161271554350,433848851200909
195660924308070,197557958894159,257548160032616,224084364091078,287929611109744,260781943959294,306161271554350,433848851200909
195660924308070,198264705408437,252416921993230,224084364091078,283085015797495,253972646336233,306161271554350,433848851200909
194734762043580,199127717053817,244954445549709,234000265184703,283036914061957,251537047123068,306161271554350,433848851200909
194734762043580,199127717053817,239029534212653,234000265184703,283864690657760,251537047123068,306161271554350,433848851200909
197557958894159,199250037962300,241835718909806,234000265184703,283864690657760,251537047123068,306161271554350,433848851200909
198264705408437,196235209771645,239759674223674,231596154616788,288627696581946,251537047123068,306161271554350,433848851200909
199127717053817,201395169989429,238125153154545,231274866567801,288627696581946,251537047123068,306161271554350,433848851200909
199250037962300,201395169989429,238455808255939,241803127169683,288627696581946,250783610565353,304892563134115,433848851200909
199250037962300,207306689887466,237771337194015,247562389535503,288133446911997,250042146882350,304892563134115,433848851200909
201395169989429,208061077710165,227280545078692,258914123929698,290186336773754,247662409715894,304070802746592,433848851200909
201395169989429,206754421599613,223506972059629,254917159311959,290186336773754,247662409715894,303525422691939,433848851200909
207306689887466,254668974595187,231136315221843,252579862759317,290186336773754,248622180105160,303525422691939,433848851200909
208061077710165,257548160032616,230014346027916,252579862759317,290186336773754,248622180105160,303525422691939,433848851200909
215213218125116,252416921993230,229952499818471,235945724305022,290186336773754,238799553408544,303525422691939,433848851200909
257548160032616,244954445549709,230406066665435,259028294392024,290186336773754,238799553408544,303525422691939,433848851200909
257548160032616,239029534212653,227101749936633,259028294392024,290186336773754,238799553408544,303525422691939,433848851200909
252416921993230,239759674223674,226530677275611,265373501674964,285971931561854,240055299735949,303525422691939,435571831930727
244669613520351,239759674223674,225233194351212,265373501674964,285777663693517,236663594645921,303525422691939,435571831930727
244954445549709,238125153154545,225233194351212,269361994016293,284314469872152,235499073025956,303525422691939,435571831930727
239759674223674,237771337194015,224084364091078,271969904997039,283827043516600,237387090371434,303498205161981,435571831930727
239759674223674,228516188058297,234000265184703,290444531873112,283827043516600,237387090371434,303498205161981,435571831930727
238125153154545,227280545078692,234000265184703,262949242842061,284833927921384,237387090371434,303498205161981,435571831930727
238125153154545,224942552397381,234000265184703,300767995046981,284833927921384,237054517759208,303498205161981,435571831930727
238455808255939,223506972059629,234000265184703,300767995046981,284833927921384,237054517759208,303498205161981,435571831930727
237771337194015,219067569764541,235073315683148,295580431370096,284833927921384,237054517759208,303498205161981,435571831930727
227280545078692,230014346027916,231274866567801,300982692195884,284833927921384,237054517759208,303498205161981,435571831930727
223506972059629,229952499818471,241803127169683,316785201867393,284833927921384,237054517759208,303498205161981,435571831930727
219067569764541,229952499818471,247562389535503,315565552625012,285196669780538,237054517759208,303498205161981,435571831930727
231136315221843,226821554376553,252813616784867,315104098527985,285196669780538,236639372551502,303498205161981,435571831930727
230014346027916,230406066665435,258914123929698,315104098527985,282776290964654,233343089698233,303498205161981,435571831930727
229055938084454,227101749936633,254917159311959,311486127719848,282776290964654,233018516438179,308796352002919,435571831930727
229952499818471,226325818132749,254917159311959,335539553334897,282776290964654,233018516438179,308796352002919,435571831930727
229952499818471,226530677275611,254917159311959,340000987891121,282266818331038,233018516438179,308796352002919,435571831930727
226821554376553,225233194351212,252579862759317,340908873275347,282266818331038,233018516438179,308796352002919,435571831930727
230406066665435,225233194351212,252579862759317,342400048488786,282266818331038,233018516438179,308796352002919,435571831930727
227101749936633,222199295315504,245155582408121,333348601220412,282266818331038,233071126330007,308796352002919,435571831930727
226325818132749,224084364091078,265259810170782,333348601220412,283237176545823,232898471737314,308796352002919,435571831930727
225233194351212,234000265184703,259048593502586,338979755200735,282277406156557,232898471737314,308796352002919,435571831930727
225233194351212,234000265184703,259028294392024,332421138377277,282277406156557,232898471737314,308796352002919,435571831930727
