token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
548439910,599289910,622304537,767840356,1252921876,982629963,714584249,742752350
558989910,620519910,622404537,767840356,1252921876,982629963,714584249,742752350
559489910,620519910,622404537,767641513,1252921876,940912167,714584249,742752350
579289910,621119910,622280686,767641513,1252921876,940912167,714584249,742752350
599289910,621119910,622280686,827641513,1252921876,940912167,714584249,742752350
600519910,621119910,622280686,827641513,1252921876,940912167,714584249,742752350
620519910,621119910,621986731,827641513,1252921876,940912167,714584249,742752350
620519910,621219910,621986731,827641513,1252921876,940912167,714584249,742752350
621119910,620850902,671215901,668278328,1252921876,940912167,714584249,742752350
621119910,620850902,671215901,668278328,1252921876,940912167,714584249,742752350
621119910,620850902,670725787,668136100,1252921876,940912167,714584249,742752350
621119910,620850902,670725787,668136100,1252921876,940912167,714584249,742752350
620850902,621050902,669806971,803136100,1252921876,940912167,714584249,742752350
620850902,622050902,669319748,803136100,1262921876,940912167,714584249,742752350
621050902,622050902,669319748,803136100,1262921876,940912167,714584249,742752350
622050902,622280686,768143603,803136100,1262921876,940912167,714584249,742752350
622404537,621986731,768039199,902136100,1262921876,940912167,714584249,742752350
622280686,671215901,767840356,902136100,1362921876,940912167,714584249,742752350
621986731,670725787,767840356,900048792,1362921876,940912167,714584249,742752350
671215901,669806971,767641513,900048792,1362921876,940912167,714584249,742752350
670725787,669467738,827641513,899791006,1362921876,940912167,714584249,742752350
669806971,669319748,668278328,913541990,1362921876,940912167,714584249,742752350
669467738,768319748,668136100,913541990,1362845503,940912167,714584249,742752350
669319748,768143603,668136100,913541990,1362845503,940912167,714584249,742752350
669319748,768143603,803136100,913541990,1362845503,940912167,714584249,742752350
768319748,768143603,803136100,913541990,1362845503,940912167,714584249,742752350
768319748,768143603,803136100,868192142,1362845503,940912167,714584249,742752350
768143603,768039199,803136100,868192142,1362845503,940912167,714584249,742752350
768143603,767840356,803136100,868192142,1362845503,940912167,714584249,742752350
768039199,767840356,803136100,927592142,1362845503,940912167,714584249,742752350
768039199,767641513,803136100,927592142,1362845503,940912167,714584249,742752350
767840356,827641513,902136100,927592142,1362845503,940912167,714584249,742752350
767641513,668278328,902136100,927592142,1362845503,940912167,714584249,742752350
827641513,668136100,900048792,927592142,1362845503,940912167,714584249,742752350
668278328,803136100,900048792,927592142,1362845503,940912167,714584249,742752350
803136100,803136100,913541990,927592142,1362845503,940912167,714584249,742752350
803136100,803136100,913541990,927592142,1362845503,940912167,714584249,743090877
803136100,803136100,913541990,927592142,1362845503,940912167,714584249,743090877
902136100,900048792,927592142,787973944,1078761073,940912167,714584249,743090877
899791006,913541990,927592142,750950486,1078761073,940912167,714584249,743090877
913541990,868192142,927592142,760950486,1078761073,892414323,714584249,743090877
913541990,868192142,927592142,760950486,1078761073,892414323,714584249,743090877
927592142,927592142,927692142,760950486,1078761073,892414323,714584249,743090877
927592142,927592142,927692142,760950486,1078761073,892414323,714584249,743090877
927692142,787973944,760950486,760950486,1078761073,892414323,714584249,743090877
787973944,760950486,760950486,760950486,1078621613,892414323,714584249,743090877
760950486,760950486,760950486,788209875,1078621613,892414323,714584249,743090877
760950486,760950486,760950486,788209875,1078621613,892414323,714584249,743090877
760950486,760950486,760950486,788209875,1078621613,892414323,714584249,743090877
788209875,788209875,1287791770,1287791770,982629963,892414323,714584249,743090877
1287931015,1287791770,1287791770,1347991770,982629963,887440119,714584249,743090877
1287791770,1287791770,1287791770,1252921876,982629963,887440119,714584249,743090877
1287791770,1287791770,1287791770,1252921876,982629963,887440119,714584249,743090877
1287991770,1287991770,1252921876,1362921876,982629963,887440119,714584249,743090877
1347991770,1252921876,1252921876,1362845503,982629963,887440119,714584249,743090877
1252921876,1252921876,1262921876,1362845503,982629963,887440119,714584249,748110020
1252921876,1252921876,1262921876,1362845503,982629963,887440119,714584249,748110020
1262921876,1262921876,1362845503,1362845503,940912167,793487640,714584249,748110020
1362921876,1362845503,1362845503,1078761073,940912167,793487640,714584249,748110020
1362845503,1362845503,1362845503,1078761073,940912167,793487640,714584249,748110020
1078761073,1078761073,1078761073,1078761073,940912167,793487640,714584249,748110020
1078621613,1078621613,1058777518,982629963,892414323,793487640,714584249,748110020
1058777518,1058777518,982629963,982629963,892414323,793487640,714584249,748110020
982629963,982629963,982629963,982629963,892414323,793487640,714584249,748110020
940912167,940912167,940912167,940912167,793487640,793487640,714584249,748110020
892414323,892414323,892414323,892414323,793487640,793487640,714584249,748110020
887440119,887440119,887440119,887440119,793487640,793487640,715319459,748110020
793487640,793487640,793487640,793487640,793487640,793487640,735319459,748110020
716515108,716515108,716515108,714584249,714584249,714584249,742752350,751868708
714584249,714584249,714584249,714584249,714584249,714584249,742752350,751868708
715319459,715319459,715319459,715319459,735319459,735319459,748110020,751868708
735319459,735319459,735319459,735319459,735319459,736054669,748110020,751868708
736054669,736054669,736054669,736054669,742752350,743090877,748110020,751868708
742752350,742752350,742752350,742752350,742752350,748110020,748110020,751868708
743090877,743090877,743090877,743090877,748110020,748110020,751868708,751868708
748110020,748110020,748110020,748110020,748110020,748110020,751868708,751868708
751868708,751868708,751868708,751868708,751868708,751868708,751868708,751868708
742507907,742507907,742507907,742507907,742507907,742507907,742507907,742507907
741465318,741465318,741465318,741465318,741465318,741465318,741465318,741465318
740922353,740922353,740922353,740922353,740922353,740922353,740922353,740922353
740219132,740219132,740219132,740219132,740219132,740219132,740219132,740219132
740130853,740130853,740130853,740130853,740130853,740130853,741440447,844071782
741440447,741440447,741440447,741440447,741440447,741440447,741440447,844071782
841056201,841056201,841394728,842071782,844071782,844071782,844071782,847619864
841056201,841056201,841394728,842071782,844071782,844071782,844071782,847619864
841394728,841394728,841733255,842071782,844071782,844071782,846071782,847619864
841733255,841733255,842071782,842071782,844071782,844071782,846071782,847619864
842071782,842071782,842071782,842071782,844071782,844071782,846071782,847619864
844071782,844071782,844071782,844071782,844071782,844071782,846071782,1846251243
846071782,846071782,846071782,846071782,846071782,846071782,847619864,8761719677
1841507254,1841507254,1841845781,1842184308,847619864,847619864,8323984366,2287990142
1841507254,1841507254,1841845781,1842522835,847619864,847619864,8323984366,2287990142
1841845781,1841845781,1842184308,1842522835,847619864,1846251243,8324322893,2288328669
1842184308,1842184308,1842522835,1842522835,847619864,1896589770,8324661420,2301203935
1842522835,1842522835,1842522835,1842522835,847619864,1896928297,8324661420,2361675354
847619864,847619864,847619864,847619864,847619864,1897266824,9805683583,2843732763
1846251243,1846251243,1896589770,1896928297,1897266824,5869785044,8432287010,2847795087
1846251243,1846251243,1896589770,1897266824,1897266824,5869785044,8432287010,2847795087
1896589770,1896589770,1896928297,1897266824,1897266824,4718251827,8432287010,2847795087
1896589770,1896589770,1896928297,1897266824,1897266824,4718251827,8432287010,2847795087
1896928297,1896928297,1897266824,1897266824,1897266824,4908604105,8432287010,2847795087
1897266824,1897266824,1897266824,1897266824,1897266824,4909619686,8432287010,2847795087
2884829209,2884829209,3855167736,4306565066,5259878908,8078636805,3536389845,2847795087
2884829209,2884829209,4102667736,4306565066,5259878908,8078636805,3536389845,2847795087
3855167736,3855167736,4306226539,4306565066,5260555962,9076965055,3536389845,2847795087
3855167736,4102667736,4306226539,4306565066,5260894489,9076965055,3536389845,2847795087
3855167736,4102667736,4306226539,4306565066,5261233016,9076965055,3536389845,2847795087
4102667736,5102667736,4306565066,3538075863,5261233016,9077980636,3042271055,2847795087
5102667736,4306226539,4306565066,3393008247,5261233016,9078319163,3042271055,2847795087
4306226539,4306226539,4306565066,3393008247,6261233016,9181447780,3042271055,2847795087
4306565066,4306565066,3538075863,4388008247,6257478425,9180763265,3042271055,2847795087
3538075863,3393008247,3893008247,4390488175,6129781192,9182117373,3042271055,2847795087
3393008247,3393008247,4863346774,5390447073,6129511948,9182117373,3042271055,2847795087
3393008247,3393008247,4863346774,5390447073,6129511948,9182117373,3042271055,2847795087
3393008247,3393008247,4863346774,5390447073,6129511948,9182117373,3042271055,2847795087
3893008247,4388346774,4390488175,5870005089,6129511948,9182794427,3042271055,2847795087
4863346774,4863346774,4390488175,5869785044,6129850475,9182794427,3042271055,2847795087
4863346774,4863346774,5390108546,5869785044,6129850475,8174773457,3042271055,2847795087
4863346774,4863346774,5390108546,5869785044,6129850475,8174773457,3042271055,2847795087
4390488175,4390488175,5869666562,5870123571,6129850475,8173694451,3042271055,2847795087
5390447073,5472752179,5869785044,4404989222,6129850475,8267417230,3042271055,2847795087
5390447073,5472752179,5869785044,4404989222,6129850475,8267417230,3042271055,2847795087
5390447073,5869666562,5869785044,4404989222,6129850475,8267417230,2240617891,2847795087
5869666562,5870005089,5870123571,4908604105,6129850475,8267417230,2240617891,2847795087
5870005089,5870005089,5870123571,4908604105,6129850475,8267417230,2240617891,2847795087
5870005089,5870005089,5870123571,4908604105,7129850475,8267755757,2240617891,2847795087
5869785044,5869785044,4718251827,4909619686,7126051294,8325103366,1871082466,2847795087
5869785044,5870123571,4404989222,4909619686,7126051294,8323984366,1871082466,2847795087
5870123571,4717913300,4908604105,4909619686,7126389821,8324322893,1871082466,2847795087
