token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
209099989829456,201499280899080,221298841944087,220325473072140,365656762231227,341591603114715,617701048111124,676046578714785
205812009366950,201499280899080,217760043515301,232488067483525,368675915302805,341591603114715,617701048111124,676046578714785
202774229012408,202143013336085,217471454429679,232389440138971,368268941932683,341591603114715,617701048111124,676046578714785
201499280899080,194933313159389,217269897535031,232997900948408,368268941932683,339562729509616,617701048111124,674896550253554
201499280899080,194361230644656,217392399780160,225454945932712,368795376381466,338875631204736,617701048111124,674082590116789
201499280899080,194361230644656,217104785702910,222280824747697,364916630115895,338875631204736,617701048111124,674082590116789
202143013336085,196908251210337,217158268016624,222264262701866,364916630115895,338875631204736,617701048111124,674082590116789
194933313159389,194438055300595,217158268016624,221964123358805,364916630115895,338875631204736,617701048111124,674082590116789
196908251210337,198876478178429,221939438260204,222210038157663,365751246453842,339521989582302,617701048111124,674082590116789
194438055300595,209240967247465,221939438260204,222210038157663,363757557945841,339521989582302,617701048111124,674082590116789
197167537226498,208950742259896,220675644385056,220425768520139,363758184136898,339521989582302,617701048111124,674082590116789
198876478178429,207444711544654,237503376730527,220425768520139,363758184136898,339521989582302,617701048111124,674082590116789
209240967247465,215829842700842,237503376730527,220425768520139,363758184136898,339521989582302,617701048111124,674082590116789
208950742259896,221298841944087,235797673851939,220621788654594,355996219134510,339521989582302,617701048111124,674082590116789
208950742259896,217760043515301,249853386165815,226250581729992,361656362953449,348993397885572,480261969864051,648030717102676
207444711544654,217471454429679,231212171534871,226250581729992,361656362953449,348993397885572,480261969864051,648030717102676
215829842700842,217269897535031,229756995478977,224397578570326,353983604360701,349880329888944,480261969864051,648030717102676
221298841944087,217392399780160,231923035293980,224366952738356,352472992193018,349880329888944,480261969864051,648030717102676
217471454429679,217158268016624,220097459960359,221701916948136,352397800756799,356297479880060,480261969864051,648030717102676
217269897535031,217158268016624,220097459960359,221701916948136,352397800756799,356297479880060,480261969864051,648030717102676
217392399780160,214322107211493,220325473072140,221701916948136,352599816341476,357553371136343,480261969864051,648030717102676
217392399780160,216931459691942,220327946314100,221987420425553,352599816341476,357697438543227,480261969864051,648030717102676
217104785702910,219390852499299,232488067483525,221091817555750,351923761894436,357697438543227,616310980210094,648030717102676
217158268016624,221939438260204,232389440138971,226889608935124,344466152528796,357697438543227,616310980210094,648030717102676
217158268016624,221939438260204,232997900948408,231294810588520,344466152528796,357906381827389,616310980210094,648030717102676
214322107211493,221939438260204,232997900948408,229695413883339,338814418032703,357367239132682,616310980210094,648030717102676
219390852499299,220675644385056,222280824747697,221941138083507,338814418032703,357712495292606,616310980210094,648030717102676
221939438260204,237503376730527,222264262701866,221941138083507,338814418032703,356175867748831,616310980210094,648030717102676
221939438260204,235797673851939,221516925783095,222265435368387,338120993044250,356175867748831,616310980210094,648030717102676
220675644385056,235797673851939,221516925783095,223501388845933,336416919203010,356175867748831,616310980210094,648030717102676
220675644385056,249853386165815,222210038157663,223501388845933,336416919203010,348789483967803,616310980210094,648030717102676
237503376730527,231212171534871,222210038157663,223501388845933,329374643153095,348789483967803,616310980210094,647855466328543
235797673851939,231874424638830,220425768520139,223994056141836,322579964546987,363366628234991,604584714706499,647855466328543
231212171534871,220097459960359,220425768520139,223994056141836,325416125352118,363366628234991,604584714706499,647805912625232
231923035293980,220325473072140,220621788654594,223994056141836,304544870263763,366067138805321,604584714706499,647805912625232
216732204565135,232488067483525,226250581729992,223994056141836,299034280869598,366067138805321,604148172072132,647805912625232
220097459960359,232389440138971,226250581729992,223994056141836,299034280869598,366124688287298,604148172072132,647805912625232
220097459960359,232997900948408,224397578570326,223573000050626,299034280869598,354087616382992,604148172072132,647805912625232
220325473072140,232997900948408,224366952738356,223573000050626,299034280869598,371758439292146,604148172072132,647805912625232
220327946314100,225454945932712,221701916948136,217453408576127,297687713804385,371758439292146,598315963129210,647805912625232
