open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:00,5015000000,5015000000,5015000000,5015000000,5015000000,5015000000,5015000000,5015000000,5015000000,5015000000,5015000000,9670000000,0,9670000000,0,9670000000,0,9670000000,0,9670000000,0,9670000000,0,9670000000,0,9670000000,0,9670000000,0,9670000000,0,0,28,0.4136504653567735,0.5718717683557395,0.7347466390899691,2.507462040079959
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:01,16670000000,16670000000,16670000000,16670000000,16670000000,16670000000,16670000000,16670000000,16670000000,16670000000,16670000000,14790998218,-1782371071,14790998218,-1782371071,14790998218,-1782371071,14790998218,-1782371071,14790998218,-1782371071,14790998218,-1782371071,14790998218,-1782371071,14790998218,-1782371071,14790998218,-1782371071,14790998218,-1782371071,-1782371071,37,0.2704347564001579,0.6211209062833787,0.7428165466634497,2.7484033220449176
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:02,18058627147,18058627147,18058627147,18058627147,18058627147,18058627147,18058627147,18058627147,18058627147,18058627147,18058627147,15930998218,-1782371071,15930998218,-1782371071,15930998218,-1782371071,15930998218,-1782371071,15930998218,-1782371071,15930998218,-1782371071,15930998218,-1782371071,15930998218,-1782371071,15930998218,-1782371071,15930998218,-1782371071,-1782371071,40,0.2510828226369713,0.6133952238447234,0.7310902969558037,2.8432399152785894
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:03,19148927147,19148927147,19148927147,19148927147,19148927147,19148927147,19148927147,19148927147,19148927147,19148927147,19148927147,15931298218,-1782371071,15931298218,-1782371071,15931298218,-1782371071,15931298218,-1782371071,15931298218,-1782371071,15931298218,-1782371071,15931298218,-1782371071,15931298218,-1782371071,15931298218,-1782371071,15931298218,-1782371071,-1782371071,41,0.2510780945322205,0.6133836730869235,0.7310765298989018,2.8434100852969646
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:04,20548927147,20548927147,20548927147,20548927147,20548927147,20548927147,20548927147,20548927147,20548927147,20548927147,20548927147,17331898218,-1782371071,17331898218,-1782371071,17331898218,-1782371071,17331898218,-1782371071,17331898218,-1782371071,17331898218,-1782371071,17331898218,-1782371071,17331898218,-1782371071,17331898218,-1782371071,17331898218,-1782371071,-1782371071,44,0.2307883389163808,0.5874716138954423,0.7328682674127622,2.894695814116631
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:05,23549527147,5015000000,23549527147,23549527147,23549527147,23549527147,23549527147,23549527147,23549527147,23549527147,23549527147,46331898218,-1782371071,46331898218,-1782371071,46331898218,-1782371071,46331898218,-1782371071,46331898218,-1782371071,46331898218,-1782371071,46331898218,-1782371071,46331898218,-1782371071,46331898218,-1782371071,46331898218,-1782371071,-1782371071,56,0.10791701165521196,0.388501241958763,0.6475020699312717,3.2324717022766523
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:06,42567932166,16670000000,42567932166,42567932166,42567932166,42567932166,42567932166,42567932166,42567932166,42567932166,42567932166,36662898218,-8763966052,46332898218,-8763966052,46332898218,-8763966052,46332898218,-8763966052,46332898218,-8763966052,46332898218,-8763966052,46332898218,-8763966052,46332898218,-8763966052,46332898218,-8763966052,46332898218,-8763966052,-8763966052,57,0.10791468248920236,0.3884928569611285,0.6474880949352142,3.2326553973478855
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:07,42868932166,18058627147,42868932166,42868932166,42868932166,42868932166,42868932166,42868932166,42868932166,42868932166,42868932166,31841900000,-18040377886,46632898218,-19822748957,46632898218,-19822748957,46632898218,-19822748957,46632898218,-19822748957,46632898218,-19822748957,46632898218,-19822748957,46632898218,-19822748957,46632898218,-19822748957,46632898218,-19822748957,-19822748957,58,0.10722044288617755,0.38599359439023917,0.6433226573170653,3.2507353381845534
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:11,32810149261,42567932166,16670000000,32810149261,32810149261,32810149261,32810149261,32810149261,32810149261,32810149261,32810149261,7401000000,-21871722400,44062898218,-23654093471,53732898218,-23654093471,53732898218,-23654093471,53732898218,-23654093471,53732898218,-23654093471,53732898218,-23654093471,53732898218,-23654093471,53732898218,-23654093471,53732898218,-23654093471,-23654093471,65,0.09305286269343738,0.33499030569637456,0.5583171761606243,3.444238319173189
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:12,35378804747,42868932166,18058627147,35378804747,35378804747,35378804747,35378804747,35378804747,35378804747,35378804747,35378804747,7700000000,-14890127419,39241900000,-21871722400,54032898218,-23654093471,54032898218,-23654093471,54032898218,-23654093471,54032898218,-23654093471,54032898218,-23654093471,54032898218,-23654093471,54032898218,-23654093471,54032898218,-23654093471,-23654093471,66,0.09253621709920325,0.3331303815571317,0.5552173025952195,3.459487619642679
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:13,35778804747,42868932166,19148927147,35778804747,35778804747,35778804747,35778804747,35778804747,35778804747,35778804747,35778804747,8880000000,-3831344514,39581900000,-21871722400,55512898218,-23654093471,55512898218,-23654093471,55512898218,-23654093471,55512898218,-23654093471,55512898218,-23654093471,55512898218,-23654093471,55512898218,-23654093471,55512898218,-23654093471,-23654093471,70,0.09006915798856192,0.3242489687588229,0.5404149479313716,3.521306399371651
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:15,36888804747,42868932166,23549527147,36888804747,36888804747,36888804747,36888804747,36888804747,36888804747,36888804747,36888804747,8910000000,-3831344514,38211000000,-21871722400,55542898218,-23654093471,55542898218,-23654093471,55542898218,-23654093471,55542898218,-23654093471,55542898218,-23654093471,55542898218,-23654093471,55542898218,-23654093471,55542898218,-23654093471,-23654093471,71,0.09002050955957554,0.32407383441447196,0.5401230573574531,3.5240081689288716
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:17,33415649829,35378804747,42868932166,33415649829,33415649829,33415649829,33415649829,33415649829,33415649829,33415649829,33415649829,2817000000,-3473154918,10217000000,-18363282337,56549898218,-27127248389,56549898218,-27127248389,56549898218,-27127248389,56549898218,-27127248389,56549898218,-27127248389,56549898218,-27127248389,56549898218,-27127248389,56549898218,-27127248389,-27127248389,74,0.08841748893561201,0.3183029601682032,0.530504933613672,3.5636289912831574
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:21,30697812962,36888804747,32810149261,30697812962,30697812962,30697812962,30697812962,30697812962,30697812962,30697812962,30697812962,1305345930,-7316589840,10215345930,-11147934354,56848244148,-30970683311,56848244148,-30970683311,56848244148,-30970683311,56848244148,-30970683311,56848244148,-30970683311,56848244148,-30970683311,56848244148,-30970683311,56848244148,-30970683311,-30970683311,83,0.08795346408559053,0.31663247070812595,0.5277207845135432,3.580291616239399
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:23,32877560837,33415649829,35778804747,32877560837,32877560837,32877560837,32877560837,32877560837,32877560837,32877560837,32877560837,5638345930,-6919391486,8155345930,-10392546404,62188244148,-34046639875,62188244148,-34046639875,62188244148,-34046639875,62188244148,-34046639875,62188244148,-34046639875,62188244148,-34046639875,62188244148,-34046639875,62188244148,-34046639875,-34046639875,87,0.08040104795531201,0.28944377263912324,0.49800409103520266,3.642466648605021
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:24,33141804273,33415649829,35778804747,33141804273,33141804273,33141804273,33141804273,33141804273,33141804273,33141804273,33141804273,5639545930,-6919391486,6676545930,-10392546404,62189444148,-34046639875,62189444148,-34046639875,62189444148,-34046639875,62189444148,-34046639875,62189444148,-34046639875,62189444148,-34046639875,62189444148,-34046639875,62189444148,-34046639875,-34046639875,89,0.08039949654640544,0.2894381875670596,0.4979944816084353,3.6426338223888717
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:25,33152804273,33415649829,36888804747,33152804273,33152804273,33152804273,33152804273,33152804273,33152804273,33152804273,33152804273,7709545930,-8833611076,8746545930,-12306765994,64259444148,-35960859465,64259444148,-35960859465,64259444148,-35960859465,64259444148,-35960859465,64259444148,-35960859465,64259444148,-35960859465,64259444148,-35960859465,64259444148,-35960859465,-35960859465,93,0.07780957439476419,0.28011446782115107,0.4819525038011694,3.694426399902569
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:26,33118741522,30697812962,36888804747,33118741522,33118741522,33118741522,33118741522,33118741522,33118741522,33118741522,33118741522,8209545930,-9013454237,9216545930,-12486609155,64759444148,-36140702626,64759444148,-36140702626,64759444148,-36140702626,64759444148,-36140702626,64759444148,-36140702626,64759444148,-36140702626,64759444148,-36140702626,64759444148,-36140702626,-36140702626,96,0.07720881588441518,0.27795173718389465,0.4782314055880676,3.7190960289243074
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:27,34118741522,30697812962,33415649829,34118741522,34118741522,34118741522,34118741522,34118741522,34118741522,34118741522,34118741522,9011200000,-5170019315,10316545930,-12486609155,65859444148,-36140702626,65859444148,-36140702626,65859444148,-36140702626,65859444148,-36140702626,65859444148,-36140702626,65859444148,-36140702626,65859444148,-36140702626,65859444148,-36140702626,-36140702626,98,0.07591925599560102,0.2733093215841637,0.47024387163675263,3.746977985977109
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:28,35391941522,32877560837,33415649829,35391941522,35391941522,35391941522,35391941522,35391941522,35391941522,35391941522,35391941522,9733645930,-5208630271,10031991860,-9052065193,66581890078,-36179313582,66581890078,-36179313582,66581890078,-36179313582,66581890078,-36179313582,66581890078,-36179313582,66581890078,-36179313582,66581890078,-36179313582,66581890078,-36179313582,-36179313582,101,0.07509549509848025,0.27034378235452894,0.4651414966399867,3.768906673751314
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:30,35408719737,33152804273,33415649829,5015000000,35408719737,35408719737,35408719737,35408719737,35408719737,35408719737,35408719737,4398689171,-2132673707,10038235101,-9052065193,66588133319,-36179313582,66588133319,-36179313582,66588133319,-36179313582,66588133319,-36179313582,66588133319,-36179313582,66588133319,-36179313582,66588133319,-36179313582,66588133319,-36179313582,-36179313582,103,0.07508845421520953,0.2703184351747543,0.46509788540900787,3.7695243522701642
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:31,35418819737,33118741522,30697812962,16670000000,35418819737,35418819737,35418819737,35418819737,35418819737,35418819737,35418819737,2338689171,-218454117,10048235101,-9052065193,56928133319,-36179313582,66598133319,-36179313582,66598133319,-36179313582,66598133319,-36179313582,66598133319,-36179313582,66598133319,-36179313582,66598133319,-36179313582,66598133319,-36179313582,-36179313582,104,0.0750771793565201,0.27027784568347235,0.4650280489342855,3.770430420804066
2024-06-10 16:09:00,5000000000,2024-06-10 16:09:32,35036026009,34118741522,30697812962,18058627147,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,1838689171,-35436931059,9749889171,-40606950374,51807135101,-69795262614,66598133319,-71577633685,66598133319,-71577633685,66598133319,-71577633685,66598133319,-71577633685,66598133319,-71577633685,66598133319,-71577633685,66598133319,-71577633685,-71577633685,104,0.0750771793565201,0.27027784568347235,0.4650280489342855,3.770430420804066
