token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
23549527147,42868932166,35408719737,35036026009,35036026009,35036026009,35036026009,35036026009
42567932166,32810149261,35418819737,35036026009,35036026009,35036026009,35036026009,35036026009
42868932166,35378804747,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
42868932166,35778804747,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
42868932166,35778804747,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
42868932166,36888804747,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
32810149261,36888804747,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35378804747,33415649829,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
36888804747,30697812962,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
33415649829,30697812962,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
33415649829,32877560837,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
33415649829,33152804273,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
30697812962,34118741522,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
33118741522,35418819737,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35391941522,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35391941522,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35408719737,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35418819737,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009,35036026009
