open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:07,6200000000,6200000000,6200000000,6200000000,6200000000,6200000000,6200000000,6200000000,6200000000,6200000000,6200000000,200000000,0,200000000,0,200000000,0,200000000,0,200000000,0,200000000,0,200000000,0,200000000,0,200000000,0,200000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:08,6210000000,6210000000,6210000000,6210000000,6210000000,6210000000,6210000000,6210000000,6210000000,6210000000,6210000000,210000000,0,210000000,0,210000000,0,210000000,0,210000000,0,210000000,0,210000000,0,210000000,0,210000000,0,210000000,0,0,2,0.9523809523809523,1.0,1.0,0.19144408195771734
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:09,6510000000,6510000000,6510000000,6510000000,6510000000,6510000000,6510000000,6510000000,6510000000,6510000000,6510000000,1381299339,-666479086,1381299339,-666479086,1381299339,-666479086,1381299339,-666479086,1381299339,-666479086,1381299339,-666479086,1381299339,-666479086,1381299339,-666479086,1381299339,-666479086,1381299339,-666479086,-666479086,10,0.4785344641361622,0.9491058903634212,1.0,1.471222778792354
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:11,6839820253,6839820253,6839820253,6839820253,6839820253,6839820253,6839820253,6839820253,6839820253,6839820253,6839820253,13657707997,-11939950490,13657707997,-11939950490,13657707997,-11939950490,13657707997,-11939950490,13657707997,-11939950490,13657707997,-11939950490,13657707997,-11939950490,13657707997,-11939950490,13657707997,-11939950490,13657707997,-11939950490,-11939950490,21,0.8099242318279006,0.9278795534202107,0.9846240672266438,0.9199548312182696
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:12,7717857507,6200000000,7717857507,7717857507,7717857507,7717857507,7717857507,7717857507,7717857507,7717857507,7717857507,13657907997,-11939950490,13657907997,-11939950490,13657907997,-11939950490,13657907997,-11939950490,13657907997,-11939950490,13657907997,-11939950490,13657907997,-11939950490,13657907997,-11939950490,13657907997,-11939950490,13657907997,-11939950490,-11939950490,23,0.8099123716772537,0.9278659659871482,0.9846096488535308,0.9201291580173063
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:13,7817957507,6210000000,7817957507,7817957507,7817957507,7817957507,7817957507,7817957507,7817957507,7817957507,7817957507,14589702960,-12761885294,14789702960,-12761885294,14789702960,-12761885294,14789702960,-12761885294,14789702960,-12761885294,14789702960,-12761885294,14789702960,-12761885294,14789702960,-12761885294,14789702960,-12761885294,14789702960,-12761885294,-12761885294,25,0.747933118597265,0.9097209725164083,0.9722644869129947,1.114128668150989
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:18,8037817666,7817957507,6210000000,8037817666,8037817666,8037817666,8037817666,8037817666,8037817666,8037817666,8037817666,1291994963,-881081620,14749902960,-12821032110,14949902960,-12821032110,14949902960,-12821032110,14949902960,-12821032110,14949902960,-12821032110,14949902960,-12821032110,14949902960,-12821032110,14949902960,-12821032110,14949902960,-12821032110,-12821032110,34,0.7399184253969231,0.8999725948722813,0.9618459061890793,1.1758387455761212
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:19,8028770850,7817957507,6510000000,8028770850,8028770850,8028770850,8028770850,8028770850,8028770850,8028770850,8028770850,255400000,-59146816,14835102960,-12821032110,15045102960,-12821032110,15045102960,-12821032110,15045102960,-12821032110,15045102960,-12821032110,15045102960,-12821032110,15045102960,-12821032110,15045102960,-12821032110,15045102960,-12821032110,-12821032110,45,0.7352364877401942,0.8942778920005476,0.9557596912583708,1.216619013403254
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:20,8053770850,7817957507,6510000000,8053770850,8053770850,8053770850,8053770850,8053770850,8053770850,8053770850,8053770850,305900000,-59146816,13714303621,-12154553024,15095602960,-12821032110,15095602960,-12821032110,15095602960,-12821032110,15095602960,-12821032110,15095602960,-12821032110,15095602960,-12821032110,15095602960,-12821032110,15095602960,-12821032110,-12821032110,48,0.732776868026476,0.8912862239190743,0.9525623453466876,1.2368010981792512
2024-06-09 17:19:07,6000000000,2024-06-09 17:19:21,8264370850,7817957507,6839820253,8264370850,8264370850,8264370850,8264370850,8264370850,8264370850,8264370850,8264370850,405900000,-59146816,13814303621,-12154553024,15195602960,-12821032110,15195602960,-12821032110,15195602960,-12821032110,15195602960,-12821032110,15195602960,-12821032110,15195602960,-12821032110,15195602960,-12821032110,15195602960,-12821032110,-12821032110,48,0.7279545725903858,0.8854208020186388,0.9528745254870756,1.2591575527561463
