token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
195128935646440,192927702616601,200407945744248,190714491869880,147484857819533,177225434971847,940662181088136,960443598053285
52765469264268,194184284255453,200407945744248,190714491869880,147484857819533,177225434971847,940662181088136,960443598053285
183113236800170,191597326898406,200407579728600,191009136820291,146178682326401,177282443796257,940662181088136,960443598053285
183010582166119,191597326898406,200407579728600,190828203586551,146021091103754,177282443796257,940662181088136,960443598053285
192927702616601,191570561514636,200407335718911,190631107587411,146021091103754,177284266612387,940662181088136,960443598053285
194184284255453,202144282876958,200407335718911,190631107587411,145634582544915,177284266612387,940662181088136,960443598053285
193045262999863,201402181933059,202892914009505,190631107587411,145634582544915,177284266612387,940662181088136,960443598053285
191597326898406,201402181933059,202892914009505,190410723968283,148535765768217,177284266612387,940662181088136,960443598053285
191597326898406,201402181933059,200501035800404,190410723968283,146299111414321,177065694913562,940662181088136,960443598053285
191570561514636,201402181933059,200501035800404,185114101714733,146234958652368,177265880762938,940662181088136,960443598053285
202144282876958,200869048929104,200501035800404,185114101714733,146234958652368,177265880762938,940662181088136,960443598053285
201402181933059,200820031719901,188991580636622,185114101714733,146234958652368,179928183395882,940662181088136,960443598053285
201402181933059,200819296644215,187683098952478,181536095155160,144950888134248,179928183395882,940662181088136,960443598053285
201402181933059,200407945744248,187683098952478,176409513971456,145075132171297,181195846753807,940662181088136,960443598053285
200869048929104,200407945744248,187683098952478,176409513971456,145296027178621,181195846753807,940662181088136,960443598053285
200820031719901,200407945744248,187960107419323,176409513971456,145296027178621,181195846753807,940662181088136,960443598053285
200407945744248,200407945744248,187938652526241,175942303394233,142833050321335,180901232442130,940662181088136,960443598053285
200407945744248,200407701733667,187938652526241,172299088962114,142557176438533,180901232442130,940662181088136,960443598053285
200407945744248,200407579728600,189962262671114,172299088962114,142557176438533,180901232442130,940662181088136,960443598053285
200407945744248,200407579728600,189962262671114,172299088962114,142976607625787,180901232442130,940662181088136,960443598053285
200407945744248,200407335718911,190443610437305,172299088962114,143535437149082,181125222077711,940662181088136,960443598053285
202892914009505,188991580636622,191009136820291,171617110101105,141263794643516,185042677809885,940662181088136,960443598053285
202892914009505,187683098952478,191009136820291,171617110101105,142192528760729,175369934561492,940662181088136,960443598053285
200501035800404,187683098952478,190631107587411,171617110101105,142040960224793,175369934561492,940662181088136,960443598053285
188991580636622,187960107419323,190631107587411,175977303392422,139172605581707,174458108456535,940662181088136,960443598053285
187683098952478,187960107419323,190410723968283,175207518815314,139488821139150,174470490300249,940662181088136,960443598053285
187960107419323,187938652526241,185114101714733,173449993143461,138288405274158,177118057535735,940662181088136,960443598053285
187960107419323,189962262671114,181536095155160,173449993143461,138288405274158,177118057535735,940662181088136,960443598053285
187938652526241,191825147091445,176409513971456,175177354631367,123177712092578,176930895947838,940662181088136,960443598053285
190443610437305,190714491869880,175942303394233,172461243776427,138122969907600,184166043130762,940662181088136,960443598053285
191825147091445,191009136820291,172299088962114,172424743436095,138122969907600,184392839998544,940662181088136,960443598053285
190714491869880,190631107587411,172299088962114,172424743436095,132636645022746,184392839998544,940853511729417,960443598053285
190714491869880,190631107587411,172299088962114,172424743436095,132802317687560,184392839998544,940853511729417,960443598053285
190631107587411,185114101714733,171617110101105,175017590546351,132780983611853,184392839998544,940853511729417,960443598053285
190631107587411,185114101714733,171617110101105,173088779629071,132133676951519,184392839998544,940853511729417,960443598053285
190410723968283,184098175147907,171617110101105,173088779629071,131607707373900,184392839998544,940853511729417,960443598053285
185114101714733,176409513971456,171617110101105,174046610931854,131607707373900,184392839998544,940853511729417,960443598053285
181536095155160,176409513971456,175394016338492,174754591931854,131947048898002,184392839998544,940853511729417,960443598053285
176409513971456,175942303394233,175207518815314,174754591931854,131958075041001,184392839998544,940853511729417,960443598053285
176409513971456,172299088962114,173449993143461,176556812315531,131979546554985,184392839998544,940853511729417,960443598053285
175942303394233,172299088962114,173449993143461,176556812315531,131977439263046,184392839998544,940853511729417,960443598053285
175942303394233,172299088962114,174988491106489,176556812315531,131977439263046,184392839998544,940853511729417,960443598053285
172299088962114,171617110101105,172641889131773,173350643936339,135237214088527,184711136987126,940853511729417,960443598053285
171617110101105,171617110101105,172424743436095,173346998304079,137335913013498,186575302751668,940853511729417,960443598053285
171617110101105,175977303392422,176045682347910,174800722648294,133191019461443,186575302751668,940853511729417,960443598053285
173449993143461,174988491106489,174754591931854,174286539765859,132135255107337,186575302751668,940853511729417,960443598053285
