token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
350642700000,350645100000,350904941994,351135009099,356239762210,363128665210,212474,212474
350643000000,350647200000,350904941994,351135009099,356239762210,363128665210,212474,212474
350643500000,350647300000,350904942702,351135009099,356239762210,363128665210,212474,212474
350643500000,350647500000,350904943410,351135009099,356239762210,363128665210,212474,212474
350644600000,350647900000,350905443410,351135009099,356239762210,363128665210,212474,212474
350645100000,350648300000,350905244118,351135009099,356239762210,363128665210,212474,212474
350647200000,350649100000,350905044826,351135009099,356239762210,363128665210,212474,212474
350647300000,350649200000,350904945180,351135009099,356239762210,363128665210,212474,212474
350647900000,350649200000,351135607758,351135009099,356239762210,363128665210,212474,212474
350648300000,350649200000,351135607758,351165683256,356239762210,363128665210,212474,212474
350649100000,350649200000,351135607758,351165683256,356239762210,363128665210,212474,212474
350649200000,350649300000,351135607758,351165683256,356239762210,363128665210,212474,212474
350649200000,350649100994,351135308429,351578563256,356239762210,363128665210,212474,212474
350649200000,350649100994,351135108876,351578563256,356239762210,363128665210,212474,212474
350649200000,350649100994,351135108876,351578563256,356239762210,363128665210,212474,212474
350649200000,350649100994,351135108876,351578563256,356239762210,363128665210,212474,212474
350649300000,350649100994,351135108876,351578563256,356239762210,363128665210,212474,212474
350649100994,350904942702,351135009099,351578563256,356239762210,363128665210,212474,212474
350649100994,350904943410,351135009099,351578563256,356239762210,363128665210,212474,212474
350905244118,351135607758,351135009099,351578563256,356239762210,363128665210,212474,212474
350904945180,351135607758,351135009099,351578563256,356239762210,363128665210,212474,212474
350904845534,351135308429,351135009099,351578563256,356239762210,363128665210,212474,212474
351135607758,351135108876,351135009099,351578563256,356239762210,363128665210,212474,212474
351135607758,351135108876,351135009099,351578563256,356532452210,363128665210,212474,212474
351135607758,351135108876,351135009099,351578563256,356532452210,363323666210,212474,212474
351135607758,351135108876,351135009099,351578563256,356532452210,363323666210,212474,212474
351135308429,351135009099,351135009099,351578563256,356532452210,363323666210,212474,212474
351135108876,351135009099,351135009099,351578563256,356532452210,363323666210,212474,212474
351135009099,351135009099,351578563256,351578563256,356532452210,363323666210,212474,212474
351135009099,351135009099,351578563256,351578563256,356532452210,363323666210,212474,212474
351135009099,351135009099,351578563256,351578563256,356532452210,363323666210,212474,212474
351578563256,351578563256,351578563256,352976176936,356532452210,363609813210,212474,212474
351578563256,351578563256,351578563256,352976176936,358415570210,363609813210,212474,212474
351974259256,352974592256,352976176936,353762813936,359137061210,365953350210,212474,212474
352974592256,352976176936,352976176936,353731639210,359137061210,365953350210,212474,212474
352976176936,352976176936,352976176936,354135024210,360372114210,365953350210,212474,212474
353762813936,353762813936,354135024210,354325809210,360372114210,366164272210,212474,212474
353762813936,353762813936,354135024210,354325809210,361463699210,366164272210,212474,212474
353731639210,354135024210,354325809210,354325809210,361463699210,366164272210,212474,212474
354135024210,354135024210,354325809210,354325809210,361463699210,366164272210,212474,212474
354325809210,354325809210,354325809210,356043814210,361463699210,367002857210,212474,212474
356043814210,356043814210,356043814210,356239762210,361818187210,368958181210,212474,212474
356043814210,356043814210,356239762210,356239762210,361818187210,368958181210,212474,212474
356239762210,356239762210,356239762210,356532452210,363128665210,369969530210,212474,212474
356532452210,356532452210,356532452210,359137061210,363128665210,371374309210,212474,212474
358415570210,358415570210,359137061210,360372114210,363609813210,372861942210,212474,212474
359137061210,359137061210,359137061210,360372114210,365953350210,372861942210,212474,212474
360372114210,360372114210,360372114210,361463699210,365953350210,374292320210,212474,212474
361463699210,361463699210,361463699210,361463699210,366164272210,374352320210,212474,212474
361818187210,361818187210,363128665210,363128665210,368958181210,377658021210,212474,212474
362109974210,362109974210,363128665210,363128665210,368958181210,377964568210,212474,212474
363128665210,363128665210,363128665210,363323666210,369969530210,378229863210,212474,212474
363323666210,363323666210,363609813210,365953350210,371374309210,379380645210,212474,212474
363609813210,363609813210,364856514210,365953350210,371374309210,379380645210,212474,212474
364856514210,365953350210,365953350210,365953350210,372861942210,379380645210,212474,212474
365953350210,365953350210,365953350210,366164272210,372861942210,379380645210,212474,212474
366164272210,366164272210,366164272210,366164272210,374302320210,379380645210,212474,212474
367002857210,367702513210,367702513210,368958181210,376152770210,212474,212474,212474
367702513210,367702513210,367702513210,369969530210,376152770210,212474,212474,212474
368958181210,368958181210,369969530210,369969530210,377658021210,212474,212474,212474
369969530210,369969530210,369969530210,371374309210,377964568210,212474,212474,212474
371374309210,371374309210,371374309210,372861942210,378229863210,212474,212474,212474
371374309210,371374309210,371374309210,372861942210,379380645210,212474,212474,212474
371791189210,372861942210,372861942210,373204803210,379380645210,212474,212474,212474
372861942210,372861942210,372861942210,373204803210,379380645210,212474,212474,212474
373204803210,374292320210,374302320210,375819058210,379380645210,212474,212474,212474
374302320210,374302320210,374352320210,375819058210,379380645210,212474,212474,212474
374302320210,374302320210,374352320210,375819058210,379380645210,212474,212474,212474
374352320210,374352320210,375819058210,376152770210,379380645210,212474,212474,212474
375819058210,375819058210,375819058210,376460151210,381274561375,212474,212474,212474
376152770210,376152770210,376651806210,377658021210,212474,212474,212474,212474
376460151210,376460151210,377658021210,377964568210,212474,212474,212474,212474
376651806210,376651806210,377658021210,378229863210,212474,212474,212474,212474
377658021210,377658021210,377964568210,378229863210,212474,212474,212474,212474
377964568210,377964568210,378229863210,379380645210,212474,212474,212474,212474
377964568210,377964568210,378229863210,379380645210,212474,212474,212474,212474
378229863210,378229863210,378229863210,379380645210,212474,212474,212474,212474
379380645210,379380645210,379380645210,379380645210,212474,212474,212474,212474
379783736210,379783736210,381274561375,212474,212474,212474,212474,212474
379783736210,379783736210,381274561375,212474,212474,212474,212474,212474
381274561375,381274561375,212474,212474,212474,212474,212474,212474
212474,212474,212474,212474,212474,212474,212474,212474
