token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
1002200000,1012900000,1013797773,1013797773,1028774834,1013747673,159639,159639
1002400000,1012900000,1013797773,1013797773,1028774834,1013747673,159639,159639
1012400000,1012900000,1013797773,1013797773,1028774834,1013747673,159639,159639
1012900000,1012900000,1013797773,1013797773,1028774834,1013747673,159639,159639
1012900000,1013097960,1013797773,1013797773,1028774834,1013747673,159639,159639
1012900000,1112097960,1013797773,1013797773,1028774834,1013747673,159639,159639
1012900000,1112097960,1013797773,1013797773,1028774834,1013747673,159639,159639
1112097960,1112397960,1013797773,1014297773,1028774834,1013747673,159639,159639
1112097960,1112397960,1013797773,1014297773,1028774834,1013747673,159639,159639
1112097960,1112397960,1013797773,1014297773,1028774834,1013747673,159639,159639
1013797773,1013797773,1013797773,1036297773,1028774834,1013747673,159639,159639
1013797773,1013797773,1013797773,1036297773,1028774834,1013747673,159639,159639
1014297773,1014297773,1036297773,1036297773,1028774834,1013747673,159639,159639
1036297773,1036297773,1036297773,1036297773,1028774834,1013747673,159639,159639
1041297773,1041297773,1041297773,1051297773,1013747673,1013747673,159639,159639
1051297773,1051297773,1051297773,1030821823,1013747673,1013747673,159639,159639
1030821823,1030821823,1028774834,1028774834,1013747673,1013747673,159639,159639
1028774834,1028774834,1028774834,1028774834,1013747673,1013747673,159639,159639
1023918725,1023918725,1023918725,1013747673,1013747673,1124301526,159639,159639
1013747673,1013747673,1013747673,1013747673,1013747673,1124380762,159639,159639
1073747673,1073747673,1041294978,1061294978,1228241891,1486036341,159639,159639
1093747673,1093747673,1061294978,1091294978,1328241891,1486036341,159639,159639
1041294978,1041294978,1061294978,1094301526,1328241891,1586036341,159639,159639
1061294978,1061294978,1091294978,1094301526,1328241891,1586036341,159639,159639
1091294978,1091294978,1094301526,1074380762,1328241891,1626036341,159639,159639
1074301526,1094301526,1094301526,1074380762,1328241891,1536721025,159639,159639
1094301526,1094301526,1124301526,1124380762,1328241891,1596721025,159639,159639
1124301526,1124301526,1074380762,1124380762,1303878283,1596721025,159639,159639
1074380762,1074380762,1124380762,1184380762,1242901161,159639,159639,159639
1124380762,1124380762,1124380762,1157642792,1272901161,159639,159639,159639
1184380762,1184380762,1157642792,1157642792,1296194465,159639,159639,159639
1157642792,1157642792,1157642792,1217642792,1269921833,159639,159639,159639
1157642792,1157642792,1217642792,1277642792,1339921833,159639,159639,159639
1217642792,1217642792,1277642792,1228241891,1409921833,159639,159639,159639
1277642792,1277642792,1287642792,1328241891,1409921833,159639,159639,159639
1287642792,1287642792,1298241891,1328241891,1499921833,159639,159639,159639
1238241891,1298241891,1328241891,1328241891,1499921833,159639,159639,159639
1298241891,1328241891,1328241891,1328241891,1486036341,159639,159639,159639
1298241891,1328241891,1328241891,1328241891,1486036341,159639,159639,159639
1328241891,1328241891,1328241891,1328241891,1486036341,159639,159639,159639
1303878283,1303878283,1242901161,1272901161,1596721025,159639,159639,159639
1277046142,1242901161,1272901161,1332901161,1596721025,159639,159639,159639
1242901161,1242901161,1272901161,1296194465,159639,159639,159639,159639
1272901161,1272901161,1332901161,1269921833,159639,159639,159639,159639
1332901161,1332901161,1269921833,1339921833,159639,159639,159639,159639
1296194465,1269921833,1339921833,1359921833,159639,159639,159639,159639
1269921833,1269921833,1339921833,1409921833,159639,159639,159639,159639
1339921833,1339921833,1359921833,1409921833,159639,159639,159639,159639
1359921833,1409921833,1409921833,1499921833,159639,159639,159639,159639
1409921833,1409921833,1439921833,1499921833,159639,159639,159639,159639
1439921833,1499921833,1499921833,1536036341,159639,159639,159639,159639
1499921833,1499921833,1486036341,1586036341,159639,159639,159639,159639
1486036341,1486036341,1586036341,1616036341,159639,159639,159639,159639
1586036341,1586036341,1616036341,1596721025,159639,159639,159639,159639
1586036341,1586036341,1616036341,1596721025,159639,159639,159639,159639
1616036341,1616036341,1536721025,1596721025,159639,159639,159639,159639
1536721025,1536721025,1596721025,159639,159639,159639,159639,159639
1536721025,1536721025,1596721025,159639,159639,159639,159639,159639
1596721025,1596721025,1596721025,159639,159639,159639,159639,159639
159639,159639,159639,159639,159639,159639,159639,159639
