token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
340004448599,340006448599,340007953863,342077155009,351067892176,350732128348,349522591718,353535342219
340004448599,340006448599,340007953863,342077155009,351067892176,350732128348,349522591718,353535342219
340004448599,340005453863,340008053863,342077155009,351067892176,350732128348,349522591718,353535342219
340004448599,340005653863,340007954389,342077155009,351067892176,350732128348,349522591718,353535342219
340006448599,340005853863,340007954389,342077155009,351067892176,350732128348,349522591718,353535342219
340006448599,340005853863,340007954389,342077155009,351067892176,351632128348,349522591718,353535342219
340005853863,340006553863,340597455266,343067155009,351787892176,351632128348,349522591718,354345342219
340006553863,340006953863,340597055932,343367155009,351787892176,351632128348,349522591718,354345342219
340006553863,340006953863,341377049246,343367155009,351787892176,351632128348,349522591718,354345342219
340006553863,340006953863,340596856267,343367155009,352657892176,351632128348,349522591718,354345342219
340006553863,340007453863,341466739214,343367155009,352657892176,351632128348,349522591718,349740005488
340007953863,340008053863,341467125506,343367155009,353287892176,352132128348,349522591718,349740005488
340007953863,340007954389,342077122149,343367155009,353287892176,352132128348,350152591718,349740005488
340008053863,340597854570,342077122149,344227155009,353287892176,352132128348,350152591718,349740005488
340597854570,340597055932,342077155009,344257155009,353287892176,352132128348,350152591718,349740005488
340597555084,341377049246,342077155009,344257155009,353312892176,352132128348,350152591718,349740005488
340597455266,341466739214,342097155009,345187160003,353312892176,352812128348,350152591718,349740005488
340597055932,341466625506,342097155009,345237160003,353312892176,352812128348,350152591718,349740005488
341377049246,341466625506,342097155009,345237160003,353312892176,352812128348,350152591718,349740005488
340596856267,341466625506,343067155009,345237160003,353312892176,352709454737,350152591718,349740005488
341466625506,341467125506,343367155009,345237160003,353312892176,352709454737,350152591718,350450005488
341466625506,342077125506,343367155009,345237160003,353312892176,352709454737,350152591718,350450005488
341466625506,342077125506,343367155009,345237160003,353312892176,352709454737,350152591718,350450005488
341467125506,342077122149,343367155009,345237160003,353802892176,352709454737,350152591718,350450005488
341467125506,342077122149,343367155009,345267160003,353802892176,352709454737,349972591718,350450005488
341467125506,342077122149,343367155009,345267160003,353802892176,352709454737,349972591718,350450005488
342077122149,342077155009,343367155009,345267160003,353802892176,352709454737,349972591718,350450005488
342077155009,342077155009,343367155009,346187160003,353802892176,352709454737,349972591718,351240005488
342077155009,342077155009,343367155009,346185097077,353802892176,352709454737,349972591718,351240005488
342077155009,342097155009,344227155009,347155097077,354829931456,352709454737,349972591718,351240005488
343067155009,343367155009,345187160003,347155097077,354829931456,353519454737,350612591718,351660005488
343367155009,343367155009,345237160003,347255097077,347545425055,353519454737,351252591718,352360005488
343367155009,343367155009,345237160003,347255097077,347545425055,353519454737,351252591718,352360005488
344257155009,345187160003,347155097077,346952874861,347545425055,353519454737,351912591718,352810005488
344257160003,345237160003,347155097077,346952874861,348125425055,353519454737,351912591718,352810005488
345237160003,345237160003,347155097077,346952874861,349005425055,353519454737,352462591718,352810005488
345237160003,345267160003,347155097077,347952874861,349005425055,353519454737,352462591718,352810005488
345237160003,345267160003,347255097077,347952874861,349005425055,353519454737,352462591718,353260005488
346187160003,347155097077,347255097077,347933488476,349635425055,353599454737,352462591718,353260005488
347155097077,347155097077,346952874861,348373488476,349635425055,353599454737,352462591718,353260005488
347155097077,347155097077,346952874861,348373488476,349635425055,354289454737,353092591718,353260005488
347155097077,347155097077,346952874861,348373488476,349635425055,354289454737,353092591718,353260005488
347255097077,347255097077,347952874861,349953488476,350195425055,350132480218,353092591718,353840005488
346952874861,346952874861,347933488476,349953488476,351055425055,350132480218,353061409013,353840005488
347952874861,347933488476,349953488476,351228007258,352401425055,351002480218,353741409013,354330005488
348373488476,348373488476,349953488476,352868007258,352831425055,351002480218,353741409013,354330005488
348373488476,349063488476,350613488476,352868007258,353541425055,351002480218,353741409013,354330005488
349953488476,349953488476,350613488476,353868007258,354431425055,351002480218,354361409013,354330005488
349953488476,349953488476,350598007258,353868007258,355153464335,351002480218,354361409013,354330005488
350613488476,350613488476,352868007258,349817892176,346277874240,351552480218,354843799009,348529592710
351228007258,351978007258,353868007258,349817892176,347137874240,352053542978,345350963685,348529592710
351228007258,351978007258,353868007258,350407892176,347627874240,352053542978,345350963685,349279592710
351978007258,352868007258,354438007258,350407892176,348157449397,352833542978,346010963685,349279592710
352868007258,353368007258,349407892176,350407892176,348157449397,353723542978,346010963685,349829592710
353368007258,353868007258,349817892176,350407892176,348847449397,354463542978,346010963685,350729592710
353868007258,354438007258,349817892176,351067892176,348832128348,354463542978,346650963685,351299592710
349407892176,349817892176,350407892176,351067892176,348832128348,347499459156,346650963685,351299592710
349407892176,349817892176,350407892176,351787892176,348832128348,347499459156,346650963685,351859592710
349817892176,349817892176,350407892176,352657892176,348832128348,347499459156,347490963685,351859592710
350407892176,350407892176,351067892176,353287892176,349712128348,348289459156,348630963685,353939592710
351067892176,351067892176,353287892176,353802892176,350732128348,348929459156,348630963685,353939592710
351067892176,351067892176,353287892176,353802892176,350732128348,348929459156,348630963685,354390005487
351787892176,352657892176,353312892176,347545425055,351632128348,350209459156,348630963685,354390005487
353287892176,353287892176,353312892176,347545425055,351632128348,350209459156,349320963685,354390005487
353287892176,353287892176,353802892176,347545425055,351632128348,350899459156,349900963685,345440990415
353312892176,353312892176,354829931456,348125425055,352132128348,350899459156,350370963685,345440990415
353802892176,353802892176,347545425055,349635425055,352709454737,352399459156,350910963685,345440990415
354829931456,354829931456,347545425055,349635425055,352709454737,353009459156,351750963685,346290990415
347545425055,347545425055,349005425055,350195425055,353519454737,353839459156,351750963685,346870990415
348125425055,349005425055,349635425055,351661425055,353519454737,354673396232,351750963685,346870990415
349005425055,349005425055,349635425055,352401425055,353519454737,354673396232,351750963685,346870990415
349635425055,349635425055,351055425055,352831425055,353599454737,354673396232,352180963685,348050990415
350195425055,351055425055,352401425055,345437874240,350132480218,354673396232,353560963685,348860990415
351055425055,351061425055,352831425055,345437874240,350132480218,345875266364,353560963685,349530990415
351061425055,351661425055,353541425055,346277874240,350132480218,345875266364,353560963685,350340990415
352401425055,352401425055,354431425055,347137874240,350132480218,346675266364,354119231383,350340990415
352401425055,352831425055,355153464335,347627874240,351002480218,346675266364,354119231383,351200990415
352831425055,353541425055,345437874240,348157449397,351002480218,346675266364,354649231383,351200990415
353541425055,354431425055,345437874240,348777449397,351002480218,347425266364,350048389643,351200990415
354431425055,345437874240,346277874240,348832128348,351002480218,347425266364,350858389643,351910990415
345437874240,345437874240,347137874240,348832128348,351002480218,347425266364,351378389643,351910990415
345437874240,345437874240,347627874240,348832128348,351552480218,347425266364,351378389643,351910990415
346277874240,347137874240,348777449397,348832128348,351552480218,348315266364,352058389643,353420990415
347627874240,347577449397,348832128348,349712128348,352132480218,348995266364,352058389643,353970990415
347577449397,348157449397,348832128348,349712128348,352053542978,349658605924,352058389643,353970990415
348157449397,348157449397,348832128348,350212128348,352833542978,349658605924,352598389643,354425990416
348157449397,348777449397,348832128348,350212128348,352833542978,349658605924,352598389643,354425990416
348847449397,348832128348,348832128348,350212128348,353723542978,350518605924,352598389643,355115990416
348832128348,348832128348,348832128348,350732128348,354463542978,350518605924,352598389643,350038161979
348832128348,348832128348,348832128348,350732128348,354463542978,350518605924,352598389643,350038161979
349712128348,350212128348,350732128348,352132128348,348289459156,352628605924,353058389643,352158161979
350212128348,350212128348,350732128348,352132128348,348289459156,352628605924,353898389643,352158161979
350732128348,350732128348,351632128348,352709454737,348929459156,353078605924,354328389643,353588161979
351632128348,351632128348,352132128348,353519454737,350209459156,349912262540,354402906473,347888098659
352132128348,352132128348,352709454737,353519454737,350899459156,349912262540,354872906473,348698098659
352709454737,352709454737,353519454737,353519454737,350899459156,350502262540,348038756069,349378098659
352709454737,352709454737,353519454737,353599454737,350899459156,350502262540,348038756069,349378098659
353519454737,353519454737,353519454737,354289454737,353059459156,351602262540,349548756069,349378098659
353599454737,353599454737,350132480218,351002480218,354673396232,353722262540,351398756069,351958098659
354289454737,354731609098,350132480218,351002480218,354673396232,354902262540,352678756069,353068098659
350132480218,350132480218,351002480218,351552480218,354673396232,348588108442,353458756069,353678098659
350132480218,350132480218,351002480218,351552480218,354673396232,348588108442,353458756069,353678098659
351002480218,351002480218,351002480218,352132480218,346675266364,348588108442,346313023907,354318098659
351552480218,351552480218,352053542978,347499459156,347425266364,350148108442,348693023907,346261268424
352132480218,352053542978,354463542978,348289459156,348315266364,351368108442,349433023907,346721268424
352833542978,352833542978,347499459156,348289459156,348998605924,352168108442,350073023907,347341268424
352833542978,353723542978,347499459156,348289459156,349658605924,352708108442,350833023907,347751268424
353723542978,354463542978,347499459156,348929459156,349658605924,352708108442,350833023907,347751268424
354463542978,354463542978,348289459156,348929459156,350518605924,352708108442,351673023907,348641268424
347499459156,347499459156,348289459156,349629459156,350518605924,353558108442,352383023907,349066268424
348289459156,348289459156,348929459156,350899459156,351948605924,354606743723,353183023907,349066268424
348929459156,348929459156,350209459156,350899459156,353078605924,345431637693,354913023907,350336268424
349629459156,350209459156,350899459156,353059459156,354518605924,347731637693,351014686818,351126268424
350209459156,350209459156,350899459156,353839459156,349912262540,348221637693,351014686818,351126268424
