token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
9762000000,8633975843,9492681945,393,393,393,393,393
9762100000,9634275843,9493081945,393,393,393,393,393
8141030814,9714275843,9493181945,393,393,393,393,393
8141030814,9714375843,9493381945,393,393,393,393,393
8633975843,9714375843,9494481945,393,393,393,393,393
9634275843,9714375843,9494481945,393,393,393,393,393
9714275843,9714575843,9494481945,393,393,393,393,393
9714375843,9714675843,9494481945,393,393,393,393,393
9714375843,9714675843,9504367749,393,393,393,393,393
9714375843,9714675843,9504273595,393,393,393,393,393
9714575843,9714675843,9504679447,393,393,393,393,393
9714675843,9040879043,9504558957,393,393,393,393,393
9714675843,8891981945,9504664793,393,393,393,393,393
9040879043,9491981945,9504565052,393,393,393,393,393
9491981945,9493381945,9504565052,393,393,393,393,393
9492681945,9494481945,9504058604,393,393,393,393,393
9493081945,9494481945,9504058604,393,393,393,393,393
9493181945,9494481945,9504058604,393,393,393,393,393
9493381945,9494481945,393,393,393,393,393,393
9494381945,9494481945,393,393,393,393,393,393
9494481945,9504367749,393,393,393,393,393,393
9494481945,9504273595,393,393,393,393,393,393
9494481945,9504679447,393,393,393,393,393,393
9494481945,9504558957,393,393,393,393,393,393
9494481945,9504558957,393,393,393,393,393,393
9504367749,9504558957,393,393,393,393,393,393
9504558957,9504565052,393,393,393,393,393,393
9504558957,9504565052,393,393,393,393,393,393
9504664793,9504565052,393,393,393,393,393,393
9504565052,9504565052,393,393,393,393,393,393
9504565052,9504058604,393,393,393,393,393,393
9504565052,393,393,393,393,393,393,393
393,393,393,393,393,393,393,393
393,393,393,393,393,393,393,393
