open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:09,600020000000,600020000000,600020000000,600020000000,600020000000,600020000000,600020000000,600020000000,600020000000,600020000000,600020000000,281200000,0,281200000,0,281200000,0,281200000,0,281200000,0,281200000,0,281200000,0,281200000,0,281200000,0,281200000,0,0,9,0.35561877667140823,0.995732574679943,1.0,1.3777700429810655
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:10,600301200000,600301200000,600301200000,600301200000,600301200000,600301200000,600301200000,600301200000,600301200000,600301200000,600301200000,352300000,0,352300000,0,352300000,0,352300000,0,352300000,0,352300000,0,352300000,0,352300000,0,352300000,0,352300000,0,0,13,0.2838489923360772,0.908316775475447,0.9985807550383194,1.7385619802632906
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:11,600352400000,600352400000,600352400000,600352400000,600352400000,600352400000,600352400000,600352400000,600352400000,600352400000,600352400000,353500000,0,353500000,0,353500000,0,353500000,0,353500000,0,353500000,0,353500000,0,353500000,0,353500000,0,353500000,0,0,21,0.2828854314002829,0.9052333804809052,0.9957567185289958,1.7615083165511032
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:12,600353700000,600353700000,600353700000,600353700000,600353700000,600353700000,600353700000,600353700000,600353700000,600353700000,600353700000,403700000,0,403700000,0,403700000,0,403700000,0,403700000,0,403700000,0,403700000,0,403700000,0,403700000,0,403700000,0,0,31,0.24770869457517958,0.8645033440673768,0.9920733217735942,1.9383594121297727
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:13,600403800000,600403800000,600403800000,600403800000,600403800000,600403800000,600403800000,600403800000,600403800000,600403800000,600403800000,404100000,0,404100000,0,404100000,0,404100000,0,404100000,0,404100000,0,404100000,0,404100000,0,404100000,0,404100000,0,0,35,0.24746349913387775,0.8636476119772333,0.9910913140311803,1.9456500757898252
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:14,600404200000,600020000000,600404200000,600404200000,600404200000,600404200000,600404200000,600404200000,600404200000,600404200000,600404200000,404200000,0,404200000,0,404200000,0,404200000,0,404200000,0,404200000,0,404200000,0,404200000,0,404200000,0,404200000,0,0,36,0.24740227610094012,0.8634339435922809,0.9908461157842652,1.9474706401418371
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:15,600424200000,600301200000,600424200000,600424200000,600424200000,600424200000,600424200000,600424200000,600424200000,600424200000,600424200000,152425819,0,433625819,0,433625819,0,433625819,0,433625819,0,433625819,0,433625819,0,433625819,0,433625819,0,433625819,0,0,39,0.23061357423460987,0.8048413740787884,0.9778015547547458,2.120965810579854
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:16,600433825819,600352400000,600433825819,600433825819,600433825819,600433825819,600433825819,600433825819,600433825819,600433825819,600433825819,86325819,0,438625819,0,438625819,0,438625819,0,438625819,0,438625819,0,438625819,0,438625819,0,438625819,0,438625819,0,0,44,0.2279847552704142,0.7956667958937456,0.9666553623465562,2.1723048166844987
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:19,600389864682,600404200000,600020000000,600389864682,600389864682,600389864682,600389864682,600389864682,600389864682,600389864682,600389864682,34525819,-48761137,438625819,-48761137,438625819,-48761137,438625819,-48761137,438625819,-48761137,438625819,-48761137,438625819,-48761137,438625819,-48761137,438625819,-48761137,438625819,-48761137,-48761137,44,0.2279847552704142,0.7956667958937456,0.9666553623465562,2.1723048166844987
2024-06-10 22:51:09,600000000000,2024-06-10 22:51:20,600489864682,600424200000,600301200000,600489864682,600489864682,600489864682,600489864682,600489864682,600489864682,600489864682,600489864682,134425819,-48761137,257425819,-48761137,538625819,-48761137,538625819,-48761137,538625819,-48761137,538625819,-48761137,538625819,-48761137,538625819,-48761137,538625819,-48761137,538625819,-48761137,-48761137,45,0.1856576429731082,0.7426305718924329,0.9635631670304315,2.2488647049595327
