token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
600404200000,600389864682,600975311306,601024017889,602264071706,610607747875,249277,249277
600424200000,600489864682,600975311306,601024017889,602264071706,610607747875,249277,249277
600433825819,600489964682,600975311306,601024017889,602264071706,610607747875,249277,249277
600433825819,600590064682,600975431306,601024017889,602264071706,610607747875,249277,249277
600433825819,600610991382,600975132221,601024017889,602264071706,610607747875,249277,249277
600389864682,600610991382,600975132221,601024017889,602264071706,249277,249277,249277
600489864682,600611991382,600975532532,601023918478,602264071706,249277,249277,249277
600489964682,600612491382,600975413132,601023918478,602264071706,249277,249277,249277
600610991382,600612491382,601024914635,601028818478,602264071706,249277,249277,249277
600611991382,600612491382,601024914635,601028818478,602264071706,249277,249277,249277
600612491382,600612691382,601024715602,601028818478,602264071706,249277,249277,249277
600612491382,600612891382,601024217333,601028818478,602264071706,249277,249277,249277
600612491382,600612891382,601024117611,601028818478,602264071706,249277,249277,249277
600612491382,600975210996,601024017889,601028818478,602264071706,249277,249277,249277
600612691382,600975210996,601024017889,601028818478,602264071706,249277,249277,249277
600975210996,600975311306,601024017889,601228718771,602264071706,249277,249277,249277
600975410996,600975431306,601024017889,601228718771,602264071706,249277,249277,249277
600975311306,600975132221,601024017889,601228718771,602264071706,249277,249277,249277
600975431306,600975213736,601024017889,601228718771,602264071706,249277,249277,249277
600975132221,601024914635,601024017889,601228718771,602962724565,249277,249277,249277
600975213736,601024217333,601024017889,601228718771,602962724565,249277,249277,249277
600975014341,601024117611,601024017889,601228718771,602962724565,249277,249277,249277
601024914635,601024017889,601023918478,601476218771,602962724565,249277,249277,249277
601024715602,601024017889,601023918478,601476218771,602962724565,249277,249277,249277
601024217333,601024017889,601023918478,601478700629,602962724565,249277,249277,249277
601024117611,601024017889,601023918478,601478700629,602962724565,249277,249277,249277
601024117611,601024017889,601028818478,601478700629,602962724565,249277,249277,249277
601024017889,601024017889,601028818478,601478700629,602962724565,249277,249277,249277
601024017889,601024017889,601028818478,601478700629,602962724565,249277,249277,249277
601024017889,601024017889,601028818478,601478700629,602962724565,249277,249277,249277
601024017889,601024017889,601028818478,601478700629,602962724565,249277,249277,249277
601028818478,601028818478,601476218771,601468705854,602962724565,249277,249277,249277
601028818478,601028718771,601478700629,601468705854,602962724565,249277,249277,249277
601228718771,601228718771,601478700629,601468705854,602962724565,249277,249277,249277
601228718771,601228718771,601468705854,601468705854,603462724565,249277,249277,249277
601478700629,601478700629,601468705854,601468705854,604432724565,249277,249277,249277
601478700629,601478700629,601468705854,601468705854,604723617824,249277,249277,249277
601468705854,601468705854,601468705854,601716205854,605534822352,249277,249277,249277
601716205854,601716205854,601715207191,601715207191,608888148861,249277,249277,249277
601715207191,601715207191,601715207191,601765207191,608981167379,249277,249277,249277
601765207191,601765207191,600908761706,600908761706,610479439761,249277,249277,249277
600908761706,600908761706,600908761706,602264071706,612743831236,249277,249277,249277
602264071706,602264071706,602264071706,602962724565,610607747875,249277,249277,249277
602962724565,602962724565,602962724565,603962724565,249277,249277,249277,249277
603462724565,604012724565,605534822352,606538746888,249277,249277,249277,249277
604182724565,604723617824,606475117308,607629587488,249277,249277,249277,249277
604432724565,604723617824,606775022702,607729587488,249277,249277,249277,249277
604432724565,604723617824,606775022702,607779587488,249277,249277,249277,249277
604723617824,604723617824,606775022702,607679795309,249277,249277,249277,249277
604723617824,604684373365,606975022702,607970680466,249277,249277,249277,249277
604723617824,605314373365,606835190850,608090933318,249277,249277,249277,249277
604723617824,605314373365,606835190850,608420933318,249277,249277,249277,249277
605364373365,606205117308,606505993849,608888148861,249277,249277,249277,249277
605534822352,606475117308,607025861456,608888148861,249277,249277,249277,249277
606205117308,606525117308,606538746888,609107461227,249277,249277,249277,249277
606475117308,606775022702,606538746888,609077378565,249277,249277,249277,249277
606475117308,606775022702,606769246191,608981167379,249277,249277,249277,249277
606475117308,606775022702,606769246191,608981167379,249277,249277,249277,249277
606525117308,606975022702,606769246191,608981167379,249277,249277,249277,249277
606775022702,606835190850,607629587488,608981167379,249277,249277,249277,249277
606975022702,606835190850,607729587488,609261345212,249277,249277,249277,249277
606835190850,606885353680,607729587488,608952641186,249277,249277,249277,249277
606835190850,606505993849,607970680466,609062985544,249277,249277,249277,249277
606885353680,607025861456,608090933318,607581902512,249277,249277,249277,249277
607025861456,606538746888,608888148861,609259683971,249277,249277,249277,249277
