token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
225544746702410,223196953686703,717679614825492,665698654365634,475007269230161,716710371085305,790298504674865,762950728648758
227187951940908,223196953686703,717727586292902,665698654365634,460524343350514,716710371085305,790298504674865,762950728648758
227093445963526,221858146670758,717727586292902,662650661373677,460524343350514,716710371085305,790298504674865,762950728648758
226832407232791,221920549644778,688880494168189,662650661373677,460524343350514,716710371085305,790298504674865,762950728648758
223799821258155,221710670826473,688880494168189,663830535621093,460524343350514,716710371085305,790298504674865,762950728648758
223196953686703,221695694699412,688880494168189,663830535621093,460524343350514,715165500708310,790298504674865,762950728648758
223196953686703,897288287292004,694833048263419,663830535621093,460524343350514,715165500708310,790298504674865,762950728648758
221858146670758,885329708418080,694833048263419,663830535621093,460524343350514,715165500708310,790298504674865,762950728648758
221920549644778,885329708418080,689029137782333,661171166251363,460524343350514,715165500708310,790298504674865,762950728648758
221710670826473,885320174131087,681979807314760,661171166251363,470787498053901,715165500708310,790298504674865,762950728648758
221695694699412,885320174131087,680685006492001,661171166251363,470787498053901,715165500708310,790298504674865,762950728648758
885329708418080,395093596016207,680685006492001,661171166251363,470787498053901,715165500708310,790298504674865,762950728648758
885329708418080,395093596016207,681082121139535,661171166251363,470787498053901,715165500708310,790298504674865,762950728648758
885320174131087,760494783732875,681082121139535,661171166251363,470787498053901,715165500708310,790298504674865,762950728648758
885320174131087,760494783732875,681082121139535,661171166251363,470787498053901,715165500708310,790298504674865,762950728648758
395093596016207,750274638678302,681082121139535,661171166251363,470787498053901,715165500708310,790298504674865,762950728648758
395093596016207,750274843343103,681082121139535,661171166251363,470787498053901,715165500708310,790298504674865,762950728648758
760494783732875,717631309423025,654081352381836,661171166251363,470787498053901,713627284239897,790298504674865,762950728648758
750274638678302,717727586292902,654081352381836,672125867689611,467483605162792,713627284239897,790298504674865,762950728648758
717631309423025,688880494168189,679401594816982,672870193597490,467483605162792,712095678766107,790298504674865,762950728648758
717727586292902,694833048263419,679401594816982,670901562893028,467483605162792,709052122851046,790298504674865,762950728648758
717727586292902,694833048263419,679401594816982,670901562893028,467483605162792,709052122851046,790298504674865,762950728648758
688880494168189,681979807314760,679401594816982,682860141766952,465226792493938,709052122851046,790298504674865,762950728648758
688880494168189,680685006492001,665698654365634,681451063620945,465226792493938,709052122851046,790298504674865,762950728648758
694833048263419,680685006492001,665698654365634,681451063620945,465226792493938,709052122851046,790298504674865,762950728648758
689029137782333,681082121139535,662650661373677,680889062193768,465226792493938,709052122851046,790298504674865,762950728648758
680685006492001,681082121139535,663830535621093,680608409606555,465226792493938,709052122851046,790298504674865,762950728648758
681082121139535,681082121139535,661171166251363,680608409606555,465226792493938,709052122851046,790298504674865,762950728648758
681082121139535,654081352381836,661171166251363,680608409606555,466801086013341,709052122851046,790298504674865,762950728648758
681082121139535,654081352381836,661171166251363,680608409606555,466801086013341,709052122851046,790298504674865,762950728648758
681082121139535,686395615001724,661171166251363,670339362206263,466801086013341,709052122851046,790298504674865,762950728648758
679401594816982,679401594816982,661171166251363,672231986206263,466801086013341,650653459285299,790298504674865,762950728648758
679401594816982,662650661373677,672870193597490,672231986206263,466801086013341,666282832799759,790298504674865,762950728648758
679401594816982,663830535621093,672870193597490,656961202615726,466801086013341,666282832799759,790298504674865,762950728648758
663830535621093,661171166251363,681451063620945,655624742942007,464183271352269,660974987049289,790298504674865,762950728648758
663830535621093,661171166251363,681451063620945,655624742942007,464183271352269,664870304546232,790298504674865,762950728648758
661171166251363,661171166251363,680889062193768,654844915792733,464183271352269,664870304546232,790298504674865,762950728648758
661171166251363,661171166251363,680608409606555,618202953683663,463923107509544,664870304546232,790298504674865,762950728648758
628312879962587,681451063620945,672231986206263,600650530534783,462626652359335,667529673915962,789884927500641,797938837386971
670901562893028,681451063620945,672231986206263,601830404782199,462626652359335,667529673915962,789884927500641,797938837386971
670901562893028,681451063620945,672231986206263,601830404782199,462626652359335,667529673915962,789884927500641,797938837386971
