token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
500291200000,500394400000,500856575796,500856081685,508464463313,517961506201,671625,671625
500391400000,500351023490,500857175796,500856081685,508464463313,517961506201,671625,671625
500391500000,500352523490,500857175796,500856081685,508464463313,517961506201,671625,671625
500392700000,500352523490,500857175796,500856081685,508464463313,517961506201,671625,671625
500394400000,500352523490,500857576051,500856081685,508464463313,517961506201,671625,671625
500351023490,500354775496,500857376561,500856081685,508464463313,517961506201,671625,671625
500352523490,500354775496,500857078109,500856081685,508562406285,517961506201,671625,671625
500352523490,500854775496,500857078109,500856081685,508562406285,517961506201,671625,671625
500352523490,500854775496,500856878680,500856081685,508562406285,517961506201,671625,671625
500354775496,500854875496,500856679250,500856081685,508562406285,517961506201,671625,671625
500354775496,500855075496,500856579565,500856081685,508562406285,517961506201,671625,671625
500354775496,500856075496,500856479840,500856081685,508562406285,517961506201,671625,671625
500854875496,500856275496,500856479840,500865882684,508562406285,517961506201,671625,671625
500856275496,500856675496,500856180686,500865882684,508562406285,517961506201,671625,671625
500856275496,500857175796,500856180686,500865882684,508562406285,517971506201,671625,671625
500856275496,500857175796,500856280686,500865882684,508562406285,517971506201,671625,671625
500856675496,500857175796,500856280686,500865882684,508562406285,517971506201,671625,671625
500856675496,500857175796,500856280686,502165882684,508562406285,517971506201,671625,671625
500857175796,500857078109,500856280686,502165882684,508562406285,517971506201,671625,671625
500857576051,500856878680,500856081685,502165882684,508562406285,517971506201,671625,671625
500857376561,500856679250,500856081685,502165882684,508562406285,517971506201,671625,671625
500856878680,500856479840,500856081685,502165882684,508562406285,517971506201,671625,671625
500856679250,500856479840,500856081685,502165882684,508562406285,517971506201,671625,671625
500856579565,500856280431,500856081685,502165882684,508562406285,517971506201,671625,671625
500856479840,500856180686,500856081685,502165882684,508562406285,517971506201,671625,671625
500856479840,500856180686,500856081685,502165882684,509862406285,517971506201,671625,671625
500856479840,500856180686,500856081685,502165882684,509862406285,517971506201,671625,671625
500856280431,500856280686,500856081685,502165882684,509862406285,517971506201,671625,671625
500856180686,500856280686,500856081685,502165882684,509862406285,517971506201,671625,671625
500856280686,500856280686,500865882684,502165882684,509862406285,519471506201,671625,671625
500856280686,500856280686,500865882684,502165882684,509862406285,519471506201,671625,671625
500856280686,500856081685,500865882684,502192515981,509862406285,519471506201,671625,671625
500856081685,500856081685,502165882684,502192515981,509862406285,519471506201,671625,671625
500865882684,502165882684,502165882684,503992515981,509862406285,520221506201,671625,671625
502165882684,502165882684,502192515981,503992515981,510862406285,520221506201,671625,671625
502192515981,502192515981,503992515981,505181381244,511113830775,671625,671625,671625
503992515981,503992515981,503992515981,505154564971,511113830775,671625,671625,671625
505192515981,505192515981,505154564971,506264564971,513861506201,671625,671625,671625
505181381244,505154564971,506254564971,506264564971,513861506201,671625,671625,671625
505181381244,505154564971,506254564971,506264564971,513861506201,671625,671625,671625
505154564971,505154564971,506264564971,506264564971,513861506201,671625,671625,671625
506254564971,506264564971,506264564971,507164463313,515261506201,671625,671625,671625
506264564971,506264564971,506264564971,507164463313,515261506201,671625,671625,671625
507164463313,507164463313,507164463313,508562406285,516261506201,671625,671625,671625
507164463313,507164463313,507164463313,508562406285,516261506201,671625,671625,671625
508464463313,508464463313,508562406285,509862406285,517961506201,671625,671625,671625
508562406285,508562406285,508562406285,509862406285,517961506201,671625,671625,671625
509862406285,509862406285,509862406285,510862406285,517971506201,671625,671625,671625
510862406285,510862406285,511113830775,513861506201,520221506201,671625,671625,671625
511113830775,511113830775,513861506201,513861506201,520241393895,671625,671625,671625
513861506201,513861506201,513861506201,513861506201,671625,671625,671625,671625
515261506201,515261506201,515261506201,516261506201,671625,671625,671625,671625
516261506201,516261506201,516261506201,517961506201,671625,671625,671625,671625
517961506201,517961506201,517961506201,519471506201,671625,671625,671625,671625
517971506201,517971506201,519471506201,520221506201,671625,671625,671625,671625
519471506201,519471506201,520221506201,520241393895,671625,671625,671625,671625
520221506201,520221506201,520241393895,671625,671625,671625,671625,671625
520241393895,520241393895,671625,671625,671625,671625,671625,671625
671625,671625,671625,671625,671625,671625,671625,671625
