token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
24290000000,21524626637,24709390075,26154546254,31473517521,34717743039,31932524708,31932524708
22146152232,22074426637,24956890075,26154546254,31473517521,31932524708,31932524708,31932524708
21760772545,22074426637,24957390075,26154546254,31473517521,31932524708,31932524708,31932524708
21524626637,22095326637,24957685539,26154546254,31968568521,31932524708,31932524708,31932524708
22074426637,22096126637,24957584027,26154546254,31968568521,31932524708,31932524708,31932524708
22074426637,22343626637,24957584027,26154546254,31968568521,31932524708,31932524708,31932524708
22074426637,22343626637,24957482517,26154546254,32468568521,31932524708,31932524708,31932524708
22094626637,22344126637,24967279497,26154546254,32468568521,31932524708,31932524708,31932524708
22096126637,22344126637,26155160958,26082265286,32473911748,31932524708,31932524708,31932524708
22344126637,24708533262,26154715056,26082265286,32473911748,31932524708,31932524708,31932524708
22344126637,24708733262,26154492128,26082265286,32473911748,31932524708,31932524708,31932524708
22344126637,24708733262,26154157713,26082265286,32473911748,31932524708,31932524708,31932524708
24566432267,24708933262,26154157713,26082265286,31244558365,31932524708,31932524708,31932524708
24708533262,24709390075,26154157713,26082265286,31244558365,31932524708,31932524708,31932524708
24708933262,24957190075,26154546254,26082265286,31244558365,31932524708,31932524708,31932524708
24708933262,24957390075,26154546254,26082265286,31244558365,31932524708,31932524708,31932524708
24709390075,24957787047,26154546254,26082265286,31244558365,31932524708,31932524708,31932524708
24709390075,24957685539,26154546254,26678712145,31334558365,31932524708,31932524708,31932524708
24957190075,24957584027,26154546254,26678712145,29178361109,31932524708,31932524708,31932524708
24957787047,24967279497,26154546254,25766533746,29478361109,31932524708,31932524708,31932524708
24957584027,26155160958,26154546254,26166533746,29191654045,31932524708,31932524708,31932524708
24957584027,26155049477,26154546254,26166533746,30181654045,31932524708,31932524708,31932524708
24957482517,26154826532,26154546254,26166533746,30169673427,31932524708,31932524708,31932524708
24967279497,26154715056,26154546254,26166533746,30169673427,31932524708,31932524708,31932524708
26155160958,26154492128,26154546254,26176533746,30169673427,31932524708,31932524708,31932524708
26155160958,26154157713,26154546254,26176533746,30169673427,31932524708,31932524708,31932524708
26154826532,26154157713,26154546254,26176533746,30169673427,31932524708,31932524708,31932524708
26154715056,26154157713,26154546254,26179533746,30169673427,31932524708,31932524708,31932524708
26154492128,26154157713,26082265286,26179533746,30219673427,31932524708,31932524708,31932524708
26154157713,26154546254,26082265286,26179533746,30269673427,31932524708,31932524708,31932524708
26154157713,26154546254,26082265286,26179533746,30269673427,31932524708,31932524708,31932524708
26154157713,26154546254,26082265286,26179533746,30269673427,31932524708,31932524708,31932524708
26154157713,26154546254,26082265286,26179533746,30269673427,31932524708,31932524708,31932524708
26154046254,26154546254,26082265286,26179533746,30269673427,31932524708,31932524708,31932524708
26154546254,26154546254,26082265286,26179533746,30369673427,31932524708,31932524708,31932524708
26154546254,26154546254,26082265286,26179533746,30369673427,31932524708,31932524708,31932524708
26082265286,26082265286,26179533746,25567865990,31038755219,31932524708,31932524708,31932524708
25766533746,26176533746,26179533746,25568365990,32721755219,31932524708,31932524708,31932524708
26166533746,26179533746,26179533746,25568365990,32721755219,31932524708,31932524708,31932524708
26176533746,26179533746,26179533746,25568365990,32731755219,31932524708,31932524708,31932524708
26179533746,26179533746,25567865990,25558873537,31262071802,31932524708,31932524708,31932524708
26179533746,26179533746,25567865990,25561944701,31524156232,31932524708,31932524708,31932524708
25567865990,25567865990,25568365990,25181989052,32212552366,31932524708,31932524708,31932524708
25567865990,25568365990,25568365990,25181989052,32222552366,31932524708,31932524708,31932524708
25568365990,25568365990,25561944701,24318016941,32258894698,31932524708,31932524708,31932524708
25561944701,25561944701,24318016941,24518016941,35925443313,31932524708,31932524708,31932524708
25561944701,25561944701,24318016941,27018016941,34557587390,31932524708,31932524708,31932524708
24318016941,24318016941,24518016941,26212126959,34616965763,31932524708,31932524708,31932524708
24318016941,24318016941,24518016941,28304626959,33258316744,31932524708,31932524708,31932524708
24518016941,24518016941,28018016941,28875911572,34378116744,31932524708,31932524708,31932524708
28018016941,25351027959,28304677959,29911997775,37348349428,31932524708,31932524708,31932524708
28018016941,25351126959,29504677959,29911997775,37348349428,31932524708,31932524708,31932524708
25411126959,26212126959,29875911572,30398583971,37348349428,31932524708,31932524708,31932524708
25411126959,26212126959,29875962572,30398583971,37271215055,31932524708,31932524708,31932524708
26212126959,26212126959,29875962572,31388583971,37559565813,31932524708,31932524708,31932524708
26212126959,26212126959,29875962572,31388634971,37559565813,31932524708,31932524708,31932524708
26212126959,28304626959,29875962572,31373466521,35868366420,31932524708,31932524708,31932524708
26212126959,28304626959,29875962572,31373466521,34135669975,31932524708,31932524708,31932524708
28304677959,29504677959,29911844775,31473517521,33906847619,31932524708,31932524708,31932524708
29504677959,28875911572,29911997775,31968568521,34282139968,31932524708,31932524708,31932524708
28875911572,29875962572,29911997775,32468568521,34282139968,31932524708,31932524708,31932524708
29875962572,29875962572,30924997775,32473911748,34518211687,31932524708,31932524708,31932524708
29875962572,29875962572,30398583971,31244558365,34528211687,31932524708,31932524708,31932524708
29875962572,29875962572,30398583971,31244558365,34528211687,31932524708,31932524708,31932524708
29911895775,29911997775,31473517521,29478361109,35993067939,31932524708,31932524708,31932524708
29911895775,29911997775,31473517521,29478361109,35993067939,31932524708,31932524708,31932524708
29911997775,30924997775,31473517521,30169673427,35993067939,31932524708,31932524708,31932524708
29911997775,30924997775,31968568521,30169673427,35993067939,31932524708,31932524708,31932524708
30398583971,31373466521,32473911748,30269673427,35925449839,31932524708,31932524708,31932524708
30398583971,31373466521,32473911748,30269673427,35925449839,31932524708,31932524708,31932524708
31388634971,31473517521,31244558365,30269673427,35925449839,31932524708,31932524708,31932524708
31373466521,31473517521,31244558365,30369673427,34516121730,31932524708,31932524708,31932524708
31373466521,31473517521,31244558365,30369673427,34516121730,31932524708,31932524708,31932524708
31473517521,31473517521,31244558365,30369673427,34516121730,31932524708,31932524708,31932524708
31473517521,31968568521,29178361109,30619673427,34717743039,31932524708,31932524708,31932524708
32468568521,32473911748,30169673427,30738755219,31932524708,31932524708,31932524708,31932524708
32473911748,31244558365,30169673427,30838755219,31932524708,31932524708,31932524708,31932524708
32473911748,31244558365,30219673427,31038755219,31932524708,31932524708,31932524708,31932524708
