token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
600016144220,600166644220,600168580822,600363152906,600015099900,600845053932,346467,346467
600116644220,600156789112,600169077506,600363152906,600015099900,600845053932,346467,346467
600116744220,600161789112,600168998411,600362952117,600015099900,600845053932,346467,346467
600116944220,600161789112,600169498411,600362852617,600015099900,600845053932,346467,346467
600117044220,600162289112,600164521594,600362852617,600015099900,600845053932,346467,346467
600166644220,600162289112,600164521594,600362852617,600015099900,600845053932,346467,346467
600156789112,600162489112,600164319203,600362852617,600015099900,600845053932,346467,346467
600161789112,600162489112,600364319203,600362852617,600015099900,600845053932,346467,346467
600161789112,600162489112,600364319203,600362852617,600015099900,600845053932,346467,346467
600162289112,600162489112,600364015398,600362852617,600015099900,600845053932,346467,346467
600162289112,600162489112,600363816268,600362852617,600015099900,600845053932,346467,346467
600162489112,600162989112,600363713368,600362852617,600015099900,600845053932,346467,346467
600162489112,600167989112,600363713368,600362852617,600015099900,600845053932,346467,346467
600162489112,600168185796,600363510843,600362852617,600015099900,600845053932,346467,346467
600162989112,600168384138,600363609184,600362852617,600015099900,600845053932,346467,346467
600168384138,600169077506,600363481467,600362852617,600015099900,600845053932,346467,346467
600168384138,600168998411,600363152906,600362852617,600015099900,600845053932,346467,346467
600168384138,600169498411,600363152906,600362852617,600015099900,600845053932,346467,346467
600168580822,600164521594,600363152906,600362852617,600015099900,600845053932,346467,346467
600169077506,600164319203,600363152906,600362852617,600015099900,600845053932,346467,346467
600164521594,600364015398,600363152906,600362852617,600014104852,600845053932,346467,346467
600164319203,600363713368,600363152906,600362852617,600014104852,600845053932,346467,346467
600364319203,600363713368,600362952117,600362852617,600014104852,600845053932,346467,346467
600364319203,600363713368,600362852617,600362852617,600014104852,600845053932,346467,346467
600364015398,600363510843,600362852617,600362852617,600014104852,600845053932,346467,346467
600363713368,600363609184,600362852617,600362852617,600014104852,600845053932,346467,346467
600363713368,600363604207,600362852617,600362852617,600014104852,600845053932,346467,346467
600363510843,600363604207,600362852617,600362852617,600014104852,600845053932,346467,346467
600363609184,600363594253,600362852617,600362852617,600014104852,600845053932,346467,346467
600363609184,600363481467,600362852617,600362852617,600014104852,600845053932,346467,346467
600363604207,600363152906,600362852617,600362852617,600014104852,600845053932,346467,346467
600363594253,600363152906,600362852617,600362852617,600014104852,600845053932,346467,346467
600363152906,600363152906,600362852617,600362852617,600014104852,600845053932,346467,346467
600363152906,600363152906,600362852617,600362852617,600014104852,600845053932,346467,346467
600363152906,600363152906,600362852617,600362852617,600014104852,600845053932,346467,346467
600363152906,600362952117,600362852617,600362852617,600014104852,600845053932,346467,346467
600362852617,600362852617,600362852617,600362852617,600764104852,600845053932,346467,346467
600362852617,600362852617,600362852617,600362852617,600764104852,600845053932,346467,346467
600263270372,600214001734,600214001734,600214001734,600845053932,600845053932,346467,346467
600214001734,600214001734,600214001734,600214001734,600845053932,600845053932,346467,346467
600015099900,600015099900,600015099900,600015099900,600845053932,600098593848,346467,346467
600014104852,600014104852,600764104852,600764104852,600845053932,600098593848,346467,346467
600764104852,600764104852,600764104852,600845053932,600845053932,600098593848,346467,346467
600845053932,600845053932,600845053932,600845053932,600845053932,600098593848,346467,346467
600098593848,600098593848,600098593848,600098593848,600098593848,346467,346467,346467
346467,346467,346467,346467,346467,346467,346467,346467
