token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
4290417703,4391817703,4238274233,4254599653,3650422536,473333932,473333932,473320091
4290717703,4391917703,4238274233,4254599653,3650422536,473333932,473333932,473320091
4291117703,4452317703,4238274233,4254599653,3650422536,473333932,473333932,473320091
4291117703,4452317703,4238274233,4254599653,3650422536,473333932,473333932,473320091
4391817703,4452817703,4238274233,4254599653,3650422536,473333932,473333932,473320091
4391817703,4452817703,4238774233,4254599653,3650422536,473333932,473333932,473320091
4391917703,4452817703,4238579694,4254599653,3650422536,473333932,473333932,473320091
4452317703,4453017703,4238380722,4254599653,3650422536,473333932,473333932,473320091
4452817703,4453017703,4238185801,4254599653,3650422536,473333932,473333932,473320091
4452817703,4187473743,4238185801,4254599653,3650422536,473333932,473333932,473320091
4453017703,4187973743,4145550869,4254599653,3650422536,473333932,473333932,473320091
4453017703,4188073743,4237794659,3284534074,3650422536,473333932,473333932,473320091
4187973743,4188873743,4237598809,3284534074,3650422536,473333932,473333932,473320091
4188873743,4238274233,4310444585,4280627289,3650422536,473333932,473333932,473320091
4188873743,4238274233,4310258391,4280627289,3650422536,473333932,473333932,473320091
4188774233,4238274233,4214599653,3284458916,3650422536,473333932,473333932,473320091
4238274233,4238774233,4214599653,3284458916,3650422536,473333932,473333932,473320091
4238274233,4238579694,4214599653,3284458916,3650422536,473333932,473333932,473320091
4238274233,4238185801,4254599653,3284458916,3650422536,473333932,473333932,473320091
4238774233,4238185801,4254599653,3284458916,3650422536,473333932,473333932,473320091
4238185801,4237695839,4254599653,3284401239,3656722536,473333932,473333932,473320091
4238185801,4237598809,4254599653,3284401239,3656722536,473333932,473333932,473320091
4145550869,4237598809,4254599653,3284401239,3656722536,473333932,473333932,473320091
4238086958,3318823375,4254599653,3284401239,3656722536,473333932,473333932,473320091
4237598809,4310258391,4254599653,3284901239,3656722536,473333932,473333932,473320091
3318823375,4310258391,4254599653,3284901239,3656722536,473333932,473333932,473320091
3318698543,4214599653,3284534074,3284901239,3656722536,473333932,473333932,473320091
4310645524,4214599653,3284534074,3284901239,3656722536,473333932,473333932,473320091
4310444585,4214599653,3284534074,3284901239,3656722536,473333932,473333932,473320091
4310258391,4254599653,3280627289,3284952239,3635010206,473333932,473333932,473320091
4214599653,4254599653,3280627289,3284952239,3635010206,473333932,473333932,473320091
4214599653,4254599653,4280627289,3284952239,3635010206,473333932,473333932,473320091
4214599653,4254599653,4280627289,3284952239,3635010206,473333932,473333932,473320091
4214599653,4254599653,4280627289,3284952239,3635010206,473333932,473333932,473320091
4254599653,4254599653,3284458916,3284952239,3635010206,473333932,473333932,473320091
4254599653,4254599653,3284458916,3284952239,3635010206,473333932,473333932,473320091
3280627289,3284458916,3284901239,3285003239,3635010206,473333932,473333932,473320091
4280627289,3284458916,3284952239,3285003239,3635010206,473333932,473333932,473320091
3284458916,3284458916,3284952239,3305003239,3635010206,473333932,473333932,473320091
3284458916,3284401239,3284952239,3207522360,3635010206,473333932,473333932,473320091
3284401239,3284901239,3284952239,3207522360,3635010206,473333932,473333932,473320091
3284901239,3284952239,3285003239,3207522360,3635010206,473333932,473333932,473320091
3284952239,3284952239,3285003239,3207522360,3635010206,473333932,473333932,473320091
3285003239,3285003239,3207522360,3190320253,3635010206,473333932,473333932,473320091
3207522360,3207522360,3207522360,3390320253,3612636934,473333932,473333932,473320091
3207522360,3207522360,3207522360,3390320253,3612636934,473333932,473333932,473320091
3190320253,3190320253,3390320253,3410120253,468333932,473333932,473333932,473320091
3190320253,3190320253,3390320253,3410120253,468333932,473333932,473333932,473320091
3390320253,3390320253,3390320253,3410120253,468333932,473333932,473333932,473320091
3410120253,3410120253,3410120253,3620422536,473333932,473333932,473333932,473320091
3620422536,3620422536,3650422536,3656722536,473333932,473333932,473333932,473320091
3620422536,3620422536,3650422536,3656722536,473333932,473333932,473333932,473320091
3650422536,3650422536,3650422536,3635010206,473333932,473333932,473333932,473320091
3656722536,3656722536,3635010206,3635010206,473333932,473333932,473333932,473320091
3635010206,3635010206,3635010206,3635010206,473333932,473333932,473333932,473320091
3612636934,3612636934,468170128,468333932,473333932,473333932,473333932,473320091
468570128,468333932,468333932,473333932,473333932,473333932,473333932,473320091
468333932,468333932,468333932,473333932,473333932,473333932,473333932,473320091
468333932,468333932,468333932,473333932,473333932,473333932,473333932,473320091
468333932,468333932,468333932,473333932,473333932,473333932,473333932,473320091
473333932,473333932,473333932,473333932,473333932,473333932,473320091,473320091
473320091,473320091,473320091,473320091,473320091,473320091,473320091,473320091
479633821,479633821,479633821,479633821,479633821,479633821,479633821,479633821
479627687,479627687,479627687,479627687,479627687,479617109,479617109,479617109
479617109,479617109,479617109,479617109,479617109,479617109,479617109,479617109
479813128,479805166,479717599,479622111,479622111,479622111,479622111,479622111
479805166,479797204,479709641,479622111,479622111,479622111,479622111,479622111
479805166,479769339,479677809,479622111,479622111,479622111,479622111,479622111
479797204,479765359,479669851,479622111,479622111,479622111,479622111,479622111
479765359,479733519,479661893,479622111,479622111,479622111,479622111,479622111
479765359,479733519,479657914,479622111,479622111,479622111,479622111,479622111
479745459,479717599,479630067,479622111,479622111,479622111,479622111,479622111
479733519,479717599,479630067,479622111,479622111,479622111,479622111,479622111
479725559,479717599,479622111,479622111,479622111,479622111,479622111,479622111
479717599,479717599,479622111,479622111,479622111,479622111,479622111,479622111
479717599,479709641,479622111,479622111,479622111,479622111,479622111,479622111
479717599,479697704,479622111,479622111,479622111,479622111,479622111,479622111
479717599,479677809,479622111,479622111,479622111,479622111,479622111,479622111
479669851,479661893,479622111,479622111,479622111,479622111,479622111,479622111
479669851,479657914,479622111,479622111,479622111,479622111,479622111,479622111
479669851,479630067,479622111,479622111,479622111,479622111,479622111,479622111
479661893,479630067,479622111,479622111,479622111,479622111,479622111,479622111
479630067,479622111,479622111,479622111,479622111,479622111,479622111,479622111
479630067,479622111,479622111,479622111,479622111,479622111,479622111,479622111
479622111,479622111,479622111,479622111,479622111,479622111,479622111,479622111
479622111,479622111,479622111,479622111,479622111,479622111,479622111,479622111
479622111,479622111,479622111,479622111,479622111,479622111,479622111,479622111
479611800,479611800,479611800,479611800,479611800,479611800,479611800,479611800
