token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
25021989145,21069905615,22386397039,25472815526,27982424403,42447386070,27857322618,7867639509
25022889145,21069905615,22386317585,25483315526,27915745820,42447386070,27857322618,7867639509
25022889145,21069905615,22386317585,26609953109,27915745820,42345543193,27857322618,7867639509
21068905615,21170005615,22534817585,25604533152,30625270703,42345543193,27857322618,7867639509
21069905615,21170005615,22534817585,25604533152,28848250710,41891077417,27857322618,7867639509
21069905615,21219505615,22633817585,25654033152,28848250710,41891077417,27857322618,7867639509
21069905615,21319505615,22633736372,25654033152,28848250710,41891077417,29858312618,7867639509
21170005615,29717387548,22930505078,25653817278,28848250710,41891077417,29858312618,7867639509
21170005615,29717387548,22930505078,25803317278,28752363953,41556997200,29858312618,7867639509
29717387548,29717387548,24192488527,26170416165,28880491433,41792072963,29858312618,7867639509
29717387548,21804878141,25442488527,26675656165,28880491433,41579060663,29733315077,7867639509
29717387548,21797377273,24070333732,26885656165,28880491433,41579060663,29733315077,7867639509
29717387548,22386397039,22935692343,27084656165,28880491433,41579060663,29733315077,7867639509
22386397039,22534817585,25913351615,25643815146,29395291433,42151151653,29931315077,7867639509
22386397039,22633817585,25913351615,25643815146,29395291433,40200178079,29931315077,7867639509
22386317585,22633736372,25534245646,26706088521,29455291433,39425355601,29931315077,7867639509
22386317585,22930655154,25554445646,26706088521,29455291433,39425355601,29931315077,7867639509
22534817585,22930505078,25373753526,26706088521,29455291433,39425355601,29931315077,7867639509
22633736372,22942255016,25483315526,26540358295,29455291433,39305318578,29931315077,7867639509
22930505078,24192488527,25604533152,27134134767,29702791433,39325318578,29931315077,7867639509
22930421725,25442488527,25654033152,27134134767,29702791433,38944802361,28877954917,7967639509
22942255016,24070333732,25654033152,27144034767,29702791433,38944802361,28877954917,7967639509
24192488527,24620739223,25654033152,27144034767,29702791433,38944802361,29372954917,7967639509
24192488527,22935692343,25653817278,27131521799,29702791433,38153747149,29372954917,7967639509
25442488527,23704752238,25803317278,27141280490,27007331072,37429744522,29481854917,7967639509
24070333732,24904752238,25803317278,27141280490,27254831072,37429744522,29489534254,7967639509
24620739223,25913351615,25803317278,27141280490,27254831072,37429744522,29489534254,7967639509
23704752238,25913351615,26675656165,27141280490,27502331072,37679744522,29489534254,7967639509
24904752238,25534245646,26885656165,27406280490,28492331072,37933038190,29489534254,7967639509
25913351615,25554445646,27084656165,27656280490,28492331072,37933038190,29489534254,7967639509
25913351615,25373753526,27084656165,27656280490,27523939437,38033038190,29489534254,7967639509
25913351615,25373753526,27084656165,27644826437,27672439437,38070738190,29489534254,7967639509
25913351615,25472815526,27084656165,27644826437,27672439437,38070738190,29489534254,7967639509
