token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
80651400000,83005600000,87483372386,88386420886,59827429065,80531208715,76356609727,60599686299
82222600000,83282245686,87979472386,88633920886,59827382681,80531208715,76752609727,60599686299
82723700000,83282345686,86871090585,89133920886,59827382681,80531208715,79227609727,61599686299
83261000000,83282345686,83313848871,89511420886,58390852268,80580708715,79227609727,62099686299
83282245686,83332345686,84910448146,89511420886,58390852268,80580708715,79227609727,62099686299
83282345686,83332345686,84910343985,89857920886,56347234950,80580708715,79227609727,61797822551
83282345686,83332345686,84910343985,89857920886,56347234950,80580708715,79227609727,61797822551
83282345686,83332345686,84718164832,89857920886,56347234950,80580708715,79227609727,61797822551
83282345686,84932345686,87718055093,89857971886,56347234950,80580708715,79227609727,61797822551
83332345686,84932345686,88457171981,89857971886,56347234950,80580708715,79227609727,61797822551
83332345686,84932345686,89531449788,88557030740,56347234950,80580708715,77867668688,61797822551
84932345686,87432345686,90561826280,84500571548,55442214670,80580708715,78871258197,62292822551
84932345686,87979472386,93726805098,80243762526,55442214670,80580708715,78750750538,62292822551
87979472386,84910448146,90149021884,83127855740,54342409865,80580708715,81730750538,60796919424
83205816812,84910343985,88386420886,82434829347,54592409865,80580708715,83300750538,60796919424
83213848871,84718164832,88386420886,82434829347,55592409865,80580708715,83300750538,60796919424
83313848871,87718055093,88386420886,82434829347,54971710526,80580708715,83300750538,60796919424
84910343985,89531449788,89133920886,82538374914,54971710526,80778708715,83256443174,60916919424
84910343985,89531326280,89133920886,82538374914,54971710526,80878708715,83256443174,60916919424
84718164832,90531826280,89511420886,83138374914,54971710526,80878708715,83256443174,60916919424
87718055093,90531826280,89511420886,83138374914,55071710526,80878708715,83256443174,60916919424
88457171981,90561826280,89511420886,83238374914,55071710526,80878708715,83256443174,60916919424
89531449788,87967134301,89857920886,83238374914,55071710526,80878708715,83256443174,60916919424
90531826280,88966911810,89857920886,83238374914,57171710526,81785820035,83256443174,63359193162
90531826280,93726805098,89857971886,84238374914,57171710526,81785820035,83256443174,63359193162
90561826280,93726805098,89857971886,84032282059,57171710526,81785820035,83356443174,63359193162
87967134301,89801021884,88557030740,84547082059,58201710526,81785820035,83356443174,63859193162
87967134301,89801521884,88566930740,84547082059,58201710526,81785820035,83356443174,64359193162
88966911810,89901521884,88566930740,84295850204,58201710526,81785820035,83356443174,64359193162
93726805098,90149021884,84500571548,84295850204,57708444032,81785820035,83356443174,64359193162
89801021884,90149072884,80944555599,83894513391,58698444032,81835820035,83658800807,64359193162
89901521884,88386420886,80243762526,83671418373,63698444032,81835820035,83678800807,64359193162
89901521884,88386420886,80243762526,83671418373,63698444032,84065820035,83678800807,64359193162
90149072884,89133920886,83026545740,80773352693,63698444032,84065820035,83678800807,64359193162
88386420886,89133920886,83026545740,82263240379,63698444032,84065820035,83678800807,64613416929
88386420886,89511420886,83127855740,82263240379,63698444032,84065820035,83678800807,64613416929
88633920886,89511420886,83127855740,80958810270,69168444032,84065820035,83678800807,64613416929
89133920886,89857920886,84117855740,80858202663,69168444032,88171751837,83678800807,64613416929
89133920886,89857920886,82434829347,80834437014,69168444032,87990855772,83678800807,64613416929
89511420886,89857971886,82434829347,79263518749,70501197915,87990855772,83678800807,64813416929
89857920886,88557030740,82538374914,79763518749,75501197915,87990855772,83678800807,64813416929
89857920886,88566930740,83138374914,79863518749,75924447915,87990855772,83928800807,64813416929
88557030740,80944555599,83238374914,80423518749,75924447915,86836034300,84178800807,64822249483
84500571548,80243762526,84238374914,79977655354,77024447915,92990855772,84378800807,64822249483
80944555599,83026545740,84547082059,79758618886,72440876123,91535593059,84378800807,64822249483
80944555599,83026545740,84547082059,79956618886,72940876123,91535593059,84378800807,64822249483
80243762526,83127855740,84295850204,80204118886,72940876123,91535593059,84378800807,64952249483
83026545740,84117855740,83894513391,83204118886,72940876123,92035593059,84378800807,64816543619
83127855740,82434829347,83671418373,83204118886,72940876123,92035593059,84495563667,65610024804
83127855740,82434829347,83671418373,81185017386,72940876123,92035593059,84495563667,65610024804
84117855740,82538374914,80773352693,81185017386,72940876123,92035593059,84495563667,65610024804
82434829347,83138374914,82263240379,81185017386,73435876123,92035593059,84495563667,65610024804
82538374914,83238374914,80858202663,80467388596,73435876123,91646516094,84495563667,65610024804
82538374914,83238374914,80834437014,80467388596,73435876123,91646516094,84495563667,65610024804
83238374914,84547082059,79763518749,80467388596,72943331450,91079503452,84476605217,65610024804
83238374914,84295850204,79863518749,78758215908,72943331450,91079503452,84476605217,65610024804
84032282059,84295850204,79923518749,78335340434,72943331450,90148992210,84476605217,65610024804
84295850204,83671418373,79977655354,78511248465,70916260421,91190189616,84149689876,65610024804
84295850204,83671418373,79977655354,78511248465,70916260421,90849231973,84149689876,65610024804
83894513391,80773352693,79758618886,78511248465,70916260421,90849231973,84149689876,64111804911
83671418373,82263240379,79956618886,78511248465,70916260421,90539382423,83053553367,64111804911
80773352693,80858202663,83204118886,78435568842,70423860015,90933863000,83553553367,63836339831
82263240379,80834437014,83204118886,78435568842,72296722193,90645992179,84053553367,63836339831
80858202663,79763518749,81185017386,77683405993,73296722193,92145992179,84053553367,63836339831
80834437014,79763518749,81185017386,77683405993,73296722193,92145992179,84053553367,63836339831
79922323685,79913518749,80467388596,77683405993,71774882602,91617164471,83426062508,63836339831
79263518749,79923518749,80467388596,77683405993,71774882602,91617164471,83426062508,63936339831
79763518749,80423518749,80467388596,77683405993,71774882602,91617164471,83426062508,63688704065
79763518749,79977655354,80467388596,77683405993,71774882602,91617164471,83426062508,63688704065
79913518749,79977655354,80467388596,77683405993,71834282602,91617164471,77914991159,63688704065
79923518749,79977655354,80467388596,77683405993,71834282602,91817164471,77914991159,63688704065
80423518749,79758618886,80467388596,79683405993,70715018870,91817164471,77855463467,63688704065
79977655354,79956618886,78758215908,77841842748,70815018870,91817164471,77855463467,64184954065
79977655354,80204118886,78758215908,75558110483,70815018870,91817164471,77855463467,64184954065
79977655354,80204118886,78335340434,75558110483,70815018870,91817164471,77855463467,64184954065
79758618886,83204118886,78585340434,75558110483,70815018870,91817164471,77855463467,64184954065
79956618886,83204118886,78585340434,75558110483,70815018870,91817164471,77855463467,64184954065
83204118886,81185017386,78511248465,73552545107,70815018870,91350320347,77355463467,64184954065
83204118886,81185017386,78511248465,73800045107,70815018870,91350320347,77355463467,64184954065
81185017386,80467388596,78511248465,73800045107,70815018870,91350320347,77355463467,64184954065
81185017386,80467388596,78435568842,73800045107,70815018870,95350320347,77355463467,64184954065
