open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 19:40:58,3000000000,2024-06-09 19:40:58,4000000000,4000000000,4000000000,4000000000,4000000000,4000000000,4000000000,4000000000,4000000000,4000000000,4000000000,1990000000,0,1990000000,0,1990000000,0,1990000000,0,1990000000,0,1990000000,0,1990000000,0,1990000000,0,1990000000,0,1990000000,0,0,2,0.5025125628140703,1.0,1.0,0.6931345545630174
2024-06-09 19:40:58,3000000000,2024-06-09 19:40:59,5634444000,5634444000,5634444000,5634444000,5634444000,5634444000,5634444000,5634444000,5634444000,5634444000,5634444000,2634444000,0,2634444000,0,2634444000,0,2634444000,0,2634444000,0,2634444000,0,2634444000,0,2634444000,0,2634444000,0,2634444000,0,0,3,0.3795867363284245,1.0,1.0,1.0799280716553215
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:00,6634444000,6634444000,6634444000,6634444000,6634444000,6634444000,6634444000,6634444000,6634444000,6634444000,6634444000,7524444000,0,7524444000,0,7524444000,0,7524444000,0,7524444000,0,7524444000,0,7524444000,0,7524444000,0,7524444000,0,7524444000,0,0,9,0.398700555150653,0.8817188353053063,1.0,1.7737525658217619
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:01,10573444000,10573444000,10573444000,10573444000,10573444000,10573444000,10573444000,10573444000,10573444000,10573444000,10573444000,8018444000,-3844804906,8018444000,-3844804906,8018444000,-3844804906,8018444000,-3844804906,8018444000,-3844804906,8018444000,-3844804906,8018444000,-3844804906,8018444000,-3844804906,8018444000,-3844804906,8018444000,-3844804906,-3844804906,15,0.37413742616397894,0.8273979340630178,0.9770529045286093,1.9834434941850343
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:02,7273639094,7273639094,7273639094,7273639094,7273639094,7273639094,7273639094,7273639094,7273639094,7273639094,7273639094,9398444000,-3844804906,9398444000,-3844804906,9398444000,-3844804906,9398444000,-3844804906,9398444000,-3844804906,9398444000,-3844804906,9398444000,-3844804906,9398444000,-3844804906,9398444000,-3844804906,9398444000,-3844804906,-3844804906,22,0.319201774251142,0.7437401340051609,0.9293500072990806,2.24725001706355
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:03,8753639094,4000000000,8753639094,8753639094,8753639094,8753639094,8753639094,8753639094,8753639094,8753639094,8753639094,26857703526,-20661622794,26857703526,-20661622794,26857703526,-20661622794,26857703526,-20661622794,26857703526,-20661622794,26857703526,-20661622794,26857703526,-20661622794,26857703526,-20661622794,26857703526,-20661622794,26857703526,-20661622794,-20661622794,28,0.617486134283423,0.8408857259198268,0.9371130149543524,1.611391186679191
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:04,9237397338,5634444000,9237397338,9237397338,9237397338,9237397338,9237397338,9237397338,9237397338,9237397338,9237397338,25180020132,-20703089560,27170020132,-20703089560,27170020132,-20703089560,27170020132,-20703089560,27170020132,-20703089560,27170020132,-20703089560,27170020132,-20703089560,27170020132,-20703089560,27170020132,-20703089560,27170020132,-20703089560,-20703089560,36,0.6119088631965685,0.8327404993473784,0.9278616655240688,1.6678148328146434
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:05,10413622680,6634444000,10413622680,10413622680,10413622680,10413622680,10413622680,10413622680,10413622680,10413622680,10413622680,25582268240,-21662813300,28216712240,-21662813300,28216712240,-21662813300,28216712240,-21662813300,28216712240,-21662813300,28216712240,-21662813300,28216712240,-21662813300,28216712240,-21662813300,28216712240,-21662813300,28216712240,-21662813300,-21662813300,38,0.5892102520871156,0.8018501921682426,0.9181336230687662,1.7762373569538128
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:06,6834279303,10573444000,6834279303,6834279303,6834279303,6834279303,6834279303,6834279303,6834279303,6834279303,6834279303,21000368240,-24382432937,28524812240,-24382432937,28524812240,-24382432937,28524812240,-24382432937,28524812240,-24382432937,28524812240,-24382432937,28524812240,-24382432937,28524812240,-24382432937,28524812240,-24382432937,28524812240,-24382432937,-24382432937,42,0.5828461197962297,0.7931893097712462,0.9082167490544014,1.8249470489481212
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:07,7152379303,7273639094,7152379303,7152379303,7152379303,7152379303,7152379303,7152379303,7152379303,7152379303,7152379303,20776368240,-20537628031,28794812240,-24382432937,28794812240,-24382432937,28794812240,-24382432937,28794812240,-24382432937,28794812240,-24382432937,28794812240,-24382432937,28794812240,-24382432937,28794812240,-24382432937,28794812240,-24382432937,-24382432937,45,0.5773809529796052,0.7857518202730258,0.8997006830283122,1.8639097679321335
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:08,7612379303,8753639094,4000000000,7612379303,7612379303,7612379303,7612379303,7612379303,7612379303,7612379303,7612379303,19623979101,-20537628031,29022423101,-24382432937,29022423101,-24382432937,29022423101,-24382432937,29022423101,-24382432937,29022423101,-24382432937,29022423101,-24382432937,29022423101,-24382432937,29022423101,-24382432937,29022423101,-24382432937,-24382432937,50,0.5728527929643182,0.7795894937256433,0.8926447026784389,1.8986905274624988
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:09,7839990164,9237397338,5634444000,7839990164,7839990164,7839990164,7839990164,7839990164,7839990164,7839990164,7839990164,2364719575,-3836479313,27232423101,-24498102107,29222423101,-24498102107,29222423101,-24498102107,29222423101,-24498102107,29222423101,-24498102107,29222423101,-24498102107,29222423101,-24498102107,29222423101,-24498102107,29222423101,-24498102107,-24498102107,51,0.5689321544123105,0.7742539369100349,0.8865353892954027,1.926629715369449
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:11,7824320994,6834279303,10573444000,7824320994,7824320994,7824320994,7824320994,7824320994,7824320994,7824320994,7824320994,1107333719,-2835288807,21799601959,-24498102107,29324045959,-24498102107,29324045959,-24498102107,29324045959,-24498102107,29324045959,-24498102107,29324045959,-24498102107,29324045959,-24498102107,29324045959,-24498102107,29324045959,-24498102107,-24498102107,57,0.5669605127220637,0.7715707499447519,0.8834630895143866,1.9433778896531577
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:12,7945943852,7152379303,7273639094,7945943852,7945943852,7945943852,7945943852,7945943852,7945943852,7945943852,7945943852,1697433232,-115669170,22203801472,-20653297201,30222245472,-24498102107,30222245472,-24498102107,30222245472,-24498102107,30222245472,-24498102107,30222245472,-24498102107,30222245472,-24498102107,30222245472,-24498102107,30222245472,-24498102107,-24498102107,74,0.5501105517590709,0.7486398107963854,0.857206730850022,2.073452666721957
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:13,8724243365,7612379303,8753639094,8724243365,8724243365,8724243365,8724243365,8724243365,8724243365,8724243365,8724243365,1470933232,-3798511410,20867301472,-24336139441,30265745472,-28180944347,30265745472,-28180944347,30265745472,-28180944347,30265745472,-28180944347,30265745472,-28180944347,30265745472,-28180944347,30265745472,-28180944347,30265745472,-28180944347,-28180944347,83,0.5493198952386934,0.7475638144426935,0.8559746946913067,2.0833921544781373
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:14,5094801125,7839990164,9237397338,5094801125,5094801125,5094801125,5094801125,5094801125,5094801125,5094801125,5094801125,1328822371,-3798511410,3493541946,-7519321553,30351245472,-28180944347,30351245472,-28180944347,30351245472,-28180944347,30351245472,-28180944347,30351245472,-28180944347,30351245472,-28180944347,30351245472,-28180944347,30351245472,-28180944347,-28180944347,88,0.5477724512932304,0.7454579138399055,0.8535633987046684,2.100747701805161
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:15,5470301125,7839990164,10413622680,5470301125,5470301125,5470301125,5470301125,5470301125,5470301125,5470301125,5470301125,1438822371,-3682842240,3491225340,-7477854787,30661245472,-28180944347,30661245472,-28180944347,30661245472,-28180944347,30661245472,-28180944347,30661245472,-28180944347,30661245472,-28180944347,30661245472,-28180944347,30661245472,-28180944347,-28180944347,90,0.5422342072562759,0.7379209743016404,0.844933460503362,2.1374575336607533
2024-06-09 19:40:58,3000000000,2024-06-09 19:41:16,5490301125,7824320994,6834279303,5490301125,5490301125,5490301125,5490301125,5490301125,5490301125,5490301125,5490301125,1488822371,-3682946816,2494533232,-6518235623,30711245472,-28181048923,30711245472,-28181048923,30711245472,-28181048923,30711245472,-28181048923,30711245472,-28181048923,30711245472,-28181048923,30711245472,-28181048923,30711245472,-28181048923,-28181048923,92,0.5413514130241914,0.7367195886805747,0.8435578512639488,2.1468718239116167
