token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
8753639094,7612379303,5930307087,7307622668,8487460965,11934391872,3680465551,5993592570
9237397338,7839990164,6329048036,7467622668,8487460965,11934391872,3680465551,5993592570
10413622680,7839990164,6329048036,7147280795,9487460965,11934391872,3680465551,5993592570
6834279303,7824320994,6389248036,6866118756,9486471175,12033391872,3680465551,5993592570
7152379303,7945943852,6399194600,6626358104,9486471175,12033391872,3680465551,5993592570
7612379303,8724243365,6399141156,6626358104,9486471175,12033391872,3665190028,5993592570
7839990164,5094801125,6399241156,6826358104,8080256810,12033391872,3665190028,5993592570
7839990164,5470301125,6449307801,6799725044,8080256810,12033391872,3665190028,5993592570
7824320994,5490301125,6449253521,6799725044,8080256810,12033391872,3665190028,5993592570
7945943852,5490301125,6449699241,6799725044,8080256810,12033391872,3665190028,5993592570
8724243365,5490301125,6450299241,7658657317,8080256810,10999792465,3665190028,5993592570
5094801125,5540196549,6450136358,7658657317,8080256810,10999792465,3665190028,5993592570
5490301125,5570196549,6450082073,7658657317,8080256810,10999792465,3665190028,5993592570
5490301125,5710796549,6431668270,7658657317,8080256810,10775168650,3665190028,5993592570
5490301125,5621981353,6431614297,7404444582,8060255875,11177168650,3815190028,5993592570
5540196549,5570508184,6431614297,7404444582,8476929271,11477168650,3815190028,5993592570
5540196549,5669457854,6689056093,7371059751,8476929271,11777168650,3815190028,5993592570
5570196549,5608507087,6789339315,7330543075,8476929271,11777168650,3815190028,5993592570
5570508184,6329048036,6789539315,7330311482,8476929271,12177168650,3815190028,5993592570
5608507087,6389248036,6989639315,7340072917,8476929271,12577168650,3815190028,5993592570
5919907087,6399194600,6989639315,7340072917,8724429271,12577168650,3815190028,5993592570
5930307087,6399141156,6989639315,7340072917,8724429271,12577168650,3815190028,5993592570
6329048036,6399241156,7189639315,7340072917,8724429271,12577168650,3815190028,5993592570
6329048036,6449307801,6987437650,7340072917,8911560133,12577168650,3815190028,5993592570
6389248036,6449253521,7307622668,7340072917,8911560133,12577168650,3815190028,5993592570
6399194600,6449699241,7307622668,7340072917,8911560133,12577168650,3815190028,5993592570
6399141156,6450299241,7307622668,7340072917,8911560133,12577168650,3815190028,5993592570
6399241156,6450136358,7467622668,7520157229,8911560133,12577168650,3815190028,5993592570
6449253521,6450082073,6866118756,7697010610,9219040338,12577168650,3815190028,5993592570
6449699241,6431668270,6626358104,7697010610,9219040338,12577168650,3815190028,5993592570
6450299241,6431614297,6626358104,7697010610,9219040338,12312539095,3815190028,5993592570
6450136358,6431614297,6826358104,7697010610,9219040338,12312539095,3815190028,5993592570
6450082073,6689056093,6799725044,7697010610,9219040338,12312539095,3815190028,5993592570
6450082073,6789339315,6799725044,7697010610,9219040338,12312539095,3815190028,5993592570
6431668270,6789339315,6799725044,7700174069,9219040338,12562539095,3815190028,5993592570
6431614297,6789339315,7658657317,7700174069,9219040338,12562539095,3885190028,5993592570
6431614297,6789539315,7658657317,7700174069,8983393289,12562539095,3885190028,5993592570
6689056093,6989639315,7658657317,7700174069,8983393289,12562539095,3885190028,5993592570
6789339315,6989639315,7658657317,7700174069,8983393289,12190020905,3885190028,5993592570
6789339315,6989639315,7404444582,7700174069,8983393289,12190020905,3885190028,5993592570
6989639315,6987437650,7371059751,7700174069,8983393289,13433821323,3885190028,5993592570
6989639315,7307622668,7330543075,7481484534,8983393289,13433821323,3885190028,5993592570
7189639315,7467622668,7330311482,7681484534,8983393289,13433821323,3885190028,5993592570
6987437650,7147280795,7330072917,7681484534,9783393289,13199819758,3885190028,5993592570
7467622668,6826358104,7340072917,7650489884,11499541445,13199819758,3885190028,5993592570
7147280795,6799725044,7340072917,7650489884,11499541445,11473587042,3885190028,5993592570
6866118756,6799725044,7340072917,7660489884,11499541445,11473587042,3885190028,5993592570
6826358104,7658657317,7520157229,7749374857,11369219944,11473587042,3885190028,5993592570
6799725044,7658657317,7697010610,7749374857,11369219944,11473587042,3885190028,5993592570
6799725044,7658657317,7697010610,7749374857,11369219944,11473587042,3885190028,5993592570
6799725044,7658657317,7697010610,7749374857,11369219944,11473587042,3885190028,5993592570
7658657317,7404444582,7697010610,7455799639,10562792485,11478587042,3885190028,5993592570
7658657317,7371059751,7697010610,7455799639,10562792485,11478587042,3872093995,5993592570
7404444582,7330311482,7700174069,7455799639,9083402152,11686815372,3872093995,5993592570
7330311482,7340072917,7700174069,7505799639,9083402152,11312301430,3872093995,5921550309
7330072917,7340072917,7700174069,7490069730,9469607511,11312301430,3872093995,5921550309
7340072917,7340072917,7481484534,7490069730,10265350181,11312301430,3872093995,5921550309
7340072917,7340072917,7481484534,7329299843,10265350181,10865018180,3872093995,5921550309
7340072917,7697010610,7681484534,7329299843,10226035605,11165018180,3872093995,5921550309
7340072917,7697010610,7650489884,7329299843,10226035605,11514018180,3872093995,5921550309
7697010610,7700174069,7749374857,7540192903,11199274013,11525501819,4122093995,5921550309
7697010610,7700174069,7749374857,7659992903,11199274013,11525501819,4122093995,5921550309
7700174069,7481484534,7455799639,6824906218,10357996792,11525501819,4122093995,5921550309
7650489884,7660489884,7490069730,5915972331,9839578418,11525501819,4122093995,5921550309
7650489884,7749374857,7329299843,5872402953,9877662292,10631931686,4122093995,5921550309
7660489884,7749374857,7329299843,5724853809,10377662292,10661931686,4122093995,5921550309
7749374857,7455799639,7320192903,5671138549,10377662292,10760931686,4202093995,5921550309
7455799639,7455799639,7540192903,5672638549,10377662292,10689090322,4202093995,5921550309
7455799639,7505799639,6824906218,5672638549,10377662292,10689090322,4272093995,5921550309
7455799639,7505799639,6824906218,5672638549,10377662292,10689090322,4272093995,5921550309
7490069730,7329299843,5915972331,5920138549,10140831165,11059460908,4255437948,5921550309
7329299843,7320192903,5915972331,6590530542,9973525941,11000066670,4255437948,5921550309
7329299843,7540192903,5915972331,6590530542,9973525941,10837094344,4314987948,5921550309
7540192903,6824906218,5671138549,8146149311,11945765374,10837094344,4314987948,5921550309
6824906218,6824906218,5671138549,8146149311,11945765374,10837094344,4314987948,5921550309
6824906218,6824906218,5672638549,8146149311,11888602478,9027516703,4562487948,5921550309
6824906218,5915972331,5672638549,8228966467,12043784563,9027516703,4562487948,5921550309
5915972331,5724853809,5920138549,8391490791,10503248203,9013981232,4562487948,5921550309
5671138549,5672638549,6590530542,8361842490,10653248203,9112981232,4782487948,5921550309
5671138549,5672638549,8147374791,8358604616,10653248203,9412981232,4782487948,5921550309
5671138549,5672638549,8147374791,8358604616,10653248203,9412981232,4782487948,5921550309
5672638549,5920138549,8146149311,8358604616,10834846964,9394377011,4782487948,5921550309
