open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:16,12000000000,12000000000,12000000000,12000000000,12000000000,12000000000,12000000000,12000000000,12000000000,12000000000,12000000000,21400000000,0,21400000000,0,21400000000,0,21400000000,0,21400000000,0,21400000000,0,21400000000,0,21400000000,0,21400000000,0,21400000000,0,0,4,0.4205607476635514,1.0,1.0,1.2216792016931128
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:17,24994000000,24994000000,24994000000,24994000000,24994000000,24994000000,24994000000,24994000000,24994000000,24994000000,24994000000,21995100000,0,21995100000,0,21995100000,0,21995100000,0,21995100000,0,21995100000,0,21995100000,0,21995100000,0,21995100000,0,21995100000,0,0,7,0.40918204509186135,0.9999499888611554,0.9999999999999999,1.3133600986470422
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:18,24996100000,24996100000,24996100000,24996100000,24996100000,24996100000,24996100000,24996100000,24996100000,24996100000,24996100000,21997400000,0,21997400000,0,21997400000,0,21997400000,0,21997400000,0,21997400000,0,21997400000,0,21997400000,0,21997400000,0,21997400000,0,0,13,0.4091392619127715,0.999845436278833,0.9999863620246029,1.3144356819971672
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:19,24997500000,24997500000,24997500000,24997500000,24997500000,24997500000,24997500000,24997500000,24997500000,24997500000,24997500000,27436709228,-5471293882,27436709228,-5471293882,27436709228,-5471293882,27436709228,-5471293882,27436709228,-5471293882,27436709228,-5471293882,27436709228,-5471293882,27436709228,-5471293882,27436709228,-5471293882,27436709228,-5471293882,-5471293882,23,0.3280276772702473,0.9125915582633881,0.9999198154566672,1.7160558198815936
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:20,26965415346,26965415346,26965415346,26965415346,26965415346,26965415346,26965415346,26965415346,26965415346,26965415346,26965415346,30036909228,-5471293882,30036909228,-5471293882,30036909228,-5471293882,30036909228,-5471293882,30036909228,-5471293882,30036909228,-5471293882,30036909228,-5471293882,30036909228,-5471293882,30036909228,-5471293882,30036909228,-5471293882,-5471293882,28,0.29963136125904466,0.8502375871680348,0.996524276209395,1.9178588918208428
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:21,27565715346,12000000000,27565715346,27565715346,27565715346,27565715346,27565715346,27565715346,27565715346,27565715346,27565715346,31037009228,-5471293882,31037009228,-5471293882,31037009228,-5471293882,31037009228,-5471293882,31037009228,-5471293882,31037009228,-5471293882,31037009228,-5471293882,31037009228,-5471293882,31037009228,-5471293882,31037009228,-5471293882,-5471293882,30,0.2899763934690157,0.8228405333900687,0.9837452121660981,1.9984789431993764
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:22,28565815346,24994000000,28565815346,28565815346,28565815346,28565815346,28565815346,28565815346,28565815346,28565815346,28565815346,11186909228,-5471293882,32586909228,-5471293882,32586909228,-5471293882,32586909228,-5471293882,32586909228,-5471293882,32586909228,-5471293882,32586909228,-5471293882,32586909228,-5471293882,32586909228,-5471293882,32586909228,-5471293882,-5471293882,40,0.2761845235775485,0.7837045560017786,0.9522998640612289,2.1309579138844
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:23,30115715346,24996100000,30115715346,30115715346,30115715346,30115715346,30115715346,30115715346,30115715346,30115715346,30115715346,10592609228,-5525287495,32587709228,-5525287495,32587709228,-5525287495,32587709228,-5525287495,32587709228,-5525287495,32587709228,-5525287495,32587709228,-5525287495,32587709228,-5525287495,32587709228,-5525287495,32587709228,-5525287495,-5525287495,43,0.2761777434870145,0.783685316734593,0.9522764859254439,2.1312128350221844
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:24,30062521733,24997500000,30062521733,30062521733,30062521733,30062521733,30062521733,30062521733,30062521733,30062521733,30062521733,10590409228,-5525287495,32587809228,-5525287495,32587809228,-5525287495,32587809228,-5525287495,32587809228,-5525287495,32587809228,-5525287495,32587809228,-5525287495,32587809228,-5525287495,32587809228,-5525287495,32587809228,-5525287495,-5525287495,44,0.27617689599910406,0.7836829118926127,0.952273563739177,2.1312483178132804
2024-06-09 09:38:16,3000000000,2024-06-09 09:38:25,30062621733,26965415346,30062621733,30062621733,30062621733,30062621733,30062621733,30062621733,30062621733,30062621733,30062621733,5151400000,-53993613,32588109228,-5525287495,32588109228,-5525287495,32588109228,-5525287495,32588109228,-5525287495,32588109228,-5525287495,32588109228,-5525287495,32588109228,-5525287495,32588109228,-5525287495,32588109228,-5525287495,-5525287495,46,0.27617435356658,0.7836756974552264,0.9522647972879809,2.1313505109481516
