token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
197700019825615,202120605222838,325485729812417,312008380226755,425164189081026,394550336995205,834082152479066,878399308388312
195249630779660,194983923818383,325484445893536,291580789697959,425164189081026,394550336995205,834082152479066,878399308388312
195249630779660,235065091412517,322041847272823,291580789697959,425164189081026,394550336995205,834082152479066,878399308388312
202120605222838,249335849211734,325244724624927,291580789697959,425164189081026,394550336995205,834082152479066,878399308388312
202120605222838,238687024697885,325244724624927,310076392418835,425195996932004,394624623614592,834082152479066,878399308388312
202120605222838,239321430731892,322071133149003,309496477497611,425195996932004,394624623614592,834082152479066,878399308388312
194983923818383,239321430731892,332854449338962,277218640084915,425492744914025,394624623614592,834082152479066,878399308388312
249335849211734,256299867256556,332993597435947,292450413016193,425492744914025,394624623614592,834082152479066,878399308388312
239321430731892,302045818871287,320554176374667,290480841875749,379949124571471,398506437896946,834082152479066,878399308388312
251469634777160,302045818871287,321508362763903,290226367836823,380540007229976,398506437896946,834082152479066,878399308388312
256299867256556,300668599132496,321508362763903,290226367836823,384823638862907,398506437896946,834082152479066,878399308388312
279936016663818,315967286719453,321508362763903,269219902410355,384823638862907,399007551024482,834082152479066,878399308388312
292364247755786,336829073577327,319020801654031,268957672809225,384823638862907,399754270768817,834082152479066,878399308388312
302045818871287,325219878493386,316055479316065,268741718174220,384823638862907,400201409174471,834082152479066,878399308388312
300668599132496,324268926214895,318104181781370,270499488476718,384823638862907,400201409174471,834082152479066,878399308388312
315967286719453,324268926214895,228278370906048,240699891683848,384823638862907,400201409174471,834082152479066,878399308388312
336829073577327,325485729812417,317581036499601,240699891683848,384877103054341,400201409174471,834082152479066,878399308388312
338567422259369,325484445893536,317216186320415,240699891683848,383552428124649,400201409174471,834082152479066,878399308388312
324268926214895,325244724624927,317216186320415,249372149261280,431605873467203,713608642438273,834082152479066,878399308388312
324268926214895,325244724624927,317945164320415,249372149261280,431605873467203,716537196278199,834082152479066,878399308388312
325485729812417,322071133149003,317945164320415,248218223481471,431605873467203,716537196278199,834082152479066,878399308388312
325484445893536,332854449338962,316122417494246,245790031051989,431605873467203,716537196278199,834082152479066,878399308388312
