token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
100765600000,100787600000,100788600000,103353033856,14882,14882,14882,14882
100785900000,100788300000,100788600000,103353033856,14882,14882,14882,14882
100786100000,100788300000,100788600000,103353033856,14882,14882,14882,14882
100787000000,100788300000,100788500497,103353033856,14882,14882,14882,14882
100787600000,100788300000,100788500497,103353033856,14882,14882,14882,14882
100787600000,100788300000,100788201862,103353033856,14882,14882,14882,14882
100788300000,100788400000,100787903170,103353033856,14882,14882,14882,14882
100788300000,100788400000,100787803626,103353908317,14882,14882,14882,14882
100788300000,100788400000,100787604624,103353908317,14882,14882,14882,14882
100788300000,100788400000,100787405578,103353908317,14882,14882,14882,14882
100788400000,100788600000,100787405578,103353908317,14882,14882,14882,14882
100788600000,100788600000,100822237005,102662140907,14882,14882,14882,14882
100788600000,100788600000,101522237005,104262140907,14882,14882,14882,14882
100788600000,100788500497,102122136006,104262140907,14882,14882,14882,14882
100787604624,100792405578,103353033856,104078490241,14882,14882,14882,14882
100787405578,100792336557,103353033856,104078490241,14882,14882,14882,14882
100787405578,100822237005,103353033856,104078490241,14882,14882,14882,14882
100787405578,100822237005,103353908317,104228490241,14882,14882,14882,14882
100792405578,100822237005,103353908317,104228490241,14882,14882,14882,14882
100792405578,100822237005,103353908317,104228490241,14882,14882,14882,14882
100822237005,102122136006,102632140907,104278490241,14882,14882,14882,14882
100822237005,102153033856,102632140907,104278490241,14882,14882,14882,14882
101522237005,102153033856,102662140907,104278490241,14882,14882,14882,14882
102153033856,103353033856,104262140907,104278490241,14882,14882,14882,14882
102653033856,103353033856,104262140907,104278490241,14882,14882,14882,14882
102653033856,103353033856,104282140907,103765187014,14882,14882,14882,14882
103353033856,103353033856,104302140907,103765187014,14882,14882,14882,14882
103353033856,103353908317,103979490241,103765187014,14882,14882,14882,14882
103353033856,103353908317,104078490241,103765187014,14882,14882,14882,14882
102632140907,103662140907,104228490241,103755535034,14882,14882,14882,14882
103662140907,104262140907,104278490241,103856341998,14882,14882,14882,14882
104262140907,103979490241,104278490241,105306341998,14882,14882,14882,14882
104262140907,103979490241,104278490241,105306341998,14882,14882,14882,14882
103979490241,104078490241,104278490241,105405341998,14882,14882,14882,14882
104078490241,104078490241,103765187014,105385021033,14882,14882,14882,14882
104078490241,104078490241,103765187014,105385021033,14882,14882,14882,14882
104078490241,104078490241,103765187014,104676120755,14882,14882,14882,14882
104078490241,104228490241,103765187014,104524949291,14882,14882,14882,14882
104078490241,104228490241,103765187014,104524949291,14882,14882,14882,14882
104278490241,104278490241,103755535034,104428083145,14882,14882,14882,14882
104278490241,104278490241,103856341998,104428083145,14882,14882,14882,14882
103765187014,103864187014,105385021033,105275583145,14882,14882,14882,14882
103755535034,103856341998,104524949291,105095607775,14882,14882,14882,14882
104455535034,105306341998,104428083145,105095607775,14882,14882,14882,14882
105306341998,105405341998,104428083145,104405046666,14882,14882,14882,14882
105306341998,105405341998,104428083145,104555046666,14882,14882,14882,14882
105405341998,105385021033,104428083145,104555046666,14882,14882,14882,14882
105385021033,104524949291,104725583145,104555046666,14882,14882,14882,14882
104524949291,104428083145,104725583145,105454546666,14882,14882,14882,14882
104524949291,104428083145,104921197280,105454546666,14882,14882,14882,14882
104524949291,104428083145,104921197280,105454546666,14882,14882,14882,14882
104428083145,104428083145,105095607775,105469546666,14882,14882,14882,14882
104725583145,104921197280,104555046666,104278932300,14882,14882,14882,14882
104725583145,104921197280,104555046666,104278932300,14882,14882,14882,14882
104921197280,105095607775,105454546666,14882,14882,14882,14882,14882
104921197280,105095607775,105454546666,14882,14882,14882,14882,14882
105351076693,104555046666,105454546666,14882,14882,14882,14882,14882
104555046666,104555046666,105469546666,14882,14882,14882,14882,14882
104555046666,104555046666,105469546666,14882,14882,14882,14882,14882
104555046666,104954546666,104770015922,14882,14882,14882,14882,14882
105454546666,105454546666,104278932300,14882,14882,14882,14882,14882
105454546666,105454546666,104278932300,14882,14882,14882,14882,14882
105454546666,105469546666,14882,14882,14882,14882,14882,14882
105469546666,104770015922,14882,14882,14882,14882,14882,14882
104278932300,104278932300,14882,14882,14882,14882,14882,14882
104278932300,104278932300,14882,14882,14882,14882,14882,14882
104278932300,14882,14882,14882,14882,14882,14882,14882
14882,14882,14882,14882,14882,14882,14882,14882
14882,14882,14882,14882,14882,14882,14882,14882
