token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
70853902151,74393752082,194586602971,177749866300,220325138218,63516205924,62619490544,8838
70853902151,74393852082,200479588924,177749866300,220335138218,63516205924,62619490544,8838
73695581233,87697745035,241858486235,176869575592,217692195073,63516205924,62619490544,8838
74393652082,95921808743,246555469113,176869575592,211375030167,63516205924,62619490544,8838
74393752082,95921808743,256627669161,177752829232,211375030167,63516205924,62619490544,8838
87697745035,112814341788,238831414409,217847739223,210186397915,63516205924,62619490544,8838
95921808743,112814341788,240771892499,217847739223,210186397915,63516205924,62619490544,8838
95921808743,112814341788,247268671296,216107701671,210186397915,63516205924,62619490544,8838
102483313948,121979637791,250292468433,221820417046,209134889162,63516205924,62619490544,8838
112814341788,135878705175,211758256018,221919417046,199447762067,63516205924,62619490544,8838
112814341788,154733148690,230336893448,214077698616,199447762067,63516205924,62619490544,8838
112814341788,160909922663,230336893448,214077698616,198433349879,63516205924,62619490544,8838
121979637791,182204769134,240608410718,208087372125,199037918122,63516205924,62619490544,8838
135878705175,182204769134,237882805810,202290917822,194841637365,63516205924,62619490544,8838
182204769134,200479588924,219901889800,197135876438,215593877585,63516205924,62619490544,8838
182204769134,215139820007,203327655906,189437033329,220699098179,63516205924,62619490544,8838
194586602971,241858486235,192683278061,194797504516,229269776715,63516205924,62619490544,8838
194586602971,246555469113,192983278061,207103304760,238141926770,63516205924,62619490544,8838
194586602971,256627669161,189211403132,210989301569,241271080964,63516205924,62619490544,8838
200479588924,224631456370,189211403132,225491010767,242129738626,63516205924,62619490544,8838
241858486235,238831414409,178498467495,232954207144,233179321716,63516205924,62619490544,8838
224631456370,250292468433,177749866300,254799155579,246483293467,63516205924,62619490544,8838
238831414409,211758256018,177749866300,260160544963,246380880737,63516205924,62619490544,8838
238831414409,230336893448,176869575592,260160544963,231433416539,63516205924,62619490544,8838
240771892499,230336893448,176869575592,260160544963,231433416539,63516205924,62619490544,8838
247268671296,239082554211,177752829232,259641026001,231256917980,63516205924,62619490544,8838
250292468433,240608410718,201897664666,271039960162,228970458541,63516205924,62619490544,8838
211758256018,237882805810,209172485916,297230607504,228970458541,62775792686,62619490544,8838
230336893448,219901889800,217847739223,285648437426,224008976287,62775792686,62619490544,8838
239082554211,219901889800,216107701671,298543702055,219840040335,62775792686,62619490544,8838
240608410718,219901889800,221820417046,298543702055,212689259766,62775792686,62619490544,8838
237882805810,203327655906,221919417046,298543702055,205272395580,62775792686,62619490544,8838
219901889800,192683278061,214077698616,298543702055,205272395580,62775792686,62619490544,8838
219901889800,189211403132,214177698616,297654962949,158652865298,62775792686,62619490544,8838
219901889800,189211403132,208087372125,297654962949,158652865298,62775792686,62619490544,8838
203327655906,178300467495,202290917822,292975748386,153907065845,62775792686,62619490544,8838
192683278061,178498467495,202290917822,293474774128,152507595225,62775792686,62619490544,8838
178300467495,177749866300,189437033329,296575328847,130495386624,62775792686,62619490544,8838
178498467495,176869575592,194797504516,296575328847,129755334370,62775792686,62619490544,8838
177749866300,176869575592,207103304760,296585006192,126361126987,62775792686,62619490544,8838
177749866300,177752829232,210989301569,291789370605,124092999911,62775792686,62619490544,8838
177749866300,209172485916,241790103453,303282368455,120234498058,62775792686,62619490544,8838
176869575592,217847739223,232954207144,303282368455,118089835120,62775792686,62619490544,8838
176869575592,217847739223,254799155579,303282368455,118089835120,62775792686,62619490544,8838
217847739223,214077698616,260160544963,256987224889,110891339058,62734941900,62619490544,8838
216107701671,214177698616,259641026001,263487090931,106766542922,62734941900,62619490544,8838
221820417046,208087372125,271039960162,281182827385,106390465320,62734941900,62619490544,8838
221919417046,202290917822,297230607504,296089931468,106009854075,62734941900,62619490544,8838
214077698616,202290917822,285942768378,298855125472,106009854075,62734941900,62619490544,8838
214177698616,197135876438,298543702055,253893134503,105811775438,62734941900,62619490544,8838
208087372125,197135876438,298543702055,273087127356,92966479023,62734941900,62619490544,8838
202290917822,189437033329,298543702055,264417790721,91314644844,62734941900,62619490544,8838
202290917822,194797504516,298543702055,271448315885,90116066930,62734941900,62619490544,8838
197135876438,210989301569,297654962949,271448315885,86794569770,62723654605,62619490544,8838
197135876438,225491010767,297654962949,271448315885,85572209034,62723654605,62619490544,8838
189437033329,241790103453,292975748386,271448315885,85572209034,62723654605,62619490544,8838
207103304760,254799155579,296536458743,272409750158,85572209034,62723654605,62619490544,8838
241790103453,260160544963,296575328847,298209035955,85572209034,62723654605,62619490544,8838
232954207144,260160544963,296575328847,298308035955,85572209034,62723654605,62619490544,8838
254799155579,260160544963,296585006192,298308035955,84678053061,62723654605,62619490544,8838
254799155579,259641026001,291789370605,301689204507,84544606873,62709233112,62619490544,8838
254799155579,271039960162,291789370605,316642542601,83983415113,62709233112,62619490544,8838
260160544963,297230607504,303282368455,335221157725,79583099295,62709233112,62619490544,8838
260160544963,285942768378,303282368455,335221157725,78284238527,62709233112,62619490544,8838
260160544963,285648437426,303282368455,335320157725,77648721106,62709233112,62619490544,8838
297230607504,298543702055,307216313128,349940321137,74783589533,62709233112,62619490544,8838
298543702055,297654962949,263487090931,342343602183,74678798692,62709233112,62619490544,8838
298543702055,297654962949,281182827385,347001360649,74396046220,62709233112,62619490544,8838
298543702055,292975748386,296089931468,359196858146,74396046220,62709233112,62619490544,8838
298543702055,293474774128,298855125472,365206229074,74317825331,62709233112,62619490544,8838
298543702055,296536458743,293842229914,374478610370,74241457235,62709233112,62619490544,8838
297654962949,296476328847,253893134503,374478610370,74241457235,62709233112,62619490544,8838
296476328847,291789370605,271448315885,399239116995,73065485326,62709233112,62619490544,8838
