token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
61021600000,61022500000,61876860448,62876528006,62921246655,62764558542,62284036913,62245225281
61021600000,61122500000,61876860448,62876528006,62921246655,62764558542,62284036913,62245225281
61021600000,66773777256,61876860448,62876528006,62921246655,62764558542,62284036913,62245225281
61022300000,61336160448,61876960448,62876528006,62921246655,62764558542,62284036913,62245225281
61336160933,61856560448,61877056363,63496528006,62921246655,62764558542,62284036913,62245225281
61336160448,61856560448,61878075036,63496528006,62921246655,62764558542,62284036913,62245225281
61336160448,61856560448,61878075036,63496528006,62921246655,62764558542,62284036913,62245225281
61356360448,61876860448,61878070507,63496528006,62921246655,62764558542,62284036913,62245225281
61856560448,61876860448,61878230507,63496560380,62921246655,62764558542,62284036913,62245225281
61856560448,61876860448,61878129310,63496350846,62921246655,62764558542,62284036913,62245225281
61856560448,61876860448,61877925781,63496350846,62921246655,62764558542,62284036913,62245225281
61876860448,61876860448,61877925781,63546225123,62921246655,62764558542,62284036913,62245225281
61876860448,61876860448,61877724950,63546225123,62921246655,62764558542,62284036913,62245225281
61876860448,61876860448,62876428006,63546225123,62921246655,62764558542,62284036913,62245225281
61878075036,61877925781,62876528006,63546123495,62921246655,62764558542,62284036913,62245225281
61878075036,61877925781,62876528006,63546123495,62921246655,62764558542,62284036913,62245225281
61878070507,61877925781,63496528006,63546123495,62921246655,62764558542,62284036913,62245225281
61878230507,61877724950,63496528006,63546123495,62921246655,62764558542,62284036913,62245225281
61877925781,62876428006,63496528006,63546123495,62921246655,62764558542,62284036913,62245225281
61877925781,62876428006,63496528006,63546123495,62921246655,62764558542,62284036913,62245225281
61877724950,62876528006,63496560380,63546323495,62921246655,62764558542,62284036913,62245225281
61876428006,62876528006,63496350846,63546323495,62921246655,62764558542,62284036913,62245225281
62876428006,62876528006,63496350846,63546323495,62921246655,62764558542,62284036913,62245225281
62876528006,62876528006,63546225123,63285399951,62961246655,62764558542,62284036913,62245225281
