token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
30102400000,30133300000,30385000000,34931001060,91567595053,94556467704,130986875674,125491979369
30102400000,30134400000,30385000000,34931001060,91876337219,95838067704,130986875674,127159614596
30102400000,30134400000,30385000000,34931001060,93135737219,93513521927,130986875674,127173064527
30103000000,30134400000,30385000000,35183933661,93135737219,93203402244,130986875674,125515748948
30134400000,30134500000,30385000000,37416297968,86855228762,89010089022,126298812841,124881358541
30134500000,30134500000,30395200000,37870929663,86190926424,90376089022,121462612727,123507319954
30134500000,30134500000,30395200000,37242949405,87171126424,90376089022,120884265839,123507319954
30134500000,30385000000,30395200000,38176490501,85692646800,88538177890,128565846951,122444984637
30385000000,30385000000,33108855767,42031780786,84814036857,88875993490,124517670819,126569285785
30395200000,30395200000,38313147820,43482546560,89632624828,87809622273,116933507851,127838906450
30395200000,30435200000,37870929663,43647372000,90804402263,90680997862,121202657072,127838906450
33908855767,34931001060,38828780786,45459235981,85285885557,89213562714,118712367842,130254500635
35861752186,34931001060,38828780786,45459235981,85285885557,89145633921,118712367842,130105587795
34552186111,35183933661,38828780786,44834544331,85285885557,92173820637,118904737552,132125687794
33958071009,35590533488,42031780786,44834544331,85728227584,95575620637,115943366390,132125687794
34931001060,36518517517,42916492888,44834544331,88249630835,96519108539,115943366390,132125687794
34931001060,38117394414,41591488732,44834544331,88249630835,92864176622,115943366390,132125687794
34931001060,37416297968,41027163045,44834544331,89936723230,93488607974,115955843683,132125687794
35183933661,37416297968,41027163045,44834544331,87663693113,93488607974,115867953273,130624944982
35590533488,38313147820,41027163045,44834544331,87663693113,93488607974,115867953273,130336739008
36518517517,37870929663,46037022149,44834544331,87663693113,93488607974,115867953273,130336739008
37416297968,37242949405,41493594545,46043208399,87663693113,97179627087,115267100007,130336739008
38313147820,38176490501,41493594545,46894931921,84322307695,97179627087,113832980831,133981162036
37870929663,38176490501,42398337064,46894931921,84322307695,97179627087,113832980831,133981162036
37242949405,38426777298,43482546560,49294931921,84322307695,99053227087,113832980831,133981162036
37242949405,38426777298,43482546560,55477527742,84322307695,98207176326,113832980831,133981162036
38176490501,39400894867,43482546560,55477527742,84322307695,98455134863,112506146987,133981162036
38176490501,38828780786,43647372000,55477527742,84322307695,98455134863,116996550642,133981162036
38426777298,38828780786,44905232744,55083657204,84454407695,98455134863,116996550642,133981162036
39400894867,42031780786,44265823118,55155921410,94475469253,99148042546,117211153501,133981162036
38828780786,41591488732,45042764465,58204693748,97436969253,101697842546,111945613767,133981162036
38828780786,41027163045,44380481122,58144586945,90078801171,104581352538,111930252617,133981162036
42916492888,46037022149,45459235981,58144586945,90078801171,103831724992,112002484449,133515151935
41027163045,41493594545,44834544331,60268516679,89703302185,103831724992,116631894467,133515151935
46037022149,42398337064,44834544331,62517337663,88876152731,101840865506,116631894467,133515151935
46037022149,43482546560,44834544331,64493337663,91917852731,102601906967,116631894467,132868049620
46037022149,43482546560,44834544331,63455108412,91917852731,105165406967,116631894467,134189577580
42398337064,43647372000,44834544331,63053600582,95160981402,110771380556,120795194467,134189577580
43482546560,44905232744,46043208399,65758662871,95720619054,111827206060,113880936579,134871691792
43647372000,44071250138,46894931921,69010540773,92022469128,113028628586,115769036579,136330628820
44905232744,45042764465,49294931921,66690676525,92022469128,113028628586,113031837660,137355184028
44071250138,45459235981,55477527742,65162802259,92217115439,106793097653,109902622440,138052084028
45042764465,45459235981,55083657204,65885502259,92968724977,106793097653,109902622440,138006320729
45459235981,44834544331,55155921410,73139825298,92193247333,107361532393,112379792241,134103888894
45459235981,44834544331,57361525402,73139825298,90793987857,107361532393,113624888624,134103888894
45459235981,44834544331,58204693748,73139825298,90793987857,110121345249,113624888624,133019703887
44834544331,44834544331,58144586945,73139825298,90793987857,112903073396,113326429810,133019703887
44834544331,44834544331,58144586945,73139825298,89293976281,112903073396,113326429810,133019703887
44834544331,44834544331,59546016679,74293378330,90095704267,112903073396,113634239867,134748315389
55477527742,55155921410,65758662871,78722614898,89197483323,107145940118,111432551687,136777313804
55477527742,55155921410,66561240773,78722614898,90868269629,107962640118,114134251687,136777313804
55083657204,58204693748,66690676525,77563680439,90868269629,109958513884,113652566629,136777313804
55155921410,58144586945,66079579891,76821748716,90868269629,110917413883,114395666629,137089602104
58204693748,59546016679,65885502259,82527011145,91565313751,107841594740,113052014163,133466365474
58144586945,59546016679,70816025298,81866041453,91565313751,108980894740,112423311386,132983823807
58144586945,62517337663,73139825298,81866041453,91565313751,111536314149,114941706236,133276039407
59546016679,64493337663,73139825298,81866041453,93938053023,113925936083,115871806236,131699577142
59546016679,63455108412,73139825298,81866041453,97971953023,112670239583,115871806236,131699577142
64493337663,65348500582,74293378330,84778966989,97971953023,106424627631,114280788565,130584776369
63105567934,66561240773,76742281635,84164985782,99729581777,106135285978,111191230002,130584776369
63053600582,69010540773,76742281635,84164985782,96225935909,108196304428,112156530002,133143181296
65348500582,66690676525,76742281635,84164985782,96330677701,108196304428,112703894557,132683648434
66037100582,66079579891,76742281635,86084985782,99413477701,107700977991,112703894557,132417872880
65758662871,65162802259,76742281635,84004014924,99413477701,109418713981,113457825468,132417872880
66561240773,65162802259,76742281635,82878365907,99413477701,109418713981,115483298844,133920072880
69010540773,65162802259,74276392535,83922156538,99413477701,109418713981,115483298844,130872723515
66690676525,65885502259,76739292535,82342399480,100026319069,109418713981,115483298844,130447101339
66079579891,70816025298,79723576666,82342399480,100731870543,109418713981,115483298844,130609001339
65162802259,70976025298,78722614898,81944309607,100731870543,112222444233,115483298844,130609001339
65162802259,73139825298,78722614898,82044309607,100731870543,110573848703,114656543145,130890427241
65162802259,73139825298,77563680439,82394470708,100731870543,117000301941,116550939867,130890427241
65885502259,73139825298,77563680439,85437335218,100731870543,117000301941,116550939867,130890427241
70816025298,73139825298,76821748716,87337335218,100731870543,117000301941,116550939867,130890427241
70976025298,73139825298,79304948716,86401053447,100731870543,119611994806,117426420415,130890427241
73139825298,74293378330,82527011145,85194571389,97627194412,119611994806,118563794320,133380927241
73139825298,74293378330,81866041453,85194571389,97332842780,116145700896,119171885581,133380927241
73139825298,74293378330,81866041453,85194571389,100660613915,114859881649,117752090101,132231507570
73139825298,76742281635,81866041453,85194571389,96743825206,121268381649,117752090101,132231507570
76742281635,74276392535,83978966989,89166593130,97797750663,121327795491,116531294030,133535741058
76742281635,76739292535,84778966989,89166593130,97797750663,112041483375,111586876624,133535741058
76742281635,78722614898,84164985782,86284903784,98925750663,112041483375,115916532466,133771437675
77563680439,81518662696,83922156538,89414344858,98579266176,116815457744,113714470337,132855614037
77563680439,82527011145,82342399480,90189985256,98637910730,117408430664,114326583122,132855614037
76821748716,81866041453,82342399480,90189985256,98976410474,117408430664,117328404402,131878648092
79304948716,81866041453,81944309607,90012546305,98976410474,114828957815,118790378087,132828312488
81518662696,81866041453,82394470708,88745599572,99172836037,116079157815,118790378087,131679594826
81866041453,81866041453,87337335218,87366274569,99172836037,116079157815,118790378087,132805694826
81866041453,79960847996,86401053447,86348498699,99172836037,116079157815,118790378087,132805694826
81866041453,80548366989,86075204631,87091864638,100448915910,113220348035,117415375612,132805694826
81866041453,83978966989,86075204631,87091864638,100448915910,114811948035,118615875612,133306094825
81866041453,84778966989,85194571389,87091864638,100448915910,117751297637,118120053175,133306094825
81866041453,84187737176,85194571389,86612594290,100525498840,119380915834,118120053175,132733794845
83650429649,84004014924,89166593130,91318604662,105372587961,122264460307,115568709917,133981717953
84164985782,82878365907,89166593130,91485411671,106099208254,121140061152,115568709917,134034699949
84164985782,83922156538,89166593130,89899971385,106099208254,121140061152,115568709917,134034699949
84164985782,82342399480,89166593130,91412671385,104879317322,121140061152,115568709917,134034699949
86084985782,82342399480,90255003770,90662405495,101459224444,121140061152,113392601038,133385374470
84004014924,81944309607,86284903784,88602644725,102322186102,121140061152,113392601038,133590960686
82878365907,82044309607,86284903784,88762644725,103126839705,118288131481,113392601038,134259260686
82342399480,87337335218,88122711392,90219844725,99934580365,120540931481,115116823402,134259260686
81944309607,86401053447,88122711392,86039432091,99934580365,120540931481,115116823402,134259260686
82044309607,86075204631,88122711392,86039432091,97652266631,120540931481,121033506882,133939683812
82394470708,86075204631,89414344858,86039432091,98406266631,120540931481,121033506882,134098536440
85437335218,85194571389,90189985256,86039432091,97578616711,120540931481,120415759348,134098536440
86401053447,85194571389,90012546305,86039432091,97578616711,119766455730,118165827367,134098536440
86075204631,85194571389,88745599572,85703634414,97578616711,125889739700,111895395438,134098536440
86075204631,86857771389,88745599572,88157233771,97578616711,127921539700,114720895437,132874056092
85194571389,88763491766,86655074569,88157233771,97578616711,129955118198,115181415284,134116069340
85194571389,89166593130,87366274569,87933939102,98024006786,129955118198,115181415284,134116069340
85194571389,89166593130,86348498699,89543563917,97657511429,128201028091,114828493661,134116069340
85194571389,89166593130,87091864638,89543563917,97657511429,128201028091,115383535785,134116069340
88763491766,89166593130,87091864638,89941950180,93328114857,124991414223,115383535785,134116069340
89166593130,88122711392,87291550923,89290540899,92254353721,123273136767,116137360198,133421213142
89166593130,88122711392,87291550923,89290540899,92254353721,123273136767,125133599016,133421213142
90255003770,88122711392,87291550923,88879175319,92254353721,122341833260,123256099564,133421213142
