open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:13,360049000000,360049000000,360049000000,360049000000,360049000000,360049000000,360049000000,360049000000,360049000000,360049000000,360049000000,49000000,0,49000000,0,49000000,0,49000000,0,49000000,0,49000000,0,49000000,0,49000000,0,49000000,0,49000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:15,360050000000,360050000000,360050000000,360050000000,360050000000,360050000000,360050000000,360050000000,360050000000,360050000000,360050000000,70400000,0,70400000,0,70400000,0,70400000,0,70400000,0,70400000,0,70400000,0,70400000,0,70400000,0,70400000,0,0,5,0.6960227272727273,1.0,1.0,0.7027388636199152
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:16,360070900000,360070900000,360070900000,360070900000,360070900000,360070900000,360070900000,360070900000,360070900000,360070900000,360070900000,72200000,-48761262,72200000,-48761262,72200000,-48761262,72200000,-48761262,72200000,-48761262,72200000,-48761262,72200000,-48761262,72200000,-48761262,72200000,-48761262,72200000,-48761262,-48761262,19,0.6786703601108033,0.9806094182825484,0.9875346260387812,0.8627855373567985
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:17,360023638738,360023638738,360023638738,360023638738,360023638738,360023638738,360023638738,360023638738,360023638738,360023638738,360023638738,72400000,-48761262,72400000,-48761262,72400000,-48761262,72400000,-48761262,72400000,-48761262,72400000,-48761262,72400000,-48761262,72400000,-48761262,72400000,-48761262,72400000,-48761262,-48761262,20,0.6767955801104972,0.9779005524861878,0.9861878453038673,0.8794360240568049
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:18,360033638738,360049000000,360033638738,360033638738,360033638738,360033638738,360033638738,360033638738,360033638738,360033638738,360033638738,82900000,-48761262,82900000,-48761262,82900000,-48761262,82900000,-48761262,82900000,-48761262,82900000,-48761262,82900000,-48761262,82900000,-48761262,82900000,-48761262,82900000,-48761262,-48761262,22,0.5910735826296744,0.971049457177322,0.9855247285886609,1.172281078137573
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:19,360034238738,360049000000,360034238738,360034238738,360034238738,360034238738,360034238738,360034238738,360034238738,360034238738,360034238738,34700000,-48761262,83700000,-48761262,83700000,-48761262,83700000,-48761262,83700000,-48761262,83700000,-48761262,83700000,-48761262,83700000,-48761262,83700000,-48761262,83700000,-48761262,-48761262,25,0.5854241338112306,0.961768219832736,0.9820788530465949,1.223641300173583
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:20,360184938738,360050000000,360184938738,360184938738,360184938738,360184938738,360184938738,360184938738,360184938738,360184938738,360184938738,184800000,-48761262,233800000,-48761262,233800000,-48761262,233800000,-48761262,233800000,-48761262,233800000,-48761262,233800000,-48761262,233800000,-48761262,233800000,-48761262,233800000,-48761262,-48761262,27,0.6415739948674081,0.9837467921300257,0.9923011120615911,1.093875111497431
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:21,360185238738,360070900000,360185238738,360185238738,360185238738,360185238738,360185238738,360185238738,360185238738,360185238738,360185238738,163700000,-48761262,234100000,-48761262,234100000,-48761262,234100000,-48761262,234100000,-48761262,234100000,-48761262,234100000,-48761262,234100000,-48761262,234100000,-48761262,234100000,-48761262,-48761262,29,0.6407518154634771,0.9824861170439984,0.9910294745835113,1.1031041408138607
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:22,360185438738,360023638738,360185438738,360185438738,360185438738,360185438738,360185438738,360185438738,360185438738,360185438738,360185438738,360150000,0,432350000,-48761262,432350000,-48761262,432350000,-48761262,432350000,-48761262,432350000,-48761262,432350000,-48761262,432350000,-48761262,432350000,-48761262,432350000,-48761262,-48761262,33,0.4579622990632589,0.9876257661616746,0.9941020006938823,1.292039693005762
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:23,360384088738,360033638738,360049000000,360384088738,360384088738,360384088738,360384088738,360384088738,360384088738,360384088738,360384088738,361750000,0,434150000,-48761262,434150000,-48761262,434150000,-48761262,434150000,-48761262,434150000,-48761262,434150000,-48761262,434150000,-48761262,434150000,-48761262,434150000,-48761262,-48761262,36,0.45606357249798457,0.9835310376597951,0.9915927674766787,1.3176309853265202
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:24,360385488738,360034238738,360049000000,360385488738,360385488738,360385488738,360385488738,360385488738,360385488738,360385488738,360385488738,351550000,0,385450000,-48761262,434450000,-48761262,434450000,-48761262,434450000,-48761262,434450000,-48761262,434450000,-48761262,434450000,-48761262,434450000,-48761262,434450000,-48761262,-48761262,38,0.4557486477155024,0.9828518816894926,0.9909080446541604,1.322876646397037
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:32,360385788738,360385488738,360185438738,360385788738,360385788738,360385788738,360385788738,360385788738,360385788738,360385788738,360385788738,100000,0,200450000,0,434550000,-48761262,434550000,-48761262,434550000,-48761262,434550000,-48761262,434550000,-48761262,434550000,-48761262,434550000,-48761262,434550000,-48761262,-48761262,39,0.4556437694166379,0.9826257047520423,0.9906800138073869,1.324730035969951
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:35,360385888738,360385488738,360385488738,360385888738,360385888738,360385888738,360385888738,360385888738,360385888738,360385888738,360385888738,200000,0,200000,0,434650000,-48761262,434650000,-48761262,434650000,-48761262,434650000,-48761262,434650000,-48761262,434650000,-48761262,434650000,-48761262,434650000,-48761262,-48761262,40,0.45553893937650985,0.9823996318877259,0.9904520878868056,1.3265826256680158
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:37,360386388738,360385788738,360385488738,360386388738,360386388738,360386388738,360386388738,360386388738,360386388738,360386388738,360386388738,700000,0,700000,0,435150000,-48761262,435150000,-48761262,435150000,-48761262,435150000,-48761262,435150000,-48761262,435150000,-48761262,435150000,-48761262,435150000,-48761262,-48761262,41,0.4550155118924509,0.9812708261519015,0.98931402964495,1.3339843039621917
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:39,360189373904,360385788738,360385488738,360189373904,360189373904,360189373904,360189373904,360189373904,360189373904,360189373904,360189373904,600000,-197014834,700000,-197014834,435150000,-245776096,435150000,-245776096,435150000,-245776096,435150000,-245776096,435150000,-245776096,435150000,-245776096,435150000,-245776096,435150000,-245776096,-245776096,41,0.4550155118924509,0.9812708261519015,0.98931402964495,1.3339843039621917
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:42,360229373904,360386388738,360385788738,360229373904,360229373904,360229373904,360229373904,360229373904,360229373904,360229373904,360229373904,40500000,-197014834,40700000,-197014834,475150000,-245776096,475150000,-245776096,475150000,-245776096,475150000,-245776096,475150000,-245776096,475150000,-245776096,475150000,-245776096,475150000,-245776096,-245776096,42,0.4167105124697464,0.9618015363569399,0.9891613174786908,1.5105551788614755
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:44,360629373904,360189373904,360385788738,360049000000,360629373904,360629373904,360629373904,360629373904,360629373904,360629373904,360629373904,440000000,-197014834,440600000,-197014834,826150000,-245776096,875150000,-245776096,875150000,-245776096,875150000,-245776096,875150000,-245776096,875150000,-245776096,875150000,-245776096,875150000,-245776096,-245776096,43,0.45706450322801806,0.9564074730046278,0.9935439638919042,1.5095897487017476
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:46,360629274069,360189373904,360385888738,360070900000,360629274069,360629274069,360629274069,360629274069,360629274069,360629274069,360629274069,440000000,-299479,440500000,-197314313,804750000,-246075575,875150000,-246075575,875150000,-246075575,875150000,-246075575,875150000,-246075575,875150000,-246075575,875150000,-246075575,875150000,-246075575,-246075575,43,0.45706450322801806,0.9564074730046278,0.9935439638919042,1.5095897487017476
2024-06-08 18:38:13,360000000000,2024-06-08 18:38:47,360628974590,360229373904,360386388738,360023638738,360628974590,360628974590,360628974590,360628974590,360628974590,360628974590,360628974590,440000000,-399314,440500000,-197414148,802950000,-197414148,875150000,-246175410,875150000,-246175410,875150000,-246175410,875150000,-246175410,875150000,-246175410,875150000,-246175410,875150000,-246175410,-246175410,43,0.45706450322801806,0.9564074730046278,0.9935439638919042,1.5095897487017476
