token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
16102000000,16102800000,16103910492,16281401766,93837696131,113246240138,81161147767,139572
16102600000,16103400000,16103910492,16281401766,93937696131,117712540138,81161147767,139572
16102800000,16103500492,16103910492,16281401766,93599305091,116931966708,87360632878,139572
16102900000,16103800492,16103910492,16281401766,93689105091,116931966708,91525427980,139572
16103400000,16103900492,16103911777,16281401766,93689105091,116931966708,91525427980,139572
16103500492,16103900492,16153911777,16281401766,93689105091,116461410674,91525427980,139572
16103800492,16103900492,16153911777,16281401766,93689105091,116461410674,87001124661,139572
16103900492,16103900492,16153911777,16281401766,93689105091,112371359147,87102744610,139572
16103900492,16103900492,16153911777,16281401766,93689105091,113308359147,88008571524,139572
16103900492,16103900492,16153901766,16281401766,93689105091,106629036998,88008571524,139572
16103900492,16103910492,16154401766,16281401766,93689105091,109645636998,87580584101,139572
16103910492,16103910492,16241401766,19191718700,95034493285,116341168800,88287024555,139572
16153911777,16154401766,16281401766,22664213188,94024217467,112020578476,86347872458,139572
16153911777,16154401766,16281401766,20976301055,94020832045,104845970601,86347872458,139572
16166401766,16216401766,16281401766,21050437791,94889084398,101861060028,85754757608,139572
16216401766,16241401766,16281401766,21050437791,94889084398,101310764292,85754757608,139572
16216401766,16281401766,17644401766,21478937791,94889084398,101047060153,85872357608,139572
16241401766,16281401766,17644401766,21478937791,94487849523,100935392131,85872357608,139572
16281401766,16281401766,19191718700,28090499906,94779149523,100314140754,85996813981,139572
16281401766,16281401766,19191718700,28090499906,94779149523,100914340754,85996813981,139572
17644401766,19191718700,21478937791,33300971001,94978459477,101781053456,86923522043,139572
19191718700,21257713188,21924337791,32743036702,95620506236,102594707545,86804739876,139572
19191718700,22664213188,28090499906,32833854192,95461557141,103180639190,86804739876,139572
20976301055,20758461352,28090499906,32834729912,96078070345,102221935759,86938174597,139572
20976301055,21050437791,28090499906,32834729912,96078070345,102334835759,87930774597,139572
20976301055,21050437791,28090499906,32790049239,96918763735,102188961345,87930774597,139572
20758461352,21478937791,24985174450,32504027818,96823862770,102245416422,87725120341,139572
21478937791,21924337791,28900174777,32814064418,97169008912,102269698246,88358604599,139572
21478937791,21924337791,28900174777,32814064418,97169008912,102269698246,88358604599,139572
21924337791,28090499906,33300971001,52328464418,97884729420,102529647336,88295664751,139572
28090499906,28090499906,28982795622,48075685549,97559425288,103966849309,87715704824,139572
28090499906,28090499906,32743036702,48362599695,97559425288,103405840101,87427304910,139572
28900174777,33300971001,32504027818,52167057166,98319757140,103461482120,87578229811,139572
28900174777,33300971001,32504027818,52235931316,98319757140,103461482120,87578229811,139572
28783971001,28982795622,32504027818,68624483632,98319757140,103461482120,87608318189,139572
33300971001,33112495621,32814064418,68624483632,98319757140,103779142151,87608318189,139572
28982795622,32833854192,32814064418,50880041428,98516420015,105600587869,87608318189,139572
33112495621,32833854192,52328464418,55613241428,99341736742,105446977115,87608318189,139572
32833854192,32834729912,48075685549,56845775213,99341736742,105820687067,87608318189,139572
32833854192,32834729912,48075685549,55262314376,99053126244,105820687067,87608318189,139572
32833854192,32834729912,48362599695,55262314376,99611361093,105820687067,88496706243,139572
32834729912,32790049239,47731059468,55262314376,100584875292,106037673273,88822606243,139572
32790049239,32504027818,52245237100,56825754267,100244017554,105963674437,89591819853,139572
32504027818,32814064418,51991657166,71738954267,98608153219,107472518859,89591819853,139572
32814064418,52328464418,52167057166,63277097207,98608153219,107594020408,95143457578,139572
52328464418,48075685549,68624483632,59398081937,100550019316,106073366015,98483471099,139572
48075685549,47563737100,55613241428,63156967887,100795383573,106970094227,104025093104,139572
48362599695,47563737100,56845775213,70878349886,100894364986,107757348619,104025093104,139572
47731059468,52245237100,56845775213,70878349886,100894364986,107757348619,103498565941,139572
47563737100,51991657166,55262314376,72650269236,100681609718,107933279763,103003914304,139572
52245237100,51991657166,55262314376,81532266770,101809105570,108440879763,100976044260,139572
51991657166,52167057166,55262314376,80817756187,102031870120,108795559058,105724364448,139572
51991657166,67519531316,56825754267,76088577711,102340558692,109385644419,105509427752,139572
52167057166,68624483632,66840854267,74931625172,102685051921,107555067533,105509427752,139572
52167057166,68624483632,66840854267,74931625172,101504634162,107555067533,105509427752,139572
68624483632,50880041428,70102753377,86259517927,102988433057,107555067533,105509427752,139572
68624483632,57068941428,63277097207,86259517927,102879438331,107555067533,105509427752,139572
50880041428,56845775213,58397486713,90616673024,102669794909,107555067533,110604382839,139572
50880041428,56830962172,59398081937,95974913780,102669794909,107555067533,111226725420,139572
56845775213,55262314376,63156967887,99438042236,102786627854,113047059058,111189161985,139572
56845775213,55262314376,63156967887,97383940458,102997712668,113047059058,111189161985,139572
