token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
14629000000,9706430293,8808215115,9138724422,11023766812,4305573560,2103379529,86697
9605684946,8625114134,8808215115,9138724422,11023766812,4305573560,2103379529,86697
9605684946,8706114134,8808515115,9138786422,11023766812,4305573560,2103379529,86697
9702430293,8706114134,8799036294,9138786422,11023766812,4305573560,2103379529,86697
9706430293,8706114134,8799036294,9138786422,9869606030,4305573560,2103379529,86697
9706430293,8751714134,8996931397,9138786422,9869606030,4305573560,2103379529,86697
8625114134,8751714134,8927686168,9138786422,9869606030,4305573560,2103379529,86697
8706114134,8751714134,8927679595,9138786422,10869606030,4285127149,2103379529,86697
8706114134,8762014134,8927748595,9023109331,10869606030,4285127149,2103379529,86697
8751714134,8772614134,9775874101,9424109331,10869606030,4285127149,2103379529,86697
8751714134,8772614134,9137810695,9424109331,10869606030,4285127149,2103379529,86697
8772614134,8775314134,9137584967,9424109331,10869606030,4285127149,2103379529,86697
8775314134,8796215115,9137370345,9412728137,10869606030,4285127149,2103379529,86697
8775314134,8808215115,9137047617,9412728137,10869606030,4285127149,2103379529,86697
8796214134,8799036294,9138735845,9412728137,10869606030,4285127149,2103379529,86697
8808215115,8927686168,9138736325,9412728137,10869606030,4285127149,2103379529,86697
8808515115,8927582886,9138724422,9412728137,10869606030,4285127149,2103379529,86697
8799036294,8927679595,9138724422,9410386707,10869606030,4285127149,2103379529,86697
8799036294,8927748595,9138724422,9510323415,10869606030,4285127149,2103379529,86697
8996931397,8927748595,9138724422,9510323415,10869606030,4285127149,2103379529,86697
8927582886,9137810695,9138786422,9510323415,10869606030,4285127149,2103379529,86697
8927679595,9137701255,9138786422,9510323415,11283417074,4285127149,2103379529,86697
8927748595,9137584967,9138786422,9510323415,11283417074,4285127149,2103379529,86697
9775874101,9137370345,9138786422,9580323415,11280374464,4285127149,2103379529,86697
9137810695,9137370345,9138786422,9580323415,11280374464,4285127149,2103379529,86697
9137701255,9137370345,9138786422,9580323415,11280374464,4285127149,2103379529,86697
9137584967,9137370345,9023109331,9580323415,11280374464,4285127149,2103379529,86697
9137370345,9136948133,9424109331,9580323415,11280374464,4285127149,2103379529,86697
9137370345,9136948133,9424109331,9580323415,11280374464,4285127149,2103379529,86697
9137370345,9138735845,9424109331,9580323415,11280374464,4285127149,2103379529,86697
9137370345,9138735845,9424109331,9580323415,11280374464,4285127149,2103379529,86697
9136948133,9138736325,9424109331,9580923415,11280374464,4285127149,2103379529,86697
9138735845,9138724422,9412728137,9580923415,11280374464,4285127149,2103379529,86697
9138736325,9138724422,9412728137,9580923415,11280374464,4285127149,2103379529,86697
9138724422,9138786422,9412728137,9580923415,11280374464,4285127149,2103379529,86697
9138724422,9138786422,9412728137,9580923415,11280374464,4285127149,2103379529,86697
9138786422,9138786422,9412728137,9580923415,11280374464,4285127149,2103379529,86697
9138786422,9424109331,9510323415,9580714565,11074136977,4285127149,2103379529,86697
9424109331,9412728137,9580323415,9580714565,11074136977,4285127149,2103379529,86697
9424109331,9412728137,9580323415,9680714565,11074136977,4285127149,2103379529,86697
9412728137,9410386707,9580923415,9680714565,10978277612,4285127149,2103379529,86697
9510323415,9580323415,9580923415,9682969087,10978277612,4285127149,2103379529,86697
9510323415,9580323415,9580923415,9682969087,10978277612,4285127149,2103379529,86697
9580323415,9580923415,9580714565,10051707518,10809066473,4285127149,2103379529,86697
9580923415,9580923415,9680714565,10051226139,10760779932,4285127149,2103379529,86697
9580714565,9680714565,9682969087,10132725129,10770779932,3482588164,2103379529,86697
9580714565,9680714565,9853707518,10132725129,10770779932,3482588164,2103379529,86697
9680714565,9680714565,10051707518,10232725129,10770779932,3482588164,2103379529,86697
9682969087,9847082233,10300735194,10232725129,10770779932,3482588164,2103379529,86697
10051707518,10051226139,10132725129,10232725129,10770779932,3482588164,2103379529,86697
10051707518,10051226139,10132725129,10232725129,10480853624,3482588164,2103379529,86697
10051226139,10051226139,10232725129,10249081292,10480853624,3482588164,2103379529,86697
10051226139,10300735194,10232725129,10249081292,9552517928,3482588164,2103379529,86697
10300735194,10132725129,10232725129,10249081292,9328988450,3482588164,2103379529,86697
10300735194,10132725129,10232725129,10249081292,9328988450,3481347294,2103379529,86697
10232725129,10232725129,10232725129,10274831186,9328988450,3481347294,2103379529,86697
10232725129,10232725129,10232725129,10274831186,9328988450,2827667617,2103379529,86697
10249081292,10249081292,10274831186,11075931710,5765926582,2827667617,2103379529,86697
10249081292,10249081292,10274831186,11075931710,5765926582,2827667617,2103379529,86697
10274831186,10274831186,10877481095,11075931710,5740687948,2827331735,86697,86697
10877481095,10877481095,11075931710,10869606030,5750687948,2827331735,86697,86697
10877481095,10877481095,11075931710,10869606030,5750687948,2827331735,86697,86697
10877481095,10877481095,11075931710,10869606030,5750687948,2827331735,86697,86697
10877481095,10875931710,11075931710,10869606030,5750687948,2827331735,86697,86697
10875931710,11075931710,11075931710,10869606030,5750687948,2427402854,86697,86697
11075931710,11075931710,11023766812,10869606030,4305573560,2427402854,86697,86697
11023766812,9869606030,10869606030,11280374464,4305573560,2427402854,86697,86697
11023766812,10869606030,10869606030,11280374464,4305573560,2427402854,86697,86697
9869606030,10869606030,10869606030,11074136977,4305573560,2427402854,86697,86697
10869606030,10869606030,11283417074,11074136977,4305573560,2427402854,86697,86697
10869606030,10869606030,11280374464,11074136977,4285127149,2427402854,86697,86697
11280374464,11280374464,11074136977,10809066473,4285127149,2103280590,86697,86697
11280374464,11280374464,11074136977,10809066473,4285127149,2103280590,86697,86697
11074136977,11074136977,10978277612,10770779932,4285127149,2123280590,86697,86697
10978277612,10978277612,10781090093,10770779932,4285127149,2123280590,86697,86697
10809066473,10781090093,10770779932,10770779932,4285127149,2103379529,86697,86697
10760779932,10760779932,10770779932,10480853624,4285127149,2103379529,86697,86697
10760779932,10760779932,10770779932,9552517928,4285127149,2103379529,86697,86697
10770779932,10770779932,10770779932,9328988450,3482588164,2103379529,86697,86697
10480853624,9552517928,9328988450,5755926582,3482588164,2103379529,86697,86697
9328988450,9328988450,9328988450,5765926582,3482588164,2103379529,86697,86697
9328988450,9328988450,9328988450,5740687948,3482588164,2103379529,86697,86697
5755926582,5765926582,5740687948,5750687948,2827667617,2103379529,86697,86697
5765926582,5740687948,5750687948,4305573560,2827667617,2103379529,86697,86697
5740687948,5740687948,5750687948,4305573560,2827331735,2103379529,86697,86697
5750687948,5750687948,4305573560,4305573560,2827331735,2103379529,86697,86697
4305573560,4305573560,4305573560,4285127149,2427402854,2103379529,86697,86697
4285127149,4285127149,4285127149,4285127149,2427402854,2103379529,86697,86697
3482588164,3482588164,3482588164,3481347294,2103379529,2103379529,86697,86697
3481347294,3481347294,2827667617,2827331735,2103379529,2103379529,86697,86697
2827667617,2827667617,2827667617,2827331735,2103379529,2103379529,86697,86697
2827331735,2827331735,2827331735,2427402854,2103379529,2103379529,86697,86697
2427402854,2427402854,2427402854,2471275893,2103379529,2103379529,86697,86697
2471275893,2471275893,2103280590,2123280590,2103379529,2103379529,86697,86697
2103280590,2103280590,2103280590,2103379529,2103379529,2103379529,86697,86697
2123280590,2123280590,2103379529,2103379529,2103379529,2103379529,86697,86697
2103379529,2103379529,2103379529,2103379529,2103379529,2103379529,86697,86697
86697,86697,86697,86697,86697,86697,86697,86697
