token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
47321500000,47323800000,47231364099,48740638202,10344,10344,10344,10344
47321500000,47323800000,47231364099,48740638202,10344,10344,10344,10344
47323300000,47323800000,47231364099,48740638202,10344,10344,10344,10344
47323800000,47229264099,47531364099,48730624159,10344,10344,10344,10344
47323800000,47229264099,47531364099,48730624159,10344,10344,10344,10344
47323800000,47229664099,47530862187,48730624159,10344,10344,10344,10344
47229264099,47229664099,47530886193,48730624159,10344,10344,10344,10344
47229664099,47230364099,47529839980,48416928795,10344,10344,10344,10344
47230164099,47230364099,48329839980,48416928795,10344,10344,10344,10344
47230364099,47231364099,48330028202,49416928795,10344,10344,10344,10344
47231364099,47231364099,48330028202,49416928795,10344,10344,10344,10344
47231364099,47531263714,48340638202,49426928795,10344,10344,10344,10344
47530886193,47529839980,48730624159,48594786697,10344,10344,10344,10344
47530081516,48329839980,48730624159,48594786697,10344,10344,10344,10344
47529880359,48329632207,48730624159,48594786697,10344,10344,10344,10344
47529839980,48330028202,48730624159,48199179862,10344,10344,10344,10344
47529839980,48330028202,48730624159,48199179862,10344,10344,10344,10344
48329839980,48330028202,48416928795,48199179862,10344,10344,10344,10344
48329839980,48330028202,48416928795,48199179862,10344,10344,10344,10344
48329632207,48330028202,48416928795,48199179862,10344,10344,10344,10344
48330028202,48330128202,48416928795,48199179862,10344,10344,10344,10344
48330028202,48340638202,48416928795,48229179862,10344,10344,10344,10344
48330028202,48340638202,48416928795,48229179862,10344,10344,10344,10344
48330128202,48340638202,49416928795,48229179862,10344,10344,10344,10344
48340638202,48730624159,49416928795,48429179862,10344,10344,10344,10344
48340638202,48730624159,49416928795,48429179862,10344,10344,10344,10344
48740638202,48730624159,49426928795,48429179862,10344,10344,10344,10344
48730624159,48416928795,49427028795,47473141461,10344,10344,10344,10344
48730624159,48416928795,48594786697,47473141461,10344,10344,10344,10344
48416928795,49416928795,48199179862,47473341461,10344,10344,10344,10344
49416928795,49426928795,48229179862,48361403936,10344,10344,10344,10344
49427028795,48594786697,48429179862,48361197430,10344,10344,10344,10344
48594786697,48199179862,47473141461,48361197430,10344,10344,10344,10344
48594786697,48199179862,47473141461,48361197430,10344,10344,10344,10344
48199179862,48229179862,47473141461,48361197430,10344,10344,10344,10344
48229179862,48429179862,48361403936,47759179832,10344,10344,10344,10344
47473141461,47473141461,48162972931,47565112503,10344,10344,10344,10344
47473141461,47473141461,48361197430,47565112503,10344,10344,10344,10344
48361403936,48361403936,48361197430,47763904051,10344,10344,10344,10344
48361403936,48361403936,48562972931,47763904051,10344,10344,10344,10344
48361403936,48361403936,47759179832,47763904051,10344,10344,10344,10344
48361197430,48361197430,47565112503,47571392754,10344,10344,10344,10344
48361197430,48361197430,47565112503,47571392754,10344,10344,10344,10344
48361197430,48361197430,47565112503,47571392754,10344,10344,10344,10344
47759179832,47565112503,47763904051,10344,10344,10344,10344,10344
47565112503,47565112503,47763904051,10344,10344,10344,10344,10344
47565112503,47565112503,47571392754,10344,10344,10344,10344,10344
47563904051,47763904051,47571392754,10344,10344,10344,10344,10344
47763904051,47763904051,10344,10344,10344,10344,10344,10344
47763904051,47571392754,10344,10344,10344,10344,10344,10344
47571392754,47571392754,10344,10344,10344,10344,10344,10344
10344,10344,10344,10344,10344,10344,10344,10344
