token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
40002100000,40003300000,40061700498,40061900498,40122400498,43117963137,72177746848,115757182556
40002300000,40003500000,40061900498,40061900498,40122400498,43117963137,72177746848,115757182556
40003300000,40003500000,40061900498,40061900498,40122400498,43117963137,72177746848,115757182556
40003300000,40003500000,40061900498,40061900498,40122400498,44850852693,72177746848,117028204674
40003300000,40003500000,40061900498,40061900498,40122400498,44850852693,72177746848,117028204674
40003500000,40003400498,40061900498,40061900498,40122400498,44850852693,77098468173,117028204674
40003500000,40003700498,40061900498,40062400498,40122400498,44850852693,77098468173,117028204674
40003400498,40003700498,40061900498,40062400498,40122400498,44850852693,77098468173,117028204674
40003700498,40061700498,40061900498,40062400498,40122400498,44850852693,74519969273,117028204674
40003700498,40061700498,40061900498,40062400498,40122400498,46616676296,74519969273,117028204674
40061700498,40061700498,40061900498,40062400498,40122400498,46616676296,74519969273,117028204674
40061700498,40061900498,40061900498,40062400498,40122400498,45030476509,74519969273,117028204674
40061900498,40061900498,40061900498,40062400498,40122400498,43624176719,81126106457,115668805894
40062400498,40062400498,40062400498,40068400498,40122400498,42934438179,75253475810,119195899812
40068400498,40068400498,40100400498,40112400498,40122400498,44414895273,76167211152,117389909216
40080400498,40080400498,40112400498,40127400498,40122400498,46207158776,76167211152,115043544123
40100400498,40112400498,40112400498,40127400498,40122400498,48107451625,77911235139,116838770684
40112400498,40112400498,40127400498,40127400498,40122400498,48107451625,78813753849,118392110302
40127400498,40127400498,40127400498,40127400498,40122400498,53383635960,79410455551,118392110302
40122400498,40122400498,40122400498,40122400498,41304684719,53583306885,82832215596,121219652470
40818090651,40818090651,41234315818,41304684719,55056916069,56301870557,87200419315,125702566377
41234315818,41234315818,41738884493,43117963137,55056916069,55202471487,87847843091,129640996255
41738884493,41738884493,41304684719,44850852693,52732516627,64045716440,88751095200,132981156450
41304684719,41304684719,43117963137,43624176719,53583306885,61396768750,89471605117,130301860496
43117963137,43117963137,44850852693,42391377130,53583306885,61396768750,88794879647,134764537761
44850852693,44850852693,43624176719,42934438179,53086229668,61882804673,90441913172,135271317851
45030476509,45030476509,42391377130,43694285134,54384759296,61542204971,92193840439,135870522295
45030476509,43624176719,42934438179,43694285134,54384759296,61492175159,92193840439,135870522295
43624176719,42391377130,42934438179,43694285134,55711918099,61492175159,92193840439,135870522295
42391377130,42391377130,42934438179,43694285134,55711918099,61492175159,93964951244,135870522295
42934438179,42934438179,43694285134,44414895273,57211116414,62743325671,93650952557,135603740242
43694285134,43694285134,43694285134,46207158776,56066116546,64007920382,92535054283,136811108998
44414895273,44414895273,46207158776,48878015338,56252496514,61346081022,97539338657,135516045797
46207158776,46207158776,48107451625,53383635960,56934613940,62633203950,93749546843,134155447080
48107451625,48107451625,48238115874,56678115486,54987355247,63556849102,93749546843,135068562332
48878015338,48238115874,53383635960,55056916069,52753856096,64372031891,94270009950,135853623153
48878015338,48238115874,53383635960,55056916069,52753856096,64372031891,94270009950,135853623153
48238115874,53383635960,56678115486,55056916069,52753856096,63131531992,93392221781,135853623153
53383635960,53383635960,56678115486,55056916069,54523511858,60634128196,93392221781,135853623153
56678115486,56678115486,55056916069,53164060665,56301870557,62428052792,94632741012,136763487360
56678115486,56678115486,55056916069,53164060665,56301870557,62428052792,94632741012,135424087378
55056916069,55056916069,55056916069,53583306885,56301870557,62428052792,96399512855,135424087378
52732516627,53164060665,53583306885,53086229668,59057966924,63358886120,93055192789,137219210113
53164060665,53164060665,53583306885,54384759296,61096430962,63358886120,93749994935,137219210113
53583306885,53583306885,53086229668,55711918099,61396768750,63358886120,94407494214,135958718239
54041637504,53086229668,54384759296,57211116414,61396768750,69949816939,95110427060,135958718239
53086229668,53086229668,54384759296,57211116414,61396768750,67201738298,95110427060,139386582696
53086229668,53086229668,55711918099,57211116414,61396768750,65894539093,95110427060,139386582696
54384759296,54384759296,55711918099,56066116546,61882804673,66589018705,93721128572,143716910669
55711918099,55711918099,57211116414,55508739550,61492175159,67071768457,91737960831,138709345549
57211116414,57211116414,54735516079,56252496514,62743325671,67671508752,91737960831,138709345549
54735516079,54735516079,55508739550,56934613940,64007920382,68236358233,94025030227,139370227639
54735516079,55508739550,56252496514,57512811659,64007920382,68236358233,94025030227,139370227639
