open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 22:41:55,206900000000000,2024-06-09 22:41:55,206847767936122,206847767936122,206847767936122,206847767936122,206847767936122,206847767936122,206847767936122,206847767936122,206847767936122,206847767936122,206847767936122,0,-52232063878,0,-52232063878,0,-52232063878,0,-52232063878,0,-52232063878,0,-52232063878,0,-52232063878,0,-52232063878,0,-52232063878,0,-52232063878,-52232063878,0,0.0,0.0,0.0,0.0
2024-06-09 22:41:55,206900000000000,2024-06-09 22:41:56,206743382950599,206743382950599,206743382950599,206743382950599,206743382950599,206743382950599,206743382950599,206743382950599,206743382950599,206743382950599,206743382950599,0,-8771104428390,0,-8771104428390,0,-8771104428390,0,-8771104428390,0,-8771104428390,0,-8771104428390,0,-8771104428390,0,-8771104428390,0,-8771104428390,0,-8771104428390,-8771104428390,0,0.0,0.0,0.0,0.0
2024-06-09 22:41:55,206900000000000,2024-06-09 22:41:57,198104946298253,198104946298253,198104946298253,198104946298253,198104946298253,198104946298253,198104946298253,198104946298253,198104946298253,198104946298253,198104946298253,0,-8855619487225,0,-8855619487225,0,-8855619487225,0,-8855619487225,0,-8855619487225,0,-8855619487225,0,-8855619487225,0,-8855619487225,0,-8855619487225,0,-8855619487225,-8855619487225,0,0.0,0.0,0.0,0.0
2024-06-09 22:41:55,206900000000000,2024-06-09 22:41:58,199428103684704,199428103684704,199428103684704,199428103684704,199428103684704,199428103684704,199428103684704,199428103684704,199428103684704,199428103684704,199428103684704,1383723171929,-9578567961918,1383723171929,-9578567961918,1383723171929,-9578567961918,1383723171929,-9578567961918,1383723171929,-9578567961918,1383723171929,-9578567961918,1383723171929,-9578567961918,1383723171929,-9578567961918,1383723171929,-9578567961918,1383723171929,-9578567961918,-9578567961918,1,1.0,1.0,1.0,0.0
2024-06-09 22:41:55,206900000000000,2024-06-09 22:41:59,198464536548459,198464536548459,198464536548459,198464536548459,198464536548459,198464536548459,198464536548459,198464536548459,198464536548459,198464536548459,198464536548459,1383723171929,-11307566767967,1383723171929,-11307566767967,1383723171929,-11307566767967,1383723171929,-11307566767967,1383723171929,-11307566767967,1383723171929,-11307566767967,1383723171929,-11307566767967,1383723171929,-11307566767967,1383723171929,-11307566767967,1383723171929,-11307566767967,-11307566767967,1,1.0,1.0,1.0,0.0
2024-06-09 22:41:55,206900000000000,2024-06-09 22:42:00,196952486152117,206847767936122,196952486152117,196952486152117,196952486152117,196952486152117,196952486152117,196952486152117,196952486152117,196952486152117,196952486152117,1502560023376,-14589849759706,1502560023376,-14589849759706,1502560023376,-14589849759706,1502560023376,-14589849759706,1502560023376,-14589849759706,1502560023376,-14589849759706,1502560023376,-14589849759706,1502560023376,-14589849759706,1502560023376,-14589849759706,1502560023376,-14589849759706,-14589849759706,2,0.9209104131627344,1.0,1.0,0.2765401764756611
2024-06-09 22:41:55,206900000000000,2024-06-09 22:42:01,193812022731274,206743382950599,193812022731274,193812022731274,193812022731274,193812022731274,193812022731274,193812022731274,193812022731274,193812022731274,193812022731274,1502560023376,-14746860332589,1502560023376,-14799092396467,1502560023376,-14799092396467,1502560023376,-14799092396467,1502560023376,-14799092396467,1502560023376,-14799092396467,1502560023376,-14799092396467,1502560023376,-14799092396467,1502560023376,-14799092396467,1502560023376,-14799092396467,-14799092396467,2,0.9209104131627344,1.0,1.0,0.2765401764756611
2024-06-09 22:41:55,206900000000000,2024-06-09 22:42:02,193261049700631,198104946298253,193261049700631,193261049700631,193261049700631,193261049700631,193261049700631,193261049700631,193261049700631,193261049700631,193261049700631,1502560023376,-6598011386086,1502560023376,-15369115814476,1502560023376,-15369115814476,1502560023376,-15369115814476,1502560023376,-15369115814476,1502560023376,-15369115814476,1502560023376,-15369115814476,1502560023376,-15369115814476,1502560023376,-15369115814476,1502560023376,-15369115814476,-15369115814476,2,0.9209104131627344,1.0,1.0,0.2765401764756611
2024-06-09 22:41:55,206900000000000,2024-06-09 22:42:03,193010713209203,199428103684704,193010713209203,193010713209203,193010713209203,193010713209203,193010713209203,193010713209203,193010713209203,193010713209203,193010713209203,1502560023376,-6536227326948,1502560023376,-15391846814173,1502560023376,-15391846814173,1502560023376,-15391846814173,1502560023376,-15391846814173,1502560023376,-15391846814173,1502560023376,-15391846814173,1502560023376,-15391846814173,1502560023376,-15391846814173,1502560023376,-15391846814173,-15391846814173,2,0.9209104131627344,1.0,1.0,0.2765401764756611
2024-06-09 22:41:55,206900000000000,2024-06-09 22:42:05,192987987569041,196952486152117,206847767936122,192987987569041,192987987569041,192987987569041,192987987569041,192987987569041,192987987569041,192987987569041,192987987569041,118836851447,-4107005686368,1502560023376,-15414572454335,1502560023376,-15414572454335,1502560023376,-15414572454335,1502560023376,-15414572454335,1502560023376,-15414572454335,1502560023376,-15414572454335,1502560023376,-15414572454335,1502560023376,-15414572454335,1502560023376,-15414572454335,-15414572454335,2,0.9209104131627344,1.0,1.0,0.2765401764756611
