token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
96889581350,146654408568,289196773755,279339172582,102040016221,99701093729,99304732544,14032
106519633925,146654408568,226699446924,279537172582,102040016221,99701093729,99304732544,14032
116484240369,146654408568,220680610315,275736780576,102040016221,99701093729,99304732544,14032
130281845325,146654608568,227779085145,275488554186,102040016221,99701093729,99304732544,14032
146654408568,160121495697,232639331063,269274944416,102040016221,99701093729,99304732544,14032
146654408568,167610342738,237030403504,269274944416,102040016221,99701093729,99304732544,14032
146654408568,176461900759,226588296383,276985863448,102040016221,99701093729,99304732544,14032
146654608568,176461900759,231958661433,276985863448,102040016221,99701093729,99304732544,14032
152643805702,184079349768,231958661433,276985863448,102040016221,99701093729,99304732544,14032
160121495697,193190212483,231958661433,276985863448,102040016221,99701093729,99304732544,14032
176461900759,211843833178,232477676778,258359595541,102040016221,99701093729,99304732544,14032
184079349768,212686570186,227968849411,258359595541,102040016221,99701093729,99304732544,14032
193190212483,219553452744,226603609477,258359595541,102040016221,99701093729,99304732544,14032
200185051955,229781816147,228435998088,258359595541,102040016221,99701093729,99304732544,14032
208004129657,241504040962,234030759342,258359595541,102040016221,99701093729,99304732544,14032
212686570186,281520233944,229061105261,220161890975,102040016221,99602090737,99304732544,14032
219553452744,289196773755,232504506253,220271890975,102040016221,99602090737,99304732544,14032
229781816147,226699446924,237305866268,217084792556,102040016221,99602090737,99304732544,14032
241504040962,220680610315,246060082672,216131515726,102037925337,99602090737,99304732544,14032
275366645862,227779085145,246060082672,216131515726,102045925337,99602090737,99304732544,14032
281520233944,230371819696,246060082672,216481515726,102045925337,99602090737,99304732544,14032
289196773755,232639331063,246060082672,205734805782,102045925337,99602090737,99304732544,14032
226699446924,237030403504,254500251555,197614746963,102045925337,99602090737,99304732544,14032
220680610315,226588296383,256778290358,189907773549,102045925337,99602090737,99304732544,14032
227779085145,231958661433,264468180117,189907773549,102045925337,99602090737,99304732544,14032
230371819696,231958661433,275783620412,187104940534,102045925337,99602090737,99304732544,14032
232639331063,231958661433,279339172582,184834439598,102045925337,99602090737,99304732544,14032
237030403504,231958661433,279537172582,166724362810,102045925337,99602090737,99304732544,14032
226588296383,232477676778,275736780576,166434712557,102045925337,99602090737,99304732544,14032
231958661433,232477676778,275488554186,164001889274,102045925337,99602090737,99304732544,14032
231958661433,227968849411,275493554186,158918511968,102045925337,99602090737,99304732544,14032
231958661433,226603609477,269274944416,158042131994,102035713539,99602090737,99304732544,14032
231958661433,228435998088,269274944416,151852711374,102035713539,99602090737,99304732544,14032
232477676778,234030759342,276985863448,151961200111,102035713539,99602090737,99304732544,14032
232477676778,229061105261,276985863448,149540111124,102035713539,99602090737,99304732544,14032
234030759342,246060082672,258359595541,135777133333,102035713539,99602090737,99304732544,14032
229061105261,246060082672,258359595541,132107362796,102035713539,99602090737,99304732544,14032
232504506253,246060082672,258359595541,131926960058,101899396140,99602090737,99304732544,14032
237305866268,254500251555,258359595541,131926960058,101899396140,99602090737,99304732544,14032
246060082672,256778290358,258359595541,131926960058,101899396140,99602090737,99304732544,14032
246060082672,264468180117,219914390975,131635708879,121642530434,99602090737,99304732544,14032
246060082672,279339172582,220271890975,122885918689,101863727108,99602090737,99304732544,14032
254500251555,279537172582,217084792556,122885918689,101863727108,99602090737,99304732544,14032
256778290358,275736780576,216131515726,122082571248,101863727108,99602090737,99304732544,14032
279537172582,269274944416,197614746963,120185730056,101863727108,99607868924,99304732544,14032
275736780576,276985863448,189907773549,120185730056,101863727108,99607868924,99304732544,14032
275488554186,276985863448,189907773549,111392589601,101863727108,99607868924,99304732544,14032
275493554186,276985863448,187104940534,111266296997,101863727108,99607868924,99304732544,14032
269274944416,276985863448,184834439598,111266296997,101863727108,99607868924,99304732544,14032
269274944416,270962949528,166724362810,110690919662,101863727108,99607868924,99304732544,14032
276985863448,258359595541,166434712557,109959189751,101863727108,99607868924,99304732544,14032
276985863448,258359595541,164001889274,106462900547,101863727108,99607868924,99304732544,14032
276985863448,258359595541,158918511968,106462900547,101863727108,99607868924,99304732544,14032
276985863448,258359595541,158042131994,106612900547,101863727108,99607868924,99304732544,14032
258359595541,258359595541,151961200111,106049768235,101863727108,99607868924,99304732544,14032
258359595541,217084792556,140013057006,97989069905,101863727108,99607868924,99304732544,14032
258359595541,216131515726,135777133333,97645292680,101863727108,99607868924,99304732544,14032
216131515726,189907773549,131635708879,86776213341,101863727108,99607868924,99304732544,14032
216481515726,187104940534,122885918689,85808471915,101863727108,99607868924,99304732544,14032
205734805782,184834439598,122885918689,83282868241,101863727108,99607868924,99304732544,14032
197614746963,166724362810,122885918689,79984800139,101863727108,99607868924,99304732544,14032
189907773549,166434712557,122082571248,79986800139,101863727108,99596376379,99304732544,14032
187104940534,158918511968,121227238088,80086800139,101762833371,99596376379,99304732544,14032
184834439598,158042131994,120185730056,97381587194,101762833371,99596376379,99304732544,14032
166724362810,151852711374,120185730056,97381587194,101762833371,99596376379,99304732544,14032
166434712557,151961200111,120185730056,97381587194,101728228648,99596376379,99304732544,14032
158918511968,149540111124,111266296997,99780103835,101728228648,99596376379,99304732544,14032
158042131994,149640111124,111266296997,99781103835,101728228648,99596376379,99304732544,14032
151852711374,140013057006,110690919662,99979103835,101728228648,99596376379,99304732544,14032
151961200111,135777133333,109959189751,99372634204,101728228648,99596376379,99304732544,14032
149540111124,133712011496,106462900547,99372634204,101728228648,99596376379,99304732544,14032
149540111124,132107362796,106462900547,99372634204,101728228648,99596376379,99304732544,14032
149640111124,131926960058,106612900547,99372634204,101728228648,99596376379,99304732544,14032
140013057006,131926960058,106612900547,99372634204,101728228648,99596376379,99304732544,14032
135777133333,131926960058,106049768235,99676045427,101728228648,99596376379,99304732544,14032
133712011496,131635708879,105493633465,99534334247,101728228648,99596376379,99304732544,14032
131926960058,122885918689,99406011097,94934139674,101728228648,99596376379,99304732544,14032
131926960058,122885918689,97989069905,94934139674,101728228648,99596376379,99304732544,14032
131926960058,122082571248,97645292680,94934139674,101728228648,99596376379,99304732544,14032
131635708879,122082571248,96690128538,94934139674,101571260019,99596376379,99304732544,14032
122885918689,121227238088,89263983294,94835633543,101571260019,99596376379,99304732544,14032
122885918689,120185730056,99558445288,94341944143,101571260019,99596376379,99304732544,14032
122082571248,111392589601,86776213341,96289855691,101317240545,99596376379,99304732544,14032
121227238088,111266296997,85808471915,96289855691,101317240545,99596376379,99304732544,14032
120185730056,109959189751,79986800139,99492520786,100336757878,99596376379,99304732544,14032
111266296997,106462900547,80086800139,99492520786,100336757878,99596376379,99304732544,14032
111266296997,106612900547,97381587194,99492520786,100336757878,99596376379,99304732544,14032
106462900547,105493633465,99780103835,99492520786,100336757878,99596376379,99304732544,14032
106462900547,104760260856,99780103835,99492520786,100147024928,99596376379,99304732544,14032
106612900547,97989069905,99979103835,99492520786,100147024928,99596376379,99304732544,14032
106049768235,97645292680,99372634204,99492520786,100147024928,99596376379,99304732544,14032
105493633465,96690128538,99372634204,99492520786,100147024928,99596376379,99304732544,14032
99406011097,99558445288,99372634204,99492520786,100147024928,99596376379,99304732544,14032
97645292680,95589827375,99676045427,99492520786,100147024928,99596376379,99304732544,14032
96690128538,86776213341,99534334247,99542520786,100147024928,99596376379,99304732544,14032
