token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
206490005293681,190570761492967,184125509680751,186478924985390,189863468850904,159582050561944,311192688779207,671633987020702
206044521006146,201469296698131,182686251997387,186864565162862,190383603350187,158729172691292,311192631141881,671633987020702
196843574340403,201469296698131,182575543904345,183987468840011,181563886724905,158404027494415,311191997132702,671633987020702
189835462507652,205282637026929,182547126827600,180381754004152,182857472724905,158030836862865,311191420762967,671633987020702
190221102685124,205282637026929,182446723087020,179732535311381,182857472724905,158030821820070,311191420762967,671633987020702
190570761492967,205667761718504,183730557075618,179090517373966,182857472724905,158030776691703,311191305489277,671633987020702
201469296698131,205384635562423,183730557075618,178608659311814,182857472724905,164572978383190,311190801117708,671633987020702
201469296698131,205384635562423,183730557075618,178129390474084,182857472724905,164572945758327,311190743481082,671633987020702
205282637026929,203853176004905,183320332907130,178129390474084,182655148823936,164247310161822,311190743481082,671633987020702
205282637026929,191351316832379,188269504425353,178129390474084,181660205658632,160569600389884,311190498376120,671633987020702
205667761718504,191861079653489,188269504425353,174348903266319,182378400137746,163580095038121,311190383103115,671633987020702
205384635562423,192246719830961,184090771269008,172518299864990,182378400137746,170388852967040,311189878734969,671633987020702
203853176004905,199082947670332,180052265237534,172518299864990,182619898224101,166952866737002,311189950730728,671633987020702
191861079653489,199082947670332,180240735455908,172518299864990,182702646243323,167324806426251,311189676908947,671633987020702
192246719830961,187164249373353,182686954004263,171798594569092,182158348334088,167324806426251,311189676908947,682782113858714
199082947670332,184846363676325,182324174901502,171798594569092,183074540522330,164084595860048,311342854000385,682782113858714
199082947670332,184125509680751,188593768146217,171798594569092,183074540522330,164084595860048,311342046301840,682782113858714
199082947670332,184125509680751,188593768146217,171798594569092,182867351717309,164084595860048,311342046301840,682782113858714
187164249373353,182686251997387,188379648132091,168314183284298,179407333097025,164226007751764,311342046301840,682782113858714
184846363676325,182575543904345,188325654444537,168314183284298,179407333097025,165688080589909,311342046301840,682782113858714
182686251997387,183730557075618,184763887736226,160931897559737,180728798741738,165688080589909,311341469376877,682782113858714
182575543904345,183730557075618,184763887736226,160542018014280,180728778960950,164865815450101,311341623703655,682782113858714
182446723087020,188269504425353,184763887736226,156460758821638,182178646908727,172342644302206,311341623703655,682782113858714
183730557075618,184090771269008,186864565162862,155719559178915,182178646908727,173789864770082,311341623703655,682782113858714
183730557075618,184090771269008,183987468840011,154179420428497,182178646908727,173789864770082,311341623703655,682782113858714
183320332907130,180052265237534,180381754004152,154034933494716,178824732855816,173142336518295,311341638006953,682782113858714
188269504425353,179855095278436,179732535311381,151650010242897,179072863167285,172244760804769,311341392455304,684205640631803
188269504425353,180240735455908,179090517373966,151398592598382,178880825060631,171977303436908,311341363369785,684205640631803
180052265237534,182324174901502,178129390474084,155017566222025,182907792058372,174946128671112,311341463972249,684205640631803
179855095278436,188593768146217,178129390474084,148104694012504,180134576512054,176295500403138,311341016737159,684205640631803
182686954004263,188379648132091,172518299864990,151370366025653,180036313172093,176295500403138,311341016737159,684205640631803
182324174901502,188325654444537,172518299864990,151431741362998,179551871289158,176126606114613,311341016737159,684205640631803
188593768146217,187509898731926,172518299864990,147294394906166,179516899871356,176126606114613,311341016737159,684205640631803
188593768146217,184763887736226,172518299864990,146607589414005,179516899871356,176126606114613,311341016737159,684205640631803
188379648132091,184763887736226,171798594569092,147039198530741,179516899871356,183146238737198,318173057057813,684205640631803
188325654444537,184763887736226,171798594569092,147488589799383,179516899871356,183146238737198,318173057057813,684205640631803
188325654444537,184763887736226,171798594569092,151097410031120,179516899871356,183146238737198,318173057057813,684205640631803
187509898731926,184763887736226,171798594569092,149721930587354,179146440768374,183110272663238,318172996809072,684205640631803
184763887736226,186864565162862,168314183284298,155682403349363,177271780982807,183110272663238,318178023391120,684205640631803
184763887736226,183987468840011,168314183284298,156412077230563,176874503092407,183110272663238,318177902889905,684205640631803
184763887736226,179732535311381,163162426886830,156412077230563,176874503092407,183858559423091,318250680970116,684205640631803
