open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 10:00:57,40000000000,2024-06-08 10:00:57,40049000000,40049000000,40049000000,40049000000,40049000000,40049000000,40049000000,40049000000,40049000000,40049000000,40049000000,50100000,0,50100000,0,50100000,0,50100000,0,50100000,0,50100000,0,50100000,0,50100000,0,50100000,0,50100000,0,0,3,0.9780439121756487,1.0,1.0,0.11224583647163151
2024-06-08 10:00:57,40000000000,2024-06-08 10:00:59,40050600000,40050600000,40050600000,40050600000,40050600000,40050600000,40050600000,40050600000,40050600000,40050600000,40050600000,151000000,0,151000000,0,151000000,0,151000000,0,151000000,0,151000000,0,151000000,0,151000000,0,151000000,0,151000000,0,0,7,0.6622516556291391,0.9986754966887418,1.0,0.712326653000002
2024-06-08 10:00:57,40000000000,2024-06-08 10:01:00,40151100000,40151100000,40151100000,40151100000,40151100000,40151100000,40151100000,40151100000,40151100000,40151100000,40151100000,151350000,0,151350000,0,151350000,0,151350000,0,151350000,0,151350000,0,151350000,0,151350000,0,151350000,0,151350000,0,0,11,0.6607201850016517,0.9963660389824909,0.999669639907499,0.7301509085137973
2024-06-08 10:00:57,40000000000,2024-06-08 10:01:01,40151850000,40151850000,40151850000,40151850000,40151850000,40151850000,40151850000,40151850000,40151850000,40151850000,40151850000,152950000,0,152950000,0,152950000,0,152950000,0,152950000,0,152950000,0,152950000,0,152950000,0,152950000,0,152950000,0,0,22,0.6538084341288003,0.9872507355344885,0.9924812030075187,0.803458041123124
2024-06-08 10:00:57,40000000000,2024-06-08 10:01:02,40195622590,40049000000,40195622590,40195622590,40195622590,40195622590,40195622590,40195622590,40195622590,40195622590,40195622590,196422590,-49114538,196422590,-49114538,196422590,-49114538,196422590,-49114538,196422590,-49114538,196422590,-49114538,196422590,-49114538,196422590,-49114538,196422590,-49114538,196422590,-49114538,-49114538,29,0.5091064118439738,0.9834540416150709,0.9905815313808866,1.1815760863667437
2024-06-08 10:00:57,40000000000,2024-06-08 10:01:03,40148308052,40049000000,40148308052,40148308052,40148308052,40148308052,40148308052,40148308052,40148308052,40148308052,40148308052,147322590,-49114538,197422590,-49114538,197422590,-49114538,197422590,-49114538,197422590,-49114538,197422590,-49114538,197422590,-49114538,197422590,-49114538,197422590,-49114538,197422590,-49114538,-49114538,30,0.5065276471147502,0.981005213233197,0.9896161832341476,1.2074152446236865
2024-06-08 10:00:57,40000000000,2024-06-08 10:01:06,40148608052,40151850000,40148608052,40148608052,40148608052,40148608052,40148608052,40148608052,40148608052,40148608052,40148608052,46372590,-49114538,197722590,-49114538,197722590,-49114538,197722590,-49114538,197722590,-49114538,197722590,-49114538,197722590,-49114538,197722590,-49114538,197722590,-49114538,197722590,-49114538,-49114538,31,0.5057591042075668,0.9795167562795937,0.9886204201553298,1.2169477874526349
2024-06-08 10:00:57,40000000000,2024-06-08 10:01:07,40148708052,40195622590,40049000000,40148708052,40148708052,40148708052,40148708052,40148708052,40148708052,40148708052,40148708052,44872590,-49114538,197822590,-49114538,197822590,-49114538,197822590,-49114538,197822590,-49114538,197822590,-49114538,197822590,-49114538,197822590,-49114538,197822590,-49114538,197822590,-49114538,-49114538,32,0.5055034412399514,0.979021607188542,0.988120669130861,1.2206747405423488
2024-06-08 10:00:57,40000000000,2024-06-08 10:01:08,40149208052,40148308052,40049000000,40149208052,40149208052,40149208052,40149208052,40149208052,40149208052,40149208052,40149208052,1900000,0,148222590,-49114538,198322590,-49114538,198322590,-49114538,198322590,-49114538,198322590,-49114538,198322590,-49114538,198322590,-49114538,198322590,-49114538,198322590,-49114538,-49114538,33,0.5042289937823019,0.9765533517891228,0.9871421606585513,1.235199323329859
2024-06-08 10:00:57,40000000000,2024-06-08 10:01:14,40149408052,40149208052,40148308052,40149408052,40149408052,40149408052,40149408052,40149408052,40149408052,40149408052,40149408052,99200000,0,100100000,0,297522590,-49114538,297522590,-49114538,297522590,-49114538,297522590,-49114538,297522590,-49114538,297522590,-49114538,297522590,-49114538,297522590,-49114538,-49114538,35,0.3361089320982316,0.9803376274722535,0.9897486775710039,1.464777067184723
