token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
40195622590,40148708052,42241606178,43357875946,101329,101329,101329,101329
40148308052,40149208052,42242406178,43414172205,101329,101329,101329,101329
40148308052,40149208052,42196020802,43414172205,101329,101329,101329,101329
40148608052,40149208052,42195691181,43414172205,101329,101329,101329,101329
40148708052,40149208052,42195891181,43414172205,101329,101329,101329,101329
40149208052,40149208052,42195891181,43414272205,101329,101329,101329,101329
40149208052,40968408052,42195561802,44054172205,101329,101329,101329,101329
40149208052,40968408052,42195561802,44054172205,101329,101329,101329,101329
40149208052,41688408052,42195451931,44054172205,101329,101329,101329,101329
41688508052,42183508052,43413882850,44056210008,101329,101329,101329,101329
41688508052,42183508052,43413882850,44045993675,101329,101329,101329,101329
41688508052,42242406178,43413882850,43936468171,101329,101329,101329,101329
42183508052,42242406178,43413882850,43936468171,101329,101329,101329,101329
42242406178,42195891181,43473882850,44209471544,101329,101329,101329,101329
42195691181,42195561802,43357875946,44209471544,101329,101329,101329,101329
42195891181,42195561802,43357875946,44209471544,101329,101329,101329,101329
42195891181,42195451931,43414172205,44509471544,101329,101329,101329,101329
42195671434,42914109881,43414172205,44509471544,101329,101329,101329,101329
42195561802,42913996242,43414172205,44509471544,101329,101329,101329,101329
42195561802,42913882850,43414172205,44509471544,101329,101329,101329,101329
42914109881,43413882850,44054172205,44760471544,101329,101329,101329,101329
42913996242,43413882850,44054172205,44760471544,101329,101329,101329,101329
42913882850,43413882850,44054172205,44760471544,101329,101329,101329,101329
43413882850,43413882850,44054172205,44760471544,101329,101329,101329,101329
43413882850,43413882850,43936210008,44760471544,101329,101329,101329,101329
43413882850,43473882850,43986210008,44760471544,101329,101329,101329,101329
43413882850,43473882850,43986210008,44760471544,101329,101329,101329,101329
43413882850,43473882850,44056210008,44960471544,101329,101329,101329,101329
43357875946,43414172205,43936468171,45197471544,101329,101329,101329,101329
43414172205,44054172205,44209471544,45197471544,101329,101329,101329,101329
43414272205,44054172205,44509471544,45316271544,101329,101329,101329,101329
44054172205,43986210008,44510471544,101329,101329,101329,101329,101329
43936210008,44045993675,44760471544,101329,101329,101329,101329,101329
44045993675,43936468171,44760471544,101329,101329,101329,101329,101329
43936468171,43936468171,44760471544,101329,101329,101329,101329,101329
43936468171,44209471544,44960471544,101329,101329,101329,101329,101329
43936468171,44209471544,45160471544,101329,101329,101329,101329,101329
43936468171,44209471544,45160471544,101329,101329,101329,101329,101329
44209471544,44509471544,45197471544,101329,101329,101329,101329,101329
44509471544,44510471544,45197471544,101329,101329,101329,101329,101329
44509471544,44560471544,45197471544,101329,101329,101329,101329,101329
44510471544,44760471544,45316271544,101329,101329,101329,101329,101329
44760471544,44760471544,101329,101329,101329,101329,101329,101329
44760471544,44960471544,101329,101329,101329,101329,101329,101329
44760471544,45160471544,101329,101329,101329,101329,101329,101329
45190471544,45197471544,101329,101329,101329,101329,101329,101329
45197471544,45197471544,101329,101329,101329,101329,101329,101329
45197471544,101329,101329,101329,101329,101329,101329,101329
45197471544,101329,101329,101329,101329,101329,101329,101329
101329,101329,101329,101329,101329,101329,101329,101329
101329,101329,101329,101329,101329,101329,101329,101329
