open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:14,206897387770318,206897387770318,206897387770318,206897387770318,206897387770318,206897387770318,206897387770318,206897387770318,206897387770318,206897387770318,206897387770318,0,-1609584611304,0,-1609584611304,0,-1609584611304,0,-1609584611304,0,-1609584611304,0,-1609584611304,0,-1609584611304,0,-1609584611304,0,-1609584611304,0,-1609584611304,-1609584611304,0,0.0,0.0,0.0,0.0
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:15,205407272907502,205407272907502,205407272907502,205407272907502,205407272907502,205407272907502,205407272907502,205407272907502,205407272907502,205407272907502,205407272907502,6783523518806,-2484129906013,6783523518806,-2484129906013,6783523518806,-2484129906013,6783523518806,-2484129906013,6783523518806,-2484129906013,6783523518806,-2484129906013,6783523518806,-2484129906013,6783523518806,-2484129906013,6783523518806,-2484129906013,6783523518806,-2484129906013,-2484129906013,2,0.9827733303375399,1.0,1.0,0.08704004494453746
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:16,223321423464298,223321423464298,223321423464298,223321423464298,223321423464298,223321423464298,223321423464298,223321423464298,223321423464298,223321423464298,223321423464298,18905553370311,-2484129906013,18905553370311,-2484129906013,18905553370311,-2484129906013,18905553370311,-2484129906013,18905553370311,-2484129906013,18905553370311,-2484129906013,18905553370311,-2484129906013,18905553370311,-2484129906013,18905553370311,-2484129906013,18905553370311,-2484129906013,-2484129906013,3,0.6411888408694376,1.0,1.0,0.6839620491696699
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:17,218142446425794,218142446425794,218142446425794,218142446425794,218142446425794,218142446425794,218142446425794,218142446425794,218142446425794,218142446425794,218142446425794,18918428953744,-7808176614574,18918428953744,-7808176614574,18918428953744,-7808176614574,18918428953744,-7808176614574,18918428953744,-7808176614574,18918428953744,-7808176614574,18918428953744,-7808176614574,18918428953744,-7808176614574,18918428953744,-7808176614574,18918428953744,-7808176614574,-7808176614574,4,0.6407524578887415,1.0,1.0,0.6891401082557372
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:18,217981261602932,217981261602932,217981261602932,217981261602932,217981261602932,217981261602932,217981261602932,217981261602932,217981261602932,217981261602932,217981261602932,19552415067432,-7895125669557,19552415067432,-7895125669557,19552415067432,-7895125669557,19552415067432,-7895125669557,19552415067432,-7895125669557,19552415067432,-7895125669557,19552415067432,-7895125669557,19552415067432,-7895125669557,19552415067432,-7895125669557,19552415067432,-7895125669557,-7895125669557,5,0.6199760904061606,0.9999999999999999,0.9999999999999999,0.8098678117646876
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:19,218499024850613,206897387770318,218499024850613,218499024850613,218499024850613,218499024850613,218499024850613,218499024850613,218499024850613,218499024850613,218499024850613,19552415067432,-8011623668313,19552415067432,-8011623668313,19552415067432,-8011623668313,19552415067432,-8011623668313,19552415067432,-8011623668313,19552415067432,-8011623668313,19552415067432,-8011623668313,19552415067432,-8011623668313,19552415067432,-8011623668313,19552415067432,-8011623668313,-8011623668313,5,0.6199760904061606,0.9999999999999999,0.9999999999999999,0.8098678117646876
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:20,218585861069176,205407272907502,218585861069176,218585861069176,218585861069176,218585861069176,218585861069176,218585861069176,218585861069176,218585861069176,218585861069176,19697484737489,-6402039057009,19697484737489,-8011623668313,19697484737489,-8011623668313,19697484737489,-8011623668313,19697484737489,-8011623668313,19697484737489,-8011623668313,19697484737489,-8011623668313,19697484737489,-8011623668313,19697484737489,-8011623668313,19697484737489,-8011623668313,-8011623668313,6,0.6154100390510212,0.9993463336256077,0.9999999999999999,0.8474101023562368
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:21,218702718587982,223321423464298,218702718587982,218702718587982,218702718587982,218702718587982,218702718587982,218702718587982,218702718587982,218702718587982,218702718587982,13030818737489,-13430266145471,19814342256295,-15914396051484,19814342256295,-15914396051484,19814342256295,-15914396051484,19814342256295,-15914396051484,19814342256295,-15914396051484,19814342256295,-15914396051484,19814342256295,-15914396051484,19814342256295,-15914396051484,19814342256295,-15914396051484,-15914396051484,6,0.6117805827066423,0.9993501887033919,1.0,0.8703904661282327
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:22,219204473241535,218142446425794,219204473241535,219204473241535,219204473241535,219204473241535,219204473241535,219204473241535,219204473241535,219204473241535,219204473241535,9313315922708,-13430266145471,28218869293019,-15914396051484,28218869293019,-15914396051484,28218869293019,-15914396051484,28218869293019,-15914396051484,28218869293019,-15914396051484,28218869293019,-15914396051484,28218869293019,-15914396051484,28218869293019,-15914396051484,28218869293019,-15914396051484,-15914396051484,7,0.4295717778636808,0.9944028496730352,1.0,1.2201764664016768
2024-06-07 14:04:14,206900000000000,2024-06-07 14:04:23,219145874388703,217981261602932,219145874388703,219145874388703,219145874388703,219145874388703,219145874388703,219145874388703,219145874388703,219145874388703,219145874388703,9300440339275,-9185246713085,28218869293019,-16993423327659,28218869293019,-16993423327659,28218869293019,-16993423327659,28218869293019,-16993423327659,28218869293019,-16993423327659,28218869293019,-16993423327659,28218869293019,-16993423327659,28218869293019,-16993423327659,28218869293019,-16993423327659,-16993423327659,7,0.4295717778636808,0.9944028496730352,1.0,1.2201764664016768
