token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
23239815538,24463668888,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
23239915538,24453792038,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
23339915538,24552992038,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
25322115538,24552992038,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
25322615538,23973704518,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
24453792038,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
24552992038,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
24552992038,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
23973704518,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
6133136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904,6135136904
