token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
27172556387,28669835939,19097110209,17991858844,36308562102,44732920941,29905200987,10348924067
27172556387,28669835939,17903486264,17991858844,35793768297,44732920941,29905200987,10348924067
27172556387,25293866289,17903486264,17991858844,35543213480,44732920941,30005200987,10348924067
27172556387,25293866289,17886721114,18091858844,35543213480,44732920941,30035200987,10348924067
28669835939,19296141190,18054634560,18291858844,35543211836,44426466327,30035200987,10348924067
28669835939,19464148771,18054634560,18292358844,35496718557,44306652656,30035200987,10348924067
19296141190,19479698771,17410879791,18322358844,35689531230,44306652656,31793489667,10348924067
19477898771,19377582717,17860666237,18380358844,35642655868,45506652656,31762400228,9818987924
19479698771,18274184137,17860732054,18380149367,36159123989,45116025537,31361581406,9818987924
19430391184,18684384137,17960647572,18392358844,36159120741,45116025537,31361581406,9818987924
19430491184,18684384137,17960647572,18392358844,35888518423,45116025537,31361581406,9818987924
19377582717,19134384137,17960647572,18382728120,35888518423,45116025537,31361581406,9818987924
19927582717,19134384137,17965647572,18427829077,35570623406,45316025537,31361581406,9818987924
18274184137,19097110209,17965663044,18457829077,35590623406,44157409628,31361581406,9818987924
18684384137,19097110209,17965409486,18557829077,35683851480,44256409628,31361581406,9818987924
18684384137,17903486264,17965409486,18557829077,35683851480,46056409628,32361581406,9818987924
19134384137,17903486264,17968409486,18553316096,35683851480,46105909628,32361581406,9818987924
19134384137,17886721114,17968409486,18553316096,35683851480,46522946984,32142949812,9868987924
19097110209,18054634560,17968409486,18853316096,35683851480,45618123648,32642949812,9868987924
19097110209,18054634560,18418409486,19053316096,35696390334,44111712596,32642949812,9868987924
17903486264,18054834560,18418409486,19634764042,34848929340,43519269522,32642949812,9868987924
18054634560,17410879791,18418909486,20089296563,37498929340,43519269522,32642949812,9868987924
18054634560,17860466237,17991858844,20089296563,37347797556,43763783635,32642949812,9868987924
17411038560,17861066237,18091858844,20189296563,37347797556,43913783635,32467032658,9868987924
17410879791,17860732054,18291858844,19889613846,37845797556,48913783635,32467032658,9868987924
17860666237,17960647572,18322358844,19920613846,38245797556,48352354360,32472175117,9868987924
17861066237,17965647572,18322358844,20119519984,38245797556,48352354360,32662175117,9868987924
17860732054,17965663044,18322358844,20119519984,38245797556,50595352570,32662175117,9868987924
17960647572,17965409486,18322358844,20149519984,38245797556,50595352570,32662175117,9868987924
17960647572,17965409486,18322358844,20148498940,36275200120,50595352570,32662175117,9868987924
17960647572,17968409486,18380358844,20148498940,36775200120,49118590185,32662175117,9868987924
17965647572,17968409486,18380149367,20148498940,36775200120,48994753944,32662175117,9868987924
17965663044,17968409486,18380149367,20648498940,36785200120,48352927580,32662175117,9868987924
17965409486,18418409486,18392358844,20648498940,36785200120,48552927580,32662175117,9868987924
17968409486,18418409486,18427829077,20062627272,41449347120,48222694935,35162175117,9868987924
17968409486,18418909486,18457829077,20157260619,37611802778,48111600874,35162175117,9868987924
18418409486,17991858844,18557829077,20157260619,38866705925,48111600874,35162175117,9868987924
18418409486,17991858844,18553316096,20457260619,40866484696,50111600874,35262175117,9492659673
17991858844,18292358844,19053316096,20621765192,39189691932,49732901104,34776843296,9492659673
18291858844,18322358844,20089296563,20625265192,39676844979,50227901104,34926843296,9492659673
18292358844,18322358844,20089296563,20625265192,43669124236,50227901104,34926843296,9492659673
