token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
7231414621,7294864871,7301277786,7373810480,7540569436,7540569436,8388722403,8388722403
7233514621,7293606115,7311477786,7373810480,7540569436,7540569436,8388722403,8388722403
7283614621,7293606115,7381677786,7373810480,7540569436,7540569436,8388722403,8388722403
7283614621,7293806115,7396677786,7373810480,7540569436,7540569436,8388722403,8388722403
7283614621,7294606115,7396677786,7373810480,7540569436,7540569436,8388722403,8388722403
7294864871,7294706115,7396345285,7373810480,7540569436,7540569436,8388722403,8388722403
7293606115,7364906115,7360100507,7373810480,7540569436,7540569436,8388722403,8388722403
7293606115,7364906115,7360100507,7373810480,7540569436,7540569436,8388722403,8388722403
7294706115,7364906115,7359671890,7361300832,7540569436,7540569436,8388722403,8388722403
7364906115,7385406115,7359550982,7361300832,7540569436,7540569436,8388722403,8388722403
7364906115,7385406115,7359447935,7361300832,7540569436,7540569436,8388722403,8388722403
7364906115,7425506115,7359647935,7361300832,7540569436,7540569436,8388722403,8388722403
7364906115,7425506115,7359204515,7361300832,7540569436,7540569436,8388722403,8388722403
7385406115,7425506115,7358955288,7361300832,7540569436,7540569436,8388722403,8388722403
7425506115,7311477786,7358713501,7361300832,7540569436,7540569436,8388722403,8388722403
7425454411,7396677786,7373810480,7361300832,7540569436,7540569436,8388722403,8388722403
7396677786,7359792813,7373810480,7661300832,7540569436,7540569436,8388722403,8388722403
7396345285,7359671890,7373810480,7660203986,7540569436,7540569436,8388722403,8388722403
7360100507,7359550982,7373810480,7660203986,7540569436,7540569436,8388722403,8388722403
7360100507,7359447935,7373810480,7550727757,7540569436,7540569436,8388722403,8388722403
7359792813,7359447935,7373810480,7550727757,7540569436,7540569436,8388722403,8388722403
7359671890,7359204515,7373810480,7550727757,7540569436,7540569436,8388722403,8388722403
7359550982,7358955288,7373810480,7550727757,7540569436,7540569436,8388722403,8388722403
7359447935,7358713501,7373810480,7550727757,7540569436,7540569436,8388722403,8388722403
7359204515,7358713501,7361300832,7550727757,7540569436,7540569436,8388722403,8388722403
7358955288,7358713501,7361300832,7550727757,7540569436,7540569436,8388722403,8388722403
7358713501,7373610480,7361300832,7550727757,7540569436,7540569436,8388722403,8388722403
7358713501,7373810480,7361300832,7550727757,7540569436,7540569436,8388722403,8388722403
7358713501,7373810480,7361300832,7550727757,7540569436,7540569436,8388722403,8388722403
7358713501,7373810480,7361300832,7550727757,7540569436,7540569436,8388722403,8388722403
7373610480,7373810480,7361300832,7550727757,7540569436,7540569436,8388722403,8388722403
7373810480,7373810480,7361300832,7551227757,7540569436,7540569436,8388722403,8388722403
7373810480,7373810480,7361300832,7551227757,7540569436,7540569436,8388722403,8388722403
7361300832,7361300832,7550727757,7540569436,7540569436,7540569436,8388722403,8388722403
7660203986,7550727757,7551227757,7540569436,7540569436,7540569436,8388722403,8388722403
7550727757,7550727757,7551227757,7540569436,7540569436,7540569436,8388722403,8388722403
7550727757,7550727757,7540569436,7540569436,7540569436,7540569436,8388722403,8388722403
7551227757,7540569436,7540569436,7540569436,7540569436,7540569436,8388722403,8388722403
7540569436,7540569436,7540569436,7540569436,7540569436,7540569436,8388722403,8388722403
7640569436,7640569436,7640569436,7640569436,7640569436,7398722403,8388722403,8388722403
7640569436,7640569436,7640569436,7640569436,7640569436,7398722403,8388722403,8388722403
8140569436,8140569436,8140569436,7807603733,7398722403,8388722403,8388722403,8388722403
7807603733,7807603733,7807603733,7348722403,7398722403,8388722403,8388722403,8388722403
7348722403,7348722403,7398722403,7398722403,8388722403,8388722403,8388722403,8388722403
7398722403,7398722403,7398722403,7398722403,8388722403,8388722403,8388722403,8388722403
8388722403,8388722403,8388722403,8388722403,8388722403,8388722403,8388722403,8388722403
