open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:24,165187706360778,165187706360778,165187706360778,165187706360778,165187706360778,165187706360778,165187706360778,165187706360778,165187706360778,165187706360778,165187706360778,0,-41712293639222,0,-41712293639222,0,-41712293639222,0,-41712293639222,0,-41712293639222,0,-41712293639222,0,-41712293639222,0,-41712293639222,0,-41712293639222,0,-41712293639222,-41712293639222,0,0.0,0.0,0.0,0.0
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:25,164979930385450,164979930385450,164979930385450,164979930385450,164979930385450,164979930385450,164979930385450,164979930385450,164979930385450,164979930385450,164979930385450,0,-41920069614550,0,-41920069614550,0,-41920069614550,0,-41920069614550,0,-41920069614550,0,-41920069614550,0,-41920069614550,0,-41920069614550,0,-41920069614550,0,-41920069614550,-41920069614550,0,0.0,0.0,0.0,0.0
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:26,186253200141453,186253200141453,186253200141453,186253200141453,186253200141453,186253200141453,186253200141453,186253200141453,186253200141453,186253200141453,186253200141453,21273269756003,-42232598557406,21273269756003,-42232598557406,21273269756003,-42232598557406,21273269756003,-42232598557406,21273269756003,-42232598557406,21273269756003,-42232598557406,21273269756003,-42232598557406,21273269756003,-42232598557406,21273269756003,-42232598557406,21273269756003,-42232598557406,-42232598557406,1,1.0,1.0,1.0,0.0
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:27,185940038760796,185940038760796,185940038760796,185940038760796,185940038760796,185940038760796,185940038760796,185940038760796,185940038760796,185940038760796,185940038760796,29331775908278,-46716620631311,29331775908278,-46716620631311,29331775908278,-46716620631311,29331775908278,-46716620631311,29331775908278,-46716620631311,29331775908278,-46716620631311,29331775908278,-46716620631311,29331775908278,-46716620631311,29331775908278,-46716620631311,29331775908278,-46716620631311,-46716620631311,2,0.7252636124906187,1.0,1.0,0.5879130569508517
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:28,189493261700618,189493261700618,189493261700618,189493261700618,189493261700618,189493261700618,189493261700618,189493261700618,189493261700618,189493261700618,189493261700618,29331775908278,-47954369751885,29331775908278,-47954369751885,29331775908278,-47954369751885,29331775908278,-47954369751885,29331775908278,-47954369751885,29331775908278,-47954369751885,29331775908278,-47954369751885,29331775908278,-47954369751885,29331775908278,-47954369751885,29331775908278,-47954369751885,-47954369751885,2,0.7252636124906187,1.0,1.0,0.5879130569508517
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:29,188307418631723,165187706360778,188307418631723,188307418631723,188307418631723,188307418631723,188307418631723,188307418631723,188307418631723,188307418631723,188307418631723,29361788383608,-47954369751885,29361788383608,-47954369751885,29361788383608,-47954369751885,29361788383608,-47954369751885,29361788383608,-47954369751885,29361788383608,-47954369751885,29361788383608,-47954369751885,29361788383608,-47954369751885,29361788383608,-47954369751885,29361788383608,-47954369751885,-47954369751885,3,0.7245222763024669,0.9999999999999999,0.9999999999999999,0.5953721869267666
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:32,189175258648121,185940038760796,189175258648121,189175258648121,189175258648121,189175258648121,189175258648121,189175258648121,189175258648121,189175258648121,189175258648121,9063564058228,-5939690059276,30336833814231,-48172288616682,30336833814231,-48172288616682,30336833814231,-48172288616682,30336833814231,-48172288616682,30336833814231,-48172288616682,30336833814231,-48172288616682,30336833814231,-48172288616682,30336833814231,-48172288616682,30336833814231,-48172288616682,-48172288616682,4,0.7012356624383035,1.0,1.0,0.6356323612404767
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:33,189064109370643,189493261700618,189064109370643,189064109370643,189064109370643,189064109370643,189064109370643,189064109370643,189064109370643,189064109370643,189064109370643,1879229723397,-1552438562559,31211005631675,-48269059193870,31211005631675,-48269059193870,31211005631675,-48269059193870,31211005631675,-48269059193870,31211005631675,-48269059193870,31211005631675,-48269059193870,31211005631675,-48269059193870,31211005631675,-48269059193870,31211005631675,-48269059193870,-48269059193870,5,0.6815951400942196,1.0,1.0,0.652857343725889
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:36,172245916443312,188307418631723,186253200141453,172245916443312,172245916443312,172245916443312,172245916443312,172245916443312,172245916443312,172245916443312,172245916443312,19445247242560,-18908795681990,48807035626168,-24943095819325,48807035626168,-66863165433875,48807035626168,-66863165433875,48807035626168,-66863165433875,48807035626168,-66863165433875,48807035626168,-66863165433875,48807035626168,-66863165433875,48807035626168,-66863165433875,48807035626168,-66863165433875,-66863165433875,6,0.43586481914089636,0.9998702686822756,0.9999999999999999,1.0712058196110232
2024-06-08 13:13:24,206900000000000,2024-06-08 13:13:37,189711710208691,189175258648121,185940038760796,189711710208691,189711710208691,189711710208691,189711710208691,189711710208691,189711710208691,189711710208691,189711710208691,20313087258958,-19346379723141,28401605886563,-25068150917620,49674875642566,-67300749475026,49674875642566,-67300749475026,49674875642566,-67300749475026,49674875642566,-67300749475026,49674875642566,-67300749475026,49674875642566,-67300749475026,49674875642566,-67300749475026,49674875642566,-67300749475026,-67300749475026,6,0.42825008579939167,0.9998725351404689,0.9999999999999999,1.0799526842177327
