open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:10,183705808363930,183705808363930,183705808363930,183705808363930,183705808363930,183705808363930,183705808363930,183705808363930,183705808363930,183705808363930,183705808363930,0,-148169788333935,0,-148169788333935,0,-148169788333935,0,-148169788333935,0,-148169788333935,0,-148169788333935,0,-148169788333935,0,-148169788333935,0,-148169788333935,0,-148169788333935,-148169788333935,0,0.0,0.0,0.0,0.0
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:11,58726015067404,58726015067404,58726015067404,58726015067404,58726015067404,58726015067404,58726015067404,58726015067404,58726015067404,58726015067404,58726015067404,0,-157083642434384,0,-157083642434384,0,-157083642434384,0,-157083642434384,0,-157083642434384,0,-157083642434384,0,-157083642434384,0,-157083642434384,0,-157083642434384,0,-157083642434384,-157083642434384,0,0.0,0.0,0.0,0.0
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:12,49816312288900,49816312288900,49816312288900,49816312288900,49816312288900,49816312288900,49816312288900,49816312288900,49816312288900,49816312288900,49816312288900,0,-160083458050318,0,-160083458050318,0,-160083458050318,0,-160083458050318,0,-160083458050318,0,-160083458050318,0,-160083458050318,0,-160083458050318,0,-160083458050318,0,-160083458050318,-160083458050318,0,0.0,0.0,0.0,0.0
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:13,46763293276124,46763293276124,46763293276124,46763293276124,46763293276124,46763293276124,46763293276124,46763293276124,46763293276124,46763293276124,46763293276124,0,-161654589899572,0,-161654589899572,0,-161654589899572,0,-161654589899572,0,-161654589899572,0,-161654589899572,0,-161654589899572,0,-161654589899572,0,-161654589899572,0,-161654589899572,-161654589899572,0,0.0,0.0,0.0,0.0
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:14,45183261727200,45183261727200,45183261727200,45183261727200,45183261727200,45183261727200,45183261727200,45183261727200,45183261727200,45183261727200,45183261727200,7572669700987,-162233464752115,7572669700987,-162233464752115,7572669700987,-162233464752115,7572669700987,-162233464752115,7572669700987,-162233464752115,7572669700987,-162233464752115,7572669700987,-162233464752115,7572669700987,-162233464752115,7572669700987,-162233464752115,7572669700987,-162233464752115,-162233464752115,2,0.9986427000344859,1.0,1.0,0.010317622798955962
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:15,52239210299146,183705808363930,52239210299146,52239210299146,52239210299146,52239210299146,52239210299146,52239210299146,52239210299146,52239210299146,52239210299146,20068037964811,-162235123252722,20068037964811,-162235123252722,20068037964811,-162235123252722,20068037964811,-162235123252722,20068037964811,-162235123252722,20068037964811,-162235123252722,20068037964811,-162235123252722,20068037964811,-162235123252722,20068037964811,-162235123252722,20068037964811,-162235123252722,-162235123252722,6,0.3768376026557025,0.999999733393269,1.0,1.3222266211236486
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:16,63978189396011,58726015067404,63978189396011,63978189396011,63978189396011,63978189396011,63978189396011,63978189396011,63978189396011,63978189396011,63978189396011,20068037964811,-15557368290920,20068037964811,-163727156624855,20068037964811,-163727156624855,20068037964811,-163727156624855,20068037964811,-163727156624855,20068037964811,-163727156624855,20068037964811,-163727156624855,20068037964811,-163727156624855,20068037964811,-163727156624855,20068037964811,-163727156624855,-163727156624855,6,0.3768376026557025,0.999999733393269,1.0,1.3222266211236486
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:17,63001291782940,49816312288900,63001291782940,63001291782940,63001291782940,63001291782940,63001291782940,63001291782940,63001291782940,63001291782940,63001291782940,20068037964811,-7944973494040,20068037964811,-165028615928424,20068037964811,-165028615928424,20068037964811,-165028615928424,20068037964811,-165028615928424,20068037964811,-165028615928424,20068037964811,-165028615928424,20068037964811,-165028615928424,20068037964811,-165028615928424,20068037964811,-165028615928424,-165028615928424,6,0.3768376026557025,0.999999733393269,1.0,1.3222266211236486
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:18,61823129748207,46763293276124,61823129748207,61823129748207,61823129748207,61823129748207,61823129748207,61823129748207,61823129748207,61823129748207,61823129748207,20068037964811,-5404275443854,20068037964811,-165487733494172,20068037964811,-165487733494172,20068037964811,-165487733494172,20068037964811,-165487733494172,20068037964811,-165487733494172,20068037964811,-165487733494172,20068037964811,-165487733494172,20068037964811,-165487733494172,20068037964811,-165487733494172,-165487733494172,6,0.3768376026557025,0.999999733393269,1.0,1.3222266211236486
2024-06-08 22:24:10,206900000000000,2024-06-08 22:24:19,64067773754547,45183261727200,64067773754547,64067773754547,64067773754547,64067773754547,64067773754547,64067773754547,64067773754547,64067773754547,64067773754547,29002559075296,-5101376849057,29002559075296,-166755966748629,29002559075296,-166755966748629,29002559075296,-166755966748629,29002559075296,-166755966748629,29002559075296,-166755966748629,29002559075296,-166755966748629,29002559075296,-166755966748629,29002559075296,-166755966748629,29002559075296,-166755966748629,-166755966748629,9,0.26074910483001296,0.8657256490885622,0.9999999999999999,1.8286254749305684
