token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
5984791746,6253291746,6010270135,5974145480,8025075303,1286374,1286374,1286374
5984991746,6253291746,6035220135,5974145480,8025075303,1286374,1286374,1286374
5985091746,6253491746,6035320135,6015177691,8025075303,1286374,1286374,1286374
5985291746,6253491746,6035320135,8183973835,8025075303,1286374,1286374,1286374
6233191746,6253491746,6037020576,8183973835,8025075303,1286374,1286374,1286374
6253291746,6274091746,6037020576,8182891217,8025075303,1286374,1286374,1286374
6253291746,6288091746,6037520576,8182891217,8025075303,1286374,1286374,1286374
6253491746,6387091746,6047719855,7995551284,8025075303,1286374,1286374,1286374
6253491746,6387091746,6047516751,7995551284,8025075303,1286374,1286374,1286374
6253491746,6387091746,6047415197,7995551284,8025075303,1286374,1286374,1286374
6274091746,6387191746,6047415197,7995551284,8025075303,1286374,1286374,1286374
6387091746,6032337757,6047413640,7995551284,8025075303,1286374,1286374,1286374
6387191746,6010270135,5947350797,7952425439,8025075303,1286374,1286374,1286374
6032337757,6010270135,5946682106,7775352755,8025075303,1286374,1286374,1286374
6032337757,6010270135,5946682106,7775352755,8025075303,1286374,1286374,1286374
6010270135,6010270135,5954345480,7800352755,6617608105,1286374,1286374,1286374
6010270135,6035220135,5954345480,7811632503,6617608105,1286374,1286374,1286374
6010270135,6035320135,5954345480,7803059277,6617608105,1286374,1286374,1286374
6037520576,6047415197,5974145480,7803059277,6617608105,1286374,1286374,1286374
6047719855,6047413640,6015177691,7965077860,6617608105,1286374,1286374,1286374
6047415197,5942350797,8183973835,7965077860,6617608105,1286374,1286374,1286374
6047415197,5946682106,8182891217,7965077860,6617608105,1286374,1286374,1286374
6047413640,5946682106,7995551284,7965077860,6617608105,1286374,1286374,1286374
5842445557,5946682106,7995551284,7965077860,6617608105,1286374,1286374,1286374
5942350797,5954345480,7995551284,7951103899,6617608105,1286374,1286374,1286374
5946682106,5954345480,7995551284,7951103899,6617608105,1286374,1286374,1286374
5946682106,5954345480,7952425439,7948517956,6617608105,1286374,1286374,1286374
5954345480,5954345480,7952425439,7948517956,6617608105,1286374,1286374,1286374
5954345480,5974145480,7952425439,7948517956,6617608105,1286374,1286374,1286374
5954345480,5974145480,7775352755,7948517956,6617608105,1286374,1286374,1286374
5954345480,5974145480,7800352755,7916646275,6617608105,1286374,1286374,1286374
5974145480,8182891217,7803059277,8012996607,6617608105,1286374,1286374,1286374
7995551284,7995551284,7965077860,8012996607,6472096124,1286374,1286374,1286374
7995551284,7952425439,7965077860,8012996607,6472096124,1286374,1286374,1286374
7995551284,7952425439,7965077860,8012996607,6472096124,1286374,1286374,1286374
7995551284,7775352755,7965077860,8012996607,6472096124,1286374,1286374,1286374
7775352755,7803059277,7948517956,8012996607,6472096124,1286374,1286374,1286374
7811632503,7803059277,7948517956,8012996607,5056018431,1286374,1286374,1286374
7803059277,7803059277,7916646275,7870289370,5055605895,1286374,1286374,1286374
7803059277,7803059277,7916646275,8216092368,5055605895,1286374,1286374,1286374
7803059277,7965077860,8012996607,8216092368,5055605895,1286374,1286374,1286374
7965077860,7951103899,8012996607,8216092368,5039601240,1286374,1286374,1286374
7948517956,7916646275,8012996607,7975405600,5039601240,1286374,1286374,1286374
7948517956,8012996607,8012996607,7975405600,5039601240,1286374,1286374,1286374
8012996607,8012996607,7870289370,7975405600,4998301701,1286374,1286374,1286374
8012996607,8012996607,8216092368,7975405600,4998301701,1286374,1286374,1286374
8216092368,8216092368,7975405600,7876853329,4998301701,1286374,1286374,1286374
8216092368,8216092368,7975405600,7876853329,4998301701,1286374,1286374,1286374
8216092368,8216092368,7975405600,7876853329,4998301701,1286374,1286374,1286374
7975405600,7975405600,7975405600,7876853329,4998301701,1286374,1286374,1286374
7876853329,7876853329,7876853329,7875075303,1286374,1286374,1286374,1286374
7875075303,7875075303,7875075303,8025075303,1286374,1286374,1286374,1286374
8025075303,8025075303,8025075303,6617608105,1286374,1286374,1286374,1286374
6617608105,6617608105,6617608105,5055605895,1286374,1286374,1286374,1286374
6472096124,6472096124,5039601240,4998301701,1286374,1286374,1286374,1286374
5055605895,5055605895,5039601240,4998301701,1286374,1286374,1286374,1286374
5055605895,5055605895,4998301701,4998301701,1286374,1286374,1286374,1286374
5039601240,5039601240,4998301701,4998301701,1286374,1286374,1286374,1286374
4998301701,4998301701,4998301701,4983520536,1286374,1286374,1286374,1286374
4983520536,4983520536,1286374,1286374,1286374,1286374,1286374,1286374
4983520536,4983520536,1286374,1286374,1286374,1286374,1286374,1286374
1286374,1286374,1286374,1286374,1286374,1286374,1286374,1286374
