open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:04,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,0,5,0.7142857142857143,0.9999999999999999,0.9999999999999999,0.9943536917623688
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:05,700001900000,700001900000,700001900000,700001900000,700001900000,700001900000,700001900000,700001900000,700001900000,700001900000,700001900000,52200000,0,52200000,0,52200000,0,52200000,0,52200000,0,52200000,0,52200000,0,52200000,0,52200000,0,52200000,0,0,9,0.9578544061302682,0.9923371647509579,1.0,0.24279520461764498
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:06,700052700000,700052700000,700052700000,700052700000,700052700000,700052700000,700052700000,700052700000,700052700000,700052700000,700052700000,53300000,0,53300000,0,53300000,0,53300000,0,53300000,0,53300000,0,53300000,0,53300000,0,53300000,0,53300000,0,0,13,0.9380863039399625,0.9793621013133209,0.9943714821763603,0.36488266861264207
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:07,700053600000,700053600000,700053600000,700053600000,700053600000,700053600000,700053600000,700053600000,700053600000,700053600000,700053600000,64200000,0,64200000,0,64200000,0,64200000,0,64200000,0,64200000,0,64200000,0,64200000,0,64200000,0,64200000,0,0,17,0.778816199376947,0.9657320872274142,0.9875389408099687,0.819994064224477
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:08,700064300000,700064300000,700064300000,700064300000,700064300000,700064300000,700064300000,700064300000,700064300000,700064300000,700064300000,64950000,0,64950000,0,64950000,0,64950000,0,64950000,0,64950000,0,64950000,0,64950000,0,64950000,0,64950000,0,0,21,0.7698229407236336,0.9545804464973056,0.9807544264819092,0.8849324470286967
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:09,700065050000,700000100000,700065050000,700065050000,700065050000,700065050000,700065050000,700065050000,700065050000,700065050000,700065050000,65250000,0,65250000,0,65250000,0,65250000,0,65250000,0,65250000,0,65250000,0,65250000,0,65250000,0,65250000,0,0,24,0.7662835249042146,0.950191570881226,0.9762452107279693,0.9152477404095206
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:10,700065350000,700001900000,700065350000,700065350000,700065350000,700065350000,700065350000,700065350000,700065350000,700065350000,700065350000,64250000,-49752196,65650000,-49752196,65650000,-49752196,65650000,-49752196,65650000,-49752196,65650000,-49752196,65650000,-49752196,65650000,-49752196,65650000,-49752196,65650000,-49752196,-49752196,28,0.7616146230007617,0.9444021325209444,0.9702970297029703,0.9552698107135569
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:11,700015997804,700052700000,700015997804,700015997804,700015997804,700015997804,700015997804,700015997804,700015997804,700015997804,700015997804,13550000,-49752196,65750000,-49752196,65750000,-49752196,65750000,-49752196,65750000,-49752196,65750000,-49752196,65750000,-49752196,65750000,-49752196,65750000,-49752196,65750000,-49752196,-49752196,29,0.7604562737642585,0.9429657794676805,0.9688212927756652,0.9652050413009975
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:13,700016097804,700064300000,700016097804,700016097804,700016097804,700016097804,700016097804,700016097804,700016097804,700016097804,700016097804,1750000,-49752196,65950000,-49752196,65950000,-49752196,65950000,-49752196,65950000,-49752196,65950000,-49752196,65950000,-49752196,65950000,-49752196,65950000,-49752196,65950000,-49752196,-49752196,31,0.7581501137225171,0.9401061410159213,0.9658832448824868,0.9849920287021283
2024-06-08 00:52:04,700000000000,2024-06-08 00:52:20,700016697804,700016097804,700065350000,700016697804,700016697804,700016697804,700016697804,700016697804,700016697804,700016697804,700016697804,500000,0,1200000,-49752196,66450000,-49752196,66450000,-49752196,66450000,-49752196,66450000,-49752196,66450000,-49752196,66450000,-49752196,66450000,-49752196,66450000,-49752196,-49752196,32,0.7524454477050414,0.9330323551542513,0.963130173062453,1.0218681253001745
