token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
43400777196,11913732655,17190382660,17196830910,17607595563,18387733749,26208746778,24763782520
10753932655,12112532655,17190382660,17196830910,17607595563,18387733749,26195760997,24763782520
10753932655,11989713475,17190382660,17196830910,17607595563,18387733749,26195760997,24763782520
11803932655,11989813475,17253762660,17196830910,17607595563,18387733749,26395760997,24763782520
11913732655,15340413475,17253554208,17197030910,18857595563,18387733749,26395760997,24763782520
12112532655,17131283870,17253345751,18233330910,18857595563,18387733749,26395760997,24763782520
11989813475,17121328923,17252928879,18233330910,18857595563,18387733749,26395760997,24763782520
11990413475,17121728923,17252928879,18233117555,17613425910,18387733749,26395760997,24763782520
15340413475,17121728923,17252928879,18233117555,17613425910,18387733749,26395760997,24763782520
17131283870,17181928923,17500845754,18233117555,17613425910,18387733749,26395760997,24763782520
17131783870,17176669258,17501202356,18233117555,17613425910,18387733749,26395760997,24763782520
17121328923,17051968894,17495532205,18233117555,17763205285,18387733749,26395760997,24763782520
17121728923,17552468894,17494674882,18233117555,17763205285,18387733749,26395760997,24763782520
17121728923,17602364335,17494246218,18233117555,17763205285,18387733749,26395760997,24763782520
17181928923,17602364335,17523819607,18233117555,17763205285,18387733749,26395760997,24763782520
17176669258,17602364335,17523604551,18233117555,17763205285,18387733749,26395760997,24763782520
17051968894,17602364335,17523604551,18233117555,17763205285,18387733749,26395760997,24763782520
17552468894,17602564335,17311514122,18233117555,17763205285,18387733749,26395760997,24763782520
17602364335,17190382660,17693690507,17635163971,17763205285,18387733749,26395760997,24763782520
17602364335,17190382660,17693690507,17413512162,17763205285,18387733749,26395760997,24763782520
17602364335,17253762660,17693690507,17413512162,17763205285,18387733749,26395760997,24763782520
17602564335,17253762660,17693690507,17413512162,17763205285,18387733749,26261651784,24763782520
17190382660,17253554208,17188407615,17413512162,17763205285,18387733749,26261651784,24763782520
17253762660,17252928879,17196830910,17413512162,17763205285,18387733749,26261651784,24763782520
17253554208,17252928879,17196830910,17413512162,17763205285,18387733749,25691324738,24763782520
17252928879,17495532205,17196830910,17413512162,17763205285,18427733749,25691324738,24763782520
17252928879,17494246218,17197030910,17413512162,17763205285,18427733749,25691324738,24763782520
17500845754,17523819607,18233330910,17383062768,17763205285,18427733749,25691324738,24763782520
17501202356,17523604551,18233330910,17413512162,17763205285,18427733749,25691324738,24763782520
17523819607,17693690507,18233117555,17167414727,17763205285,18427733749,25925167642,24763782520
