open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:30,14060000000,14060000000,14060000000,14060000000,14060000000,14060000000,14060000000,14060000000,14060000000,14060000000,14060000000,22680000000,0,22680000000,0,22680000000,0,22680000000,0,22680000000,0,22680000000,0,22680000000,0,22680000000,0,22680000000,0,22680000000,0,0,27,0.07142857142857142,0.3306878306878307,0.5952380952380951,3.119815505662811
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:31,37680000000,37680000000,37680000000,37680000000,37680000000,37680000000,37680000000,37680000000,37680000000,37680000000,37680000000,23900000000,0,23900000000,0,23900000000,0,23900000000,0,23900000000,0,23900000000,0,23900000000,0,23900000000,0,23900000000,0,23900000000,0,0,32,0.06778242677824267,0.3138075313807531,0.5648535564853557,3.197737980471411
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:32,38197000000,38197000000,38197000000,38197000000,38197000000,38197000000,38197000000,38197000000,38197000000,38197000000,38197000000,25197301000,0,25197301000,0,25197301000,0,25197301000,0,25197301000,0,25197301000,0,25197301000,0,25197301000,0,25197301000,0,25197301000,0,0,36,0.06429260022730213,0.2976509269782506,0.535771668560851,3.26377477197529
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:33,39272301000,39272301000,39272301000,39272301000,39272301000,39272301000,39272301000,39272301000,39272301000,39272301000,39272301000,25272801000,-1079708535,25272801000,-1079708535,25272801000,-1079708535,25272801000,-1079708535,25272801000,-1079708535,25272801000,-1079708535,25272801000,-1079708535,25272801000,-1079708535,25272801000,-1079708535,25272801000,-1079708535,-1079708535,38,0.06410053242614461,0.296761724195114,0.5341711035512051,3.2744932961200672
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:34,38193292465,38193292465,38193292465,38193292465,38193292465,38193292465,38193292465,38193292465,38193292465,38193292465,38193292465,26264701000,-2064889022,26264701000,-2064889022,26264701000,-2064889022,26264701000,-2064889022,26264701000,-2064889022,26264701000,-2064889022,26264701000,-2064889022,26264701000,-2064889022,26264701000,-2064889022,26264701000,-2064889022,-2064889022,44,0.06167974270866438,0.2855543643919647,0.5139978559055365,3.312221376185444
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:36,53992185248,37680000000,53992185248,53992185248,53992185248,53992185248,53992185248,53992185248,53992185248,53992185248,53992185248,24377074270,-20354527271,47057074270,-20354527271,47057074270,-20354527271,47057074270,-20354527271,47057074270,-20354527271,47057074270,-20354527271,47057074270,-20354527271,47057074270,-20354527271,47057074270,-20354527271,47057074270,-20354527271,-20354527271,46,0.3356004068461182,0.5413080533618989,0.6815632668953858,2.7788095522954843
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:37,40702545929,38197000000,40702545929,40702545929,40702545929,40702545929,40702545929,40702545929,40702545929,40702545929,40702545929,23157074270,-20354528341,47057074270,-20354528341,47057074270,-20354528341,47057074270,-20354528341,47057074270,-20354528341,47057074270,-20354528341,47057074270,-20354528341,47057074270,-20354528341,47057074270,-20354528341,47057074270,-20354528341,-20354528341,46,0.3356004068461182,0.5413080533618989,0.6815632668953858,2.7788095522954843
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:40,40702645929,38193292465,14060000000,40702645929,40702645929,40702645929,40702645929,40702645929,40702645929,40702645929,40702645929,20792473270,-18289639319,47057174270,-20354528341,47057174270,-20354528341,47057174270,-20354528341,47057174270,-20354528341,47057174270,-20354528341,47057174270,-20354528341,47057174270,-20354528341,47057174270,-20354528341,47057174270,-20354528341,-20354528341,47,0.33559969367025916,0.5413069030419706,0.6815618185226828,2.7788335292836237
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:41,40702745929,53992185248,37680000000,40702745929,40702745929,40702745929,40702745929,40702745929,40702745929,40702745929,40702745929,20797773270,-18289639319,24382474270,-20354528341,47062474270,-20354528341,47062474270,-20354528341,47062474270,-20354528341,47062474270,-20354528341,47062474270,-20354528341,47062474270,-20354528341,47062474270,-20354528341,47062474270,-20354528341,-20354528341,50,0.33556189968675015,0.5412459430811817,0.681485063577385,2.77968560445737
2024-06-10 19:07:30,14000000000,2024-06-10 19:07:43,40737945929,40702545929,39272301000,40737945929,40737945929,40737945929,40737945929,40737945929,40737945929,40737945929,40737945929,40600000,0,21900373270,-20354528341,47097674270,-20354528341,47097674270,-20354528341,47097674270,-20354528341,47097674270,-20354528341,47097674270,-20354528341,47097674270,-20354528341,47097674270,-20354528341,47097674270,-20354528341,-20354528341,54,0.33531110643523504,0.5408414250770179,0.68097573324187,2.7840694848930667
