token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
149934074691,146467369046,149136178750,358979075567,462720182018,503462200465,22364,22364
149934674691,146467369046,147422199347,359986425207,451638077410,527045519681,22364,22364
147810546775,146497769046,147422199347,376682611343,457279329500,538875487590,22364,22364
147810546775,148731862325,147422199347,424256979526,452238028350,538974487590,22364,22364
146467369046,144972329216,147422199347,447374080024,450981575606,556296175226,22364,22364
146467369046,144972329216,150231049076,450579154135,450981575606,562968114618,22364,22364
146467369046,146198900757,150231049076,476839916558,453305260914,582207374820,22364,22364
146497769046,146198900757,150231049076,497636016132,453674483034,585704859772,22364,22364
144972329216,146198900757,156750780175,500986049269,455611941886,585704859772,22364,22364
146198900757,146198900757,195121733010,508720528493,450273608530,603404034117,22364,22364
146198900757,146198900757,224792971823,459790891759,450273608530,634274694777,22364,22364
146198900757,146198900757,242829027061,455469554801,450273608530,649673344844,22364,22364
146198900757,146198900757,259430676514,475868617711,451830845986,651282542535,22364,22364
147422199347,150528049076,358979075567,382683121234,504799610184,446062939351,22364,22364
147422199347,156750780175,358979075567,355019919548,512166707710,405285080987,22364,22364
150231049076,156750780175,359078075567,358944932952,507659381281,398427231485,22364,22364
156750780175,242829027061,450579154135,378103149151,508958641242,389613101209,22364,22364
224792971823,272137340620,500146430269,401280534725,500545167151,378408014203,22364,22364
242829027061,285778791180,500986049269,405067963273,504401680724,378506352003,22364,22364
259430676514,305165822487,511084049269,439534137235,500225979999,373368140680,22364,22364
272137340620,312082147633,508720528493,445429475099,487549777837,373368140680,22364,22364
272137340620,312082147633,459790891759,455933644745,461845934817,373455315680,22364,22364
285778791180,326269345608,455469554801,461151172750,463198351183,372549163624,22364,22364
305165822487,339331649886,475868617711,468106415115,477741511568,357499244725,22364,22364
312082147633,349458583759,473285997729,471100530358,463519022012,348042714007,22364,22364
326269345608,358979075567,476975856655,466763763436,456968082679,332409945386,22364,22364
336228431653,359078075567,468181656196,468697849182,456530631506,323608391921,22364,22364
339331649886,359986425207,452017465096,477426941476,451213424044,323003681368,22364,22364
349458583759,376682611343,451681888059,471237861606,451213424044,317922004020,22364,22364
358979075567,447374080024,459043763737,477418297925,450632870105,303394113352,22364,22364
359078075567,450579154135,358075275698,466200809112,460694037519,301576674831,22364,22364
359986425207,476839916558,367740222733,474396861685,475882896864,299024683960,22364,22364
376682611343,497636016132,372170149330,479250970947,483364195343,290281103234,22364,22364
424256979526,500146430269,382683121234,483428736396,483364195343,287335704124,22364,22364
