open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:39,23000000000,23000000000,23000000000,23000000000,23000000000,23000000000,23000000000,23000000000,23000000000,23000000000,23000000000,19000000000,0,19000000000,0,19000000000,0,19000000000,0,19000000000,0,19000000000,0,19000000000,0,19000000000,0,19000000000,0,19000000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:41,23003000000,23003000000,23003000000,23003000000,23003000000,23003000000,23003000000,23003000000,23003000000,23003000000,23003000000,21565000000,0,21565000000,0,21565000000,0,21565000000,0,21565000000,0,21565000000,0,21565000000,0,21565000000,0,21565000000,0,21565000000,0,0,12,0.8810572687224669,0.9997681428240204,0.9999907257129609,0.5275938495408883
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:42,25575000000,25575000000,25575000000,25575000000,25575000000,25575000000,25575000000,25575000000,25575000000,25575000000,25575000000,24575900000,0,24575900000,0,24575900000,0,24575900000,0,24575900000,0,24575900000,0,24575900000,0,24575900000,0,24575900000,0,24575900000,0,0,19,0.7731151249801635,0.9798216952380177,0.9999430336223699,0.8379709065152067
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:43,28576000000,28576000000,28576000000,28576000000,28576000000,28576000000,28576000000,28576000000,28576000000,28576000000,28576000000,25175650000,-4797184,25175650000,-4797184,25175650000,-4797184,25175650000,-4797184,25175650000,-4797184,25175650000,-4797184,25175650000,-4797184,25175650000,-4797184,25175650000,-4797184,25175650000,-4797184,-4797184,30,0.7546974953973383,0.9564797731141003,0.999735855876611,0.9483656473185844
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:44,29170952816,23000000000,29170952816,29170952816,29170952816,29170952816,29170952816,29170952816,29170952816,29170952816,29170952816,25175850000,-17737331,25175850000,-17737331,25175850000,-17737331,25175850000,-17737331,25175850000,-17737331,25175850000,-17737331,25175850000,-17737331,25175850000,-17737331,25175850000,-17737331,25175850000,-17737331,-17737331,32,0.7546914999890768,0.9564721747229984,0.9997279138539513,0.9484648523579717
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:46,29159612669,23003000000,29159612669,29159612669,29159612669,29159612669,29159612669,29159612669,29159612669,29159612669,29159612669,6228050000,-17737331,25228050000,-17737331,25228050000,-17737331,25228050000,-17737331,25228050000,-17737331,25228050000,-17737331,25228050000,-17737331,25228050000,-17737331,25228050000,-17737331,25228050000,-17737331,-17737331,36,0.7531299486087906,0.9544931138157725,0.9994430802222128,0.9617904704624681
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:47,29210812669,25575000000,29210812669,29210812669,29210812669,29210812669,29210812669,29210812669,29210812669,29210812669,29210812669,3664550000,-17737331,25229550000,-17737331,25229550000,-17737331,25229550000,-17737331,25229550000,-17737331,25229550000,-17737331,25229550000,-17737331,25229550000,-17737331,25229550000,-17737331,25229550000,-17737331,-17737331,38,0.7530851719511445,0.9544363652938717,0.9993836592408504,0.962409090299187
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:48,29212012669,28576000000,29212012669,29212012669,29212012669,29212012669,29212012669,29212012669,29212012669,29212012669,29212012669,653950000,-67496567,25229850000,-67496567,25229850000,-67496567,25229850000,-67496567,25229850000,-67496567,25229850000,-67496567,25229850000,-67496567,25229850000,-67496567,25229850000,-67496567,25229850000,-67496567,-67496567,40,0.7530762172585251,0.9544250163992256,0.999371775892445,0.9625519431702891
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:49,29162553433,29170952816,23000000000,29162553433,29162553433,29162553433,29162553433,29162553433,29162553433,29162553433,29162553433,55000000,-62699383,25230650000,-67496567,25230650000,-67496567,25230650000,-67496567,25230650000,-67496567,25230650000,-67496567,25230650000,-67496567,25230650000,-67496567,25230650000,-67496567,25230650000,-67496567,-67496567,44,0.7530523391192855,0.9543947539995997,0.9993400883449297,0.9629234684033424
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:52,29163053933,29210812669,25575000000,29163053933,29163053933,29163053933,29163053933,29163053933,29163053933,29163053933,29163053933,2600000,-49858736,3665650000,-67596067,25230650000,-67596067,25230650000,-67596067,25230650000,-67596067,25230650000,-67596067,25230650000,-67596067,25230650000,-67596067,25230650000,-67596067,25230650000,-67596067,-67596067,44,0.7530523391192855,0.9543947539995997,0.9993400883449297,0.9629234684033424
2024-06-08 00:19:39,4000000000,2024-06-08 00:19:53,29163153933,29212012669,28576000000,29163153933,29163153933,29163153933,29163153933,29163153933,29163153933,29163153933,29163153933,1200000,-49858736,654850000,-67596067,25230750000,-67596067,25230750000,-67596067,25230750000,-67596067,25230750000,-67596067,25230750000,-67596067,25230750000,-67596067,25230750000,-67596067,25230750000,-67596067,-67596067,45,0.7530493544583494,0.9543909713345818,0.9993361275427802,0.9629729139347303
