token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
160995756,269298429,327121253,322885006,946441859,782981533,675565316,788917462
260995756,280298429,326884049,322885006,946641859,782981533,675565316,788917462
249198429,280898429,326884049,322885006,946841859,782981533,675565316,788917462
259298429,281298429,326749235,322885006,946841859,782981533,675565316,788917462
269298429,281298429,326749235,322885006,946841859,783181533,675565316,788917462
269298429,281698429,326533215,322885006,946841859,783181533,675565316,788917462
280298429,309486015,326264562,322885006,1046841859,778897159,675565316,788917462
280898429,309486015,326150213,322885006,1046841859,828897159,675565316,788917462
281298429,285284494,326150213,322885006,1046841859,828897159,675565316,788917462
281298429,285284494,326150213,322885006,1046841859,828897159,675565316,788917462
309486015,285284494,325490400,322885006,1046841859,860897159,671865820,788917462
309486015,307484494,325490400,322885006,1046841859,860897159,671865820,788917462
285284494,307484494,324945398,322885006,1046841859,860897159,671865820,788917462
285284494,327231576,324347259,322885006,1145581154,860897159,671865820,788917462
285284494,327231576,324347259,322885006,1145581154,860897159,671865820,788917462
307484494,326921253,324347259,322885006,1145581154,860897159,671865820,788917462
327331576,326884049,324214342,322885006,1145581154,860897159,671865820,788917462
326921253,326749235,324214342,322885006,1105740484,860897159,671865820,788917462
327121253,326533215,322885006,322885006,1105740484,960897159,671865820,788917462
326884049,326150213,322885006,322885006,1105740484,960897159,671865820,788917462
326749235,326150213,322885006,404424006,1105740484,960897159,671865820,788917462
326533215,325722935,322885006,404424006,1135740484,862949896,671865820,788917462
326264562,325490400,322885006,404424006,1135740484,862949896,671865820,788917462
326150213,324945398,322885006,404424006,1135740484,862949896,671865820,788917462
325722935,324347259,322885006,404424006,1135740484,862949896,671865820,788917462
325490400,324347259,322885006,404424006,1155740484,862949896,671865820,788917462
325490400,324347259,322885006,404424006,1155740484,862949896,671865820,788917462
324347259,324214342,322885006,404270991,1155740484,867949896,671865820,788917462
324347259,324214342,322885006,404270991,1155740484,867949896,671865820,788917462
324347259,324214342,322885006,358253608,1155740484,867949896,668206671,788917462
324347259,324214342,322885006,358253608,1155740484,867949896,668206671,788917462
324214342,322885006,322885006,358253608,1155740484,867949896,668206671,788917462
322885006,322885006,322885006,358253608,1155740484,867949896,668206671,788917462
322885006,322885006,322885006,392831278,1155940484,867949896,668206671,788917462
404424006,404424006,394831278,529278172,1038976227,953851137,634907330,789117462
358253608,358253608,494597038,579278172,1089376227,1390324003,634907330,789117462
358253608,392831278,524597038,579124612,1189376227,1390324003,634907330,789117462
394831278,394831278,529278172,590124612,1189221659,1189126272,634907330,789117462
394831278,494597038,529278172,590124612,1189221659,1189126272,634907330,789117462
394831278,494597038,529278172,590124612,1189221659,1189126272,634907330,789117462
494597038,524597038,529278172,590124612,1189221659,1109909885,634907330,789117462
494597038,524597038,529278172,600124612,1189342796,1159909885,634907330,789117462
525097038,529278172,579278172,659916381,1200216521,1151059399,634907330,789117462
529278172,529278172,579124612,668078670,1400216521,1151059399,634907330,789117462
529278172,529278172,590124612,944791221,1400216521,1151059399,634907330,789117462
529278172,529278172,590124612,944443380,1400216521,1151059399,634907330,789117462
529278172,529278172,590124612,944095796,1400216521,1151059399,634907330,789117462
579278172,579124612,600124612,762858603,1400616521,1113559210,634907330,801417462
590124612,590124612,659916381,820499933,1400382372,1093030761,634907330,801417462
590124612,590124612,945352678,820499933,1400382372,1093030761,634907330,801417462
600124612,659916381,762858603,854476436,1271400597,1322305588,634907330,801417462
659916381,944443380,820499933,854476436,1151321779,1322305588,634907330,801417462
668078670,944095796,820499933,854476436,1151321779,1322305588,606197636,801417462
944095796,728776106,820499933,834247684,1151321779,1225188238,606197636,801417462
943956834,728610610,820499933,765361529,1151321779,1225188238,606197636,801417462
944156834,728161113,820499933,765361529,1151321779,1225188238,606197636,801417462
944000926,728319802,844476436,765361529,1151521779,1225188238,606197636,801417462
761082184,713739501,844476436,765361529,1151521779,1225188238,606197636,801417462
728776106,763403007,844476436,765361529,1151521779,1225188238,606197636,801417462
728610610,762858603,844476436,765361529,1151521779,1225188238,606197636,801417462
728161113,762858603,844476436,765361529,1151521779,1225188238,606197636,801417462
728319802,762858603,844476436,765361529,1151521779,1225188238,606197636,801417462
713739501,762767944,844476436,765361529,1151521779,1225188238,606197636,801417462
763403007,762767944,844476436,765361529,1151521779,1225188238,606197636,801417462
762858603,762767944,844476436,1054647684,1151521779,1225188238,606197636,801417462
762858603,762767944,854476436,1086359302,1151521779,1225188238,606197636,801417462
