token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
600654244528,600712644528,600608921909,600559238140,654152714325,705817382212,838763907394,3866752857
600704544528,600613164222,600608921909,600559238140,655960813870,705852963886,838763907394,3866752857
600711644528,600613164222,600558988475,600559238140,655368424941,705852963886,838763907394,3866752857
600712644528,600613264222,600558889024,600559238140,660528232503,709707044697,838763907394,3866752857
600712644528,600613264222,600558889024,600559238140,651603893270,704509380360,838763907394,3866752857
600712644528,600608290813,600558889024,600559238140,657535261847,698889397284,838763907394,3866752857
600613164222,600608390813,600558789573,600569238140,652891425560,693703606730,838763907394,3866752857
600613164222,600608590813,600558789573,600569238140,652891425560,684144051647,838763907394,3866752857
600613264222,600608590813,600558491156,600569238140,656365503743,684144051647,839258907394,3866752857
600608390813,600608590813,600557894462,600569238140,657312106819,705689751023,840934891303,3866752857
600608590813,600608690813,600557894462,600569118756,662180614176,698718897711,839498051706,3866752857
600608590813,600608690813,600557596115,600569118756,664030105541,695275105994,839498051706,3866752857
600608590813,600608790813,600567496663,600569118756,664030105541,694978768142,845631094154,3866752857
600608690813,600608790813,600567297690,600569118756,662023180597,695871992757,845631094154,3866752857
600608790813,600558988475,600567688255,601147821304,663441712431,702513224856,839176743668,3866752857
600608921909,600558789573,600569188255,601147821304,660919168991,704006043471,826694888886,3866752857
600558889024,600558491156,600569188255,601147821304,661321290127,701203559347,845581840698,3866752857
600558889024,600558391707,600559238140,601147821304,659251023734,701698559347,838947969862,3866752857
600558889024,600558292258,600559238140,601147821304,659251023734,700180323814,845365813760,3866752857
600558789573,600557894462,600559238140,601147821304,664228592525,701893241042,845365813760,3866752857
600558491156,600557894462,600559238140,601147821304,658957330270,706685629386,842303267894,3866752857
600557894462,600567496663,600569238140,601147821304,664134619687,708698366751,840719634954,3866752857
600557894462,600567297690,600569238140,601147821304,658030655351,707251328120,841159455696,3866752857
600557695564,600567297690,600569238140,601649183304,656041492271,707251328120,844185667180,3866752857
600557596115,600567188255,600569238140,601649183304,663184557959,707251328120,844825724818,3866752857
600567496663,600567688255,600569238140,601649183304,663307283148,711554762698,846227028208,3866752857
600567297690,600567688255,600569118756,601649183304,661522618842,715123259614,845732938308,3866752857
600567188255,600569188255,600569118756,601649183304,662004701085,709005692235,845732938308,3866752857
600567688255,600569188255,600569118756,601649183304,664507324414,705620600818,846723204278,3866752857
600567688255,600569188255,600569118756,601649183304,665199482216,708607065585,846723204278,3866752857
600569188255,600559238140,601147821304,601649183304,668444206848,711280741909,835514436944,3866752857
600569188255,600559238140,601147821304,601649183304,668444206848,714416570175,835514436944,3866752857
600559238140,600559238140,601147821304,601649183304,666893988193,713335064051,849443496413,3866752857
600559238140,600569238140,601147821304,601649183304,669095539418,715451769305,850988496816,3866752857
600569238140,600569118756,601147821304,601649183304,653689460185,711890957610,856236025995,3866752857
600569118756,601147821304,601649183304,601649083459,675269398872,716185994042,852856224570,3866752857
601147821304,601147821304,601649183304,601749185459,670235946734,715951003939,847545252683,3866752857
601649183304,601649183304,601649083459,601749185459,683261094874,720287534558,852567547600,3866752857
601649083459,601649134459,601749185459,604248513942,684110589315,720525530877,842470483670,3866752857
601749185459,601749185459,601749185459,612962579095,678762914698,719955159476,846661290598,3866752857
601749185459,601749185459,601749236459,613020233172,685926153082,723683199824,848961337872,3866752857
601749185459,601749185459,601749236459,615295486379,683676256905,723683199824,849911337872,3866752857
601758236459,604711768105,613020233172,629765388228,682774971397,716625874265,847985676596,3866752857
