open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:46,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,3000000000,0,3000000000,0,3000000000,0,3000000000,0,3000000000,0,3000000000,0,3000000000,0,3000000000,0,3000000000,0,3000000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:47,12493554592,12493554592,12493554592,12493554592,12493554592,12493554592,12493554592,12493554592,12493554592,12493554592,12493554592,5663354592,-2501127669,5663354592,-2501127669,5663354592,-2501127669,5663354592,-2501127669,5663354592,-2501127669,5663354592,-2501127669,5663354592,-2501127669,5663354592,-2501127669,5663354592,-2501127669,5663354592,-2501127669,-2501127669,7,0.5297213782512878,0.9998587409657996,1.0,0.831422911371892
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:48,10162726923,10162726923,10162726923,10162726923,10162726923,10162726923,10162726923,10162726923,10162726923,10162726923,10162726923,5864654592,-2501127669,5864654592,-2501127669,5864654592,-2501127669,5864654592,-2501127669,5864654592,-2501127669,5864654592,-2501127669,5864654592,-2501127669,5864654592,-2501127669,5864654592,-2501127669,5864654592,-2501127669,-2501127669,19,0.5115390775259488,0.9793508725705359,0.9998124356715739,0.9895785878765901
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:49,10363826923,10363826923,10363826923,10363826923,10363826923,10363826923,10363826923,10363826923,10363826923,10363826923,10363826923,5886654592,-2501127669,5886654592,-2501127669,5886654592,-2501127669,5886654592,-2501127669,5886654592,-2501127669,5886654592,-2501127669,5886654592,-2501127669,5886654592,-2501127669,5886654592,-2501127669,5886654592,-2501127669,-2501127669,27,0.509627319407702,0.9756907768642524,0.9994733851032787,1.0121528070612256
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:50,10385626923,10385626923,10385626923,10385626923,10385626923,10385626923,10385626923,10385626923,10385626923,10385626923,10385626923,6957454592,-2501127669,6957454592,-2501127669,6957454592,-2501127669,6957454592,-2501127669,6957454592,-2501127669,6957454592,-2501127669,6957454592,-2501127669,6957454592,-2501127669,6957454592,-2501127669,6957454592,-2501127669,-2501127669,35,0.4311921781637695,0.9606321541336478,0.9964211049212407,1.3278214800716552
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:51,11415669388,10000000000,11415669388,11415669388,11415669388,11415669388,11415669388,11415669388,11415669388,11415669388,11415669388,9577484428,-3905453112,9577484428,-3905453112,9577484428,-3905453112,9577484428,-3905453112,9577484428,-3905453112,9577484428,-3905453112,9577484428,-3905453112,9577484428,-3905453112,9577484428,-3905453112,9577484428,-3905453112,-3905453112,41,0.31323465180788285,0.9482536355213379,0.9879300247503364,1.6825831535204854
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:52,11682831316,12493554592,11682831316,11682831316,11682831316,11682831316,11682831316,11682831316,11682831316,11682831316,11682831316,6584184428,-3905453112,9584184428,-3905453112,9584184428,-3905453112,9584184428,-3905453112,9584184428,-3905453112,9584184428,-3905453112,9584184428,-3905453112,9584184428,-3905453112,9584184428,-3905453112,9584184428,-3905453112,-3905453112,47,0.3130156793764904,0.9475907414163963,0.9872393941374183,1.6877998528225628
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:54,11689531316,10363826923,11689531316,11689531316,11689531316,11689531316,11689531316,11689531316,11689531316,11689531316,11689531316,3770529836,-1404325443,9635184428,-3905453112,9635184428,-3905453112,9635184428,-3905453112,9635184428,-3905453112,9635184428,-3905453112,9635184428,-3905453112,9635184428,-3905453112,9635184428,-3905453112,9635184428,-3905453112,-3905453112,49,0.31135885591166806,0.942575048341358,0.9820138367568358,1.7123990557744395
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:55,12787384264,10385626923,12787384264,12787384264,12787384264,12787384264,12787384264,12787384264,12787384264,12787384264,12787384264,4841682784,-2453570243,10728337376,-4954697912,10728337376,-4954697912,10728337376,-4954697912,10728337376,-4954697912,10728337376,-4954697912,10728337376,-4954697912,10728337376,-4954697912,10728337376,-4954697912,10728337376,-4954697912,-4954697912,54,0.2796332642102772,0.9165201495244252,0.9749635017443732,1.886551184455594
2024-06-11 03:15:46,7000000000,2024-06-11 03:15:56,11783639464,11415669388,10000000000,11783639464,11783639464,11783639464,11783639464,11783639464,11783639464,11783639464,11783639464,3771182784,-2453570243,10728637376,-4954697912,10728637376,-4954697912,10728637376,-4954697912,10728637376,-4954697912,10728637376,-4954697912,10728637376,-4954697912,10728637376,-4954697912,10728637376,-4954697912,10728637376,-4954697912,-4954697912,56,0.2796254449526844,0.9164945212889634,0.9749362392840744,1.886837369735709
